#id	check	kind	owner	path	line	detail
352e6e2ef380	catalog(consulted)	reached	JS-C01	com/github/tommyettinger/anim8/AnimatedGif.java	91	lowering CtInvocation/Expression — consulted 31487, fired 5066, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
86cfe9430e46	catalog(consulted)	reached	JS-C02	../../../../libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java	205	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 89566, fired 76, declarations 0: interface constants are inherited through `implements`
100c9816a937	catalog(consulted)	reached	JS-C03	com/github/tommyettinger/anim8/PNG8.java	104	rendering ClassDef — consulted 19, fired 2, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
3f92dc2834cb	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 18: a subclass field SHADOWS a superclass field — two storage cells, not one
9ad1804fd8c9	catalog(consulted)	reached	JS-C05	com/github/tommyettinger/anim8/AnimatedGif.java	134	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 58079, fired 11690, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
8f0ffb40eaaa	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 17807, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
7bf1e69d85b3	catalog(consulted)	reached	JS-C07	com/github/tommyettinger/anim8/AnimatedPNG.java	79	rendering ClassDef — consulted 19, fired 13, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
df12f0d7fd84	catalog(consulted)	reached	JS-C08	com/github/tommyettinger/anim8/AnimatedPNG.java	81	rendering ValDef — consulted 3537, fired 36, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
bf89d48a39f9	catalog(consulted)	reached	JS-C09	com/github/tommyettinger/anim8/AnimatedPNG.java	79	rendering ClassDef — consulted 19, fired 7, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
fdffba0b9461	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 19, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
ddf9936cf96b	catalog(consulted)	reached	JS-C13	com/github/tommyettinger/anim8/AnimatedGif.java	66	rendering ClassDef — consulted 19, fired 15, declarations 0: JLS 12.5's instance-creation sequence, whole
477a3f0a65be	catalog(consulted)	reached	JS-C14	com/github/tommyettinger/anim8/ChunkBuffer.java	30	rendering ClassDef — consulted 19, fired 3, declarations 0: the superclass constructor runs before this class's field initialisers
eb359d4b8c3b	catalog(consulted)	reached	JS-C16	com/github/tommyettinger/anim8/ConstantData.java	65	rendering DefDef — consulted 365, fired 4, declarations 0: instance initialiser blocks
3fa7e83d430b	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 4343, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
5f74989d2a0c	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 19, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
0bba535f3954	catalog(consulted)	reached	JS-C19	com/github/tommyettinger/anim8/AnimatedPNG.java	79	rendering ClassDef — consulted 19, fired 10, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
7550c0d2bc90	catalog(consulted)	reached	JS-C20	com/github/tommyettinger/anim8/FastAPNG.java	54	rendering ClassDef — consulted 19, fired 4, declarations 0: the implicit `super()` and the default constructor
611ff5587bb8	catalog(consulted)	reached	JS-C21	com/github/tommyettinger/anim8/AnimatedPNG.java	79	rendering ClassDef — consulted 19, fired 10, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
77e6680a420f	catalog(consulted)	reached	JS-C25	com/github/tommyettinger/anim8/AnimatedGif.java	74	rendering DefDef — consulted 365, fired 46, declarations 0: `override` is mandatory in Scala and absent in Java
15273dc03e64	catalog(consulted)	reached	JS-C31	com/github/tommyettinger/anim8/PaletteReducer.java	1568	lowering CtNewClass/Expression — consulted 4343, fired 160, declarations 0: anonymous class construction and capture
362d6f2be439	catalog(consulted)	reached	JS-C33	com/github/tommyettinger/anim8/AnimatedGif.java	66	rendering ClassDef — consulted 19, fired 3, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
dabc37575a4c	catalog(consulted)	reached	JS-C34	com/github/tommyettinger/anim8/AnimatedGif.java	66	rendering ClassDef — consulted 19, fired 8, declarations 0: interface statics are not inherited AT ALL, not even by an implementor
32865c280014	catalog(consulted)	reached	JS-C36	-	0	rendering ValDef — consulted 3537, fired 0, declarations 0: an interface field is implicitly `public static final`
694372fe29bb	catalog(consulted)	reached	JS-C37	com/github/tommyettinger/anim8/Dithered.java	108	rendering ClassDef — consulted 19, fired 1, declarations 0: `name()`, `values()` and `valueOf` are SYNTHESISED on every Java enum
2da8561a992e	catalog(consulted)	reached	JS-C38	-	0	rendering ClassDef — consulted 19, fired 0, declarations 0: a promoted enum constructor parameter IS a member, and `name` collides with `Enum.name()`
e04b35edc6e1	catalog(consulted)	reached	JS-C39	com/github/tommyettinger/anim8/Dithered.java	108	rendering ClassDef — consulted 19, fired 1, declarations 0: `ordinal()` is part of every Java enum's surface, mentioned or not
0edbc0577e29	catalog(consulted)	reached	JS-C40	-	0	rendering ClassDef — consulted 19, fired 0, declarations 0: enum constants with PER-CONSTANT class bodies
9b2b2dc8e8ce	catalog(consulted)	reached	JS-C44	-	0	rendering ClassDef — consulted 19, fired 0, declarations 0: `sealed` / `non-sealed` / `permits`
2da389461cf9	catalog(consulted)	reached	JS-C45	com/github/tommyettinger/anim8/AnimatedPNG.java	91	rendering ValDef — consulted 3537, fired 107, declarations 0: a `final` field's JMM safe-publication guarantee
f3d1b50607dc	catalog(consulted)	reached	JS-C46	-	0	phase member-clash — consulted 0, fired 0, declarations 281: Java has TWO name namespaces and Scala has one
66e018bf9321	catalog(consulted)	reached	JS-C47	com/github/tommyettinger/anim8/ChunkBuffer.java	31	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 3921, fired 43, declarations 0: package-private becomes `private[pkg]`
8293ecded503	catalog(consulted)	reached	JS-C48	com/github/tommyettinger/anim8/AnimatedGif.java	134	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 3921, fired 68, declarations 0: Java's `protected` also grants SAME-PACKAGE access, and accessibility is an input to overload resolution
c1ea045f8dd7	catalog(consulted)	reached	JS-C49	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 3921, fired 0, declarations 0: Java's `private` reaches the whole enclosing TOP-LEVEL class; Scala's reaches only the template
42450904161e	catalog(consulted)	reached	JS-C50	com/github/tommyettinger/anim8/ChunkBuffer.java	31	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 3921, fired 43, declarations 0: Java's default access is package-private and Scala's is public — INVERTED
ba53f53ea183	catalog(consulted)	reached	JS-E01	com/github/tommyettinger/anim8/PaletteReducer.java	2446	lowering CtBinaryOperator/Expression — consulted 39246, fired 580, declarations 0: `==`/`!=` are REFERENCE identity in Java; Scala's `==` calls `equals`
5af43e62880a	catalog(consulted)	reached	JS-E02	com/github/tommyettinger/anim8/AnimatedGif.java	474	lowering CtUnaryOperator/Expression — consulted 3018, fired 835, declarations 0: postfix/prefix `++`/`--` USED AS A VALUE yields the value before the update — the VALUE only; the operand's single evaluation is JS-E17
0115babb3d78	catalog(consulted)	reached	JS-E03	../../../../libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/BitmapFont.java	750	lowering CtOperatorAssignment/Statement — consulted 2683, fired 36, declarations 0: compound assignment NARROWS implicitly to the left-hand type — STATEMENT position; the lvalue's single evaluation is JS-E17
5222c4cb52e8	catalog(consulted)	reached	JS-E04	-	0	lowering CtOperatorAssignment/Expression — consulted 9, fired 0, declarations 0: compound assignment NARROWS implicitly to the left-hand type — EXPRESSION position; the lvalue's single evaluation is JS-E17
