#unit	member	kind	digest
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif	class	818f079177dd452d
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#addFrame(Pixmap)	def	932b9577c562052f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeAdditive()	def	bcb7e4df3a7dfe94
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeBanter()	def	cf751fa3f38c0b63
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeBlue()	def	6384722006af1f32
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeBlunt()	def	ba0d717c6bcd6dd3
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeBurkes()	def	53e4d0565e5ccb98
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeChaotic()	def	3e341bd5b334ba4b
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeDiffusion()	def	0dce94f6c3703660
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeDodgy()	def	ddd1976a31ef4877
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeGourd()	def	8a71fe9dc41a9063
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeGradient()	def	4a3a6c47433dcdd6
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeLoaf()	def	be1fbf1a9a7bda5a
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeMarten()	def	efdd4fe261e701f2
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeNeue()	def	fa709ab141c4ef64
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeNone()	def	73daba763bdd7afe
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeOceanic()	def	ba0d2c1b457775c9
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeOverboard()	def	16411f51e689ee46
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzePattern()	def	64af7cdc21cd8496
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzePixels()	def	b0c3fe2c7f9eebf9
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeRoberts()	def	dae695547124a4b3
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeScatter()	def	006c202a41bf1592
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeSeaside()	def	171f91f2246357b8
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeWoven()	def	611835f11f1a3f7f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeWren()	def	052898e60cbdf933
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#analyzeWrenOriginal()	def	f0ee0a753938acd0
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#clearPalette	val	e8f37d5c46de2431
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#closeStream	val	825c83221ceaac84
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#colorDepth	val	79d4e47d3840a4ea
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#colorTab	val	dfc89012bf2e062f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#delay	val	03318c2f7b75df2f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#dispose	val	e81ce3b1aa04f0c8
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherAlgorithm	val	53e7317685759995
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherAlgorithm()	def	70eab18ff91dde67
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherAlgorithm_=(DitherAlgorithm)	def	4f2f1732439df7c6
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherStrength	val	6d18102138993aab
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherStrength()	def	b84c6bd3a2c02a5c
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#ditherStrength_=(float)	def	138763e9a946de4d
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#fastAnalysis	val	2ed24be573a72eb2
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#finish()	def	333091b586f6cfd2
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#firstFrame	val	1ee8e9c839f5e61f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#flipY	val	467e151db452defb
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#flipY()	def	b39b8dac1ecd905d
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#flipY_=(boolean)	def	52ff285b07c3a5d2
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#getImagePixels()	def	3c2725d0fe9a2d70
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#height	val	59842463f40dd936
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#image	val	216c4b5a5a29d8e0
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#indexedPixels	val	1cf2c4389c9cd60d
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#isFastAnalysis()	def	b8ef0bb27868c08c
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#out	val	47cfe68c1f43b76e
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#palSize	val	282d4bba2253f60b
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#palette	val	f7a3d6cdf3d77679
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#palette()	def	6fe59203bf8f420b
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#palette_=(PaletteReducer)	def	c30e74b35a7af189
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#repeat	val	5aac3f2070fa0519
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#seq	val	26c371fb8366fbaf
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setDelay(int)	def	9b493aaa4c07be3c
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setDispose(int)	def	3f32c26295444016
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setFastAnalysis(boolean)	def	87409c08cba2a45f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setFrameRate(float)	def	3475b5b95567c62e
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setPosition(int,int)	def	254c837c77b0090a
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setRepeat(int)	def	4c7e2791eab4a361
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#setSize(int,int)	def	c6bd5dd571deeb11
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#sizeSet	val	93e5198f3d818cf1
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#start(OutputStream)	def	3cba797c3fb5c9e3
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#started	val	c92390c6ea6ff93a
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#transIndex	val	28842bf0c6127b17
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#usedEntry	val	5d7d8fe89b9bb056
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#width	val	93c8440defc4ffb8
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#write(FileHandle,Array<Pixmap>)	def	3386a20e07873cce
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#write(FileHandle,Array<Pixmap>,int)	def	6e8830ee52be87db
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#write(OutputStream,Array<Pixmap>,int)	def	f2760f53496b28a4
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeGraphicCtrlExt()	def	61af8d872f8d1a16
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeImageDesc()	def	da11a964af49ec5f
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeLSD()	def	743e5564179a6d23
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeNetscapeExt()	def	5d1ba81ad21e7cab
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writePalette()	def	d1df7c05019dc5e0
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writePixels()	def	05d141e0ad9c07e1
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeShort(int)	def	5b82e4b097279141
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#writeString(String)	def	28e2826aa16274f6
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#x	val	f8caaa91ba85bcf1
sge.anim8.AnimatedGif	sge.anim8.AnimatedGif#y	val	28e8082d792f06ac
sge.anim8.AnimatedPNG	sge.anim8.AnimatedPNG	class	a18973e4f6b64e29
sge.anim8.AnimatedPNG	sge.anim8.AnimatedPNG#<init>(Sge)	ctor	a24d3cab5fc0161e
