#check	count
api-parity(accessor)	1
api-parity(collection-retarget)	0
api-parity(factory)	0
api-parity(file-merge)	0
api-parity(hand-original)	0
api-parity(hand-port-extra)	9
api-parity(mutability)	3
api-parity(null-model)	0
api-parity(opaque)	0
api-parity(operator)	0
api-parity(port-extra)	68
api-parity(rename)	0
api-parity(signature)	29
api-parity(static-placement)	0
api-parity(unclassified)	0
api-parity(visibility)	8
base-surface	20
break-catch	0
cast-conversion	0
catalog(consulted)	103
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	12
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	17
context-seam	0
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	0
gdx-shared-iterator	0
heap-pollution	7
idiom(converted)	16
idiom(refused)	123
idiom(residue)	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	1
omissions	1
opaque-boundary	0
overload-risk	0
policy	2
port-map	0
portability(all)	153
portability(emitted)	0
portability(injected)	4
porter-notes	0
remediation	0
rewrite-callsites	1
signature	14
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	0
unused-symbol(refused)	0
