#module	kind	subject	java_says	hand_port_says	evidence	status	spelling	decided_by
sge-ecs	addition	#SystemListener	not present			not-a-divergence	census artefact	div-systemlistener
sge-ecs	addition	#Type	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#Type	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#clear	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#contains	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#data	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#entity	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#get	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#getCapacity	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#initialCapacity	not present			not-a-divergence	none: census artefact — empty owner; Pool class-to-trait override	divergence-investigator
sge-ecs	addition	#initialCapacity	not present			not-a-divergence	none: census artefact — empty owner; Pool class-to-trait override	divergence-investigator
sge-ecs	addition	#isEmpty	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#isIndexWithinBounds	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#k	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#len	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#max	not present			not-a-divergence	none: census artefact — empty owner; Pool class-to-trait override	divergence-investigator
sge-ecs	addition	#max	not present			not-a-divergence	none: census artefact — empty owner; Pool class-to-trait override	divergence-investigator
sge-ecs	addition	#newCapacity	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#newObject	not present			not-a-divergence	none: census artefact — owner mismatch (nested static vs top-level private class); api-parity should match by declaring class	divergence-investigator
sge-ecs	addition	#newObject	not present			not-a-divergence	none: census artefact — owner mismatch (nested static vs top-level private class); api-parity should match by declaring class	divergence-investigator
sge-ecs	addition	#oldData	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#operationType	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#priority	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#removeLast	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#reset	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#set	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#size	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	#sorted	not present			not-a-divergence	census artefact	div-bag
sge-ecs	addition	ComponentType#index	not present	val index/0 in reference port only [rename candidates: $prev]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.HashMap instead of ObjectMap for Class keys|Idiom: mutable.BitSet instead of Bits	justified	(b) BeanCollapse idiom phase	div-accessor
sge-ecs	addition	Engine#componentFactories	not present	val componentFactories/0 in reference port only	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[A] for createComponent return|Idiom: inner classes replaced by private methods/lambdas|Idiom: ComponentOperationHandler takes () => Boolean (not BooleanInformer trait)|Idiom: Listener[Entity] implemented via anonymous class	justified	(c) injection `ComponentFactories` + MethodBodyTransform on Engine#createComponent (already in AshleyMigrate)	divergence-investigator
sge-ecs	addition	Engine#registerComponentFactory	not present	def registerComponentFactory/2 in reference port only [rename candidates: addEntityListener, addEntityListener, receive]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[A] for createComponent return|Idiom: inner classes replaced by private methods/lambdas|Idiom: ComponentOperationHandler takes () => Boolean (not BooleanInformer trait)|Idiom: Listener[Entity] implemented via anonymous class	justified	(c) library-specific injection	div-pooledengine
sge-ecs	addition	EntitySystem#engine	not present	def engine/0 in reference port only [rename candidates: checkProcessing, getEngine]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[Engine] for engine reference (set/cleared by Engine)|Idiom: processing as public var (replaces get/set pair)	justified	(b) accessor idiom	div-accessor
sge-ecs	addition	Family#index	not present	val index/0 in reference port only [rename candidates: $prev]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.BitSet instead of Bits|Idiom: mutable.HashMap instead of ObjectMap for cache	justified	(b) BeanCollapse idiom phase	div-accessor
sge-ecs	addition	Family$#sb	not present	val sb/0 in reference port only [rename candidates: numBits, stringBuilder, stringBuilder]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.BitSet instead of Bits|Idiom: mutable.HashMap instead of ObjectMap for cache	unjustified	none: hand-port defect	div-family
sge-ecs	addition	Family$#sb	not present	val sb/0 in reference port only [rename candidates: numBits, stringBuilder, stringBuilder]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.BitSet instead of Bits|Idiom: mutable.HashMap instead of ObjectMap for cache	unjustified	none: hand-port defect	div-family
sge-ecs	addition	ImmutableArray#apply	not present	def apply/1 in reference port only [rename candidates: equals, get, toString]	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: wraps ArrayBuffer, implements Iterable[A]	justified	(b) injection or substitution for ImmutableArray	div-immutablearray
sge-ecs	addition	ImmutableArray#contains	not present	def contains/1 in reference port only [rename candidates: equals, get, toString]	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: wraps ArrayBuffer, implements Iterable[A]	justified	(b) injection or substitution for ImmutableArray	div-immutablearray
sge-ecs	addition	ImmutableArray#indexOf	not present	def indexOf/1 in reference port only [rename candidates: equals, get, toString]	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: wraps ArrayBuffer, implements Iterable[A]	justified	(b) injection or substitution for ImmutableArray	div-immutablearray
sge-ecs	addition	ImmutableArray#lastIndexOf	not present	def lastIndexOf/1 in reference port only [rename candidates: equals, get, toString]	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: wraps ArrayBuffer, implements Iterable[A]	justified	(b) injection or substitution for ImmutableArray	div-immutablearray
