#unit	member	kind	digest
sge.ecs.Component	sge.ecs.Component	class	2cd7fd8ef09b1c64
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper	class	f0baeac060d3c2f9
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper#<stmt1>	stmt	15069be015cac980
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper#componentType	val	ce377d122dd71ba0
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper#get(Entity)	def	14bc32a288e3cfcf
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper#getFor(Class<T>)	def	69cf8da34d90142a
sge.ecs.ComponentMapper	sge.ecs.ComponentMapper#has(Entity)	def	b3726dcc30b685cb
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler	class	5da843f845a38937
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#<stmt1>	stmt	f34390dcec3c2572
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#add(Entity)	def	877830839133c977
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#delayed	val	b8327f883da959d0
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#hasOperationsToProcess()	def	dbd5e5a3e7af030c
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#operationPool	val	34e3becba0b7bb2f
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#operations	val	8c03feaf079e3a51
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#processOperations()	def	1e65c7e8c05f3c93
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler#remove(Entity)	def	f0e2b60a62e65265
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$BooleanInformer	class	ae659dc18a82592b
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$BooleanInformer#value()	def	1fc566a602720496
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation	class	2c8089acc8106b9b
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation#entity	val	7cc65bdd643e080e
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation#makeAdd(Entity)	def	f9ec08a89e36db97
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation#makeRemove(Entity)	def	f548cb160e1441e2
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation#reset()	def	7eb064166348919c
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation#type	val	f70b119dd66cb686
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperation$Type	class	937a7cf1afe3a25b
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperationPool	class	0cfd43b3f1427b8a
sge.ecs.ComponentOperationHandler	sge.ecs.ComponentOperationHandler$ComponentOperationPool#newObject()	def	24d3da065393da0e
sge.ecs.ComponentType	sge.ecs.ComponentType	class	5fd957140468ecb9
sge.ecs.ComponentType	sge.ecs.ComponentType#<stmt1>	stmt	c22e014131989522
sge.ecs.ComponentType	sge.ecs.ComponentType#assignedComponentTypes	val	9216a131f3e41b75
sge.ecs.ComponentType	sge.ecs.ComponentType#equals(Any)	def	e49a122cf2191a42
sge.ecs.ComponentType	sge.ecs.ComponentType#getBitsFor(Array<Class<?>>)	def	025edd397f36592c
sge.ecs.ComponentType	sge.ecs.ComponentType#getFor(Class<?>)	def	3c2af9d8fbc9335d
sge.ecs.ComponentType	sge.ecs.ComponentType#getIndexFor(Class<?>)	def	e8f3997cdee4f92f
sge.ecs.ComponentType	sge.ecs.ComponentType#hashCode()	def	97aa5eee04341a67
sge.ecs.ComponentType	sge.ecs.ComponentType#index	val	458720127a3a7395
sge.ecs.ComponentType	sge.ecs.ComponentType#index()	def	ba955b5453cd3bd6
sge.ecs.ComponentType	sge.ecs.ComponentType#typeIndex	val	091acd0349b3754b
