# balticporter port map	schema=4	module=sge-ecs	engine=balticporter/0.1.0-SNAPSHOT	sources=181dec8c688f5a38	files=20	policy=c3cf686fa21d553b	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.ashley.core.Component	sge.ecs.Component	Renamed	-		0		form=trait
type	com.badlogic.ashley.core.ComponentMapper	sge.ecs.ComponentMapper	Renamed	-		0		companion=yes flags=final form=class primary=(Class) primaryKind=unique-root primaryVis=private statics=getFor tparams="[T <: sge.ecs.Component]"
type	com.badlogic.ashley.core.ComponentOperationHandler	sge.ecs.ComponentOperationHandler	Renamed	-		0		companion=yes form=class primary=(BooleanInformer) primaryKind=unique-root primaryVis=public statics=BooleanInformer,ComponentOperation,ComponentOperationPool
type	sge.ecs.ComponentOperationHandler$BooleanInformer	sge.ecs.ComponentOperationHandler$BooleanInformer	Ported	-		0		form=trait
type	sge.ecs.ComponentOperationHandler$ComponentOperation	sge.ecs.ComponentOperationHandler$ComponentOperation	Ported	-		0		companion=yes form=class parents=sge.utils.Pool$Poolable primary=() primaryKind=unique-root primaryVis=private[ComponentOperationHandler] statics=Type
type	sge.ecs.ComponentOperationHandler$ComponentOperation$Type	sge.ecs.ComponentOperationHandler$ComponentOperation$Type	Ported	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	sge.ecs.ComponentOperationHandler$ComponentOperationPool	sge.ecs.ComponentOperationHandler$ComponentOperationPool	Ported	-		0		companion=yes form=class parents=sge.utils.Pool primary=() primaryKind=unique-root primaryVis=private[ComponentOperationHandler]
type	com.badlogic.ashley.core.ComponentType	sge.ecs.ComponentType	Renamed	-		0		companion=yes flags=final form=class primary=() primaryKind=unique-root primaryVis=private statics=assignedComponentTypes,getBitsFor,getFor,getIndexFor,typeIndex
type	com.badlogic.ashley.core.Engine	sge.ecs.Engine	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=empty
type	sge.ecs.Engine$ComponentListener	sge.ecs.Engine$ComponentListener	Ported	-		0		form=class parents=sge.ecs.signals.Listener primary=() primaryKind=unique-root primaryVis=private[Engine]
type	sge.ecs.Engine$EngineDelayedInformer	sge.ecs.Engine$EngineDelayedInformer	Ported	-		0		form=class parents=sge.ecs.ComponentOperationHandler$BooleanInformer primary=() primaryKind=unique-root primaryVis=private[Engine]
type	sge.ecs.Engine$EngineEntityListener	sge.ecs.Engine$EngineEntityListener	Ported	-		0		form=class parents=sge.ecs.EntityListener primary=() primaryKind=unique-root primaryVis=private[Engine]
type	sge.ecs.Engine$EngineSystemListener	sge.ecs.Engine$EngineSystemListener	Ported	-		0		form=class parents=sge.ecs.SystemManager$SystemListener primary=() primaryKind=unique-root primaryVis=private[Engine]
type	com.badlogic.ashley.core.Entity	sge.ecs.Entity	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.ashley.core.EntityListener	sge.ecs.EntityListener	Renamed	-		0		form=trait
type	com.badlogic.ashley.core.EntityManager	sge.ecs.EntityManager	Renamed	-		0		companion=yes form=class primary=(EntityListener) primaryKind=unique-root primaryVis=public statics=EntityOperation,EntityOperationPool
type	sge.ecs.EntityManager$EntityOperation	sge.ecs.EntityManager$EntityOperation	Ported	-		0		companion=yes form=class parents=sge.utils.Pool$Poolable primary=() primaryKind=unique-root primaryVis=private[EntityManager] statics=Type
type	sge.ecs.EntityManager$EntityOperation$Type	sge.ecs.EntityManager$EntityOperation$Type	Ported	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	sge.ecs.EntityManager$EntityOperationPool	sge.ecs.EntityManager$EntityOperationPool	Ported	-		0		companion=yes form=class parents=sge.utils.Pool primary=() primaryKind=unique-root primaryVis=private[EntityManager]
type	com.badlogic.ashley.core.EntitySystem	sge.ecs.EntitySystem	Renamed	-		0		flags=abstract form=class primary=(int) primaryKind=unique-root primaryVis=public secondaries=()
type	com.badlogic.ashley.core.Family	sge.ecs.Family	Renamed	-		0		companion=yes form=class primary=(BitSet,BitSet,BitSet) primaryKind=unique-root primaryVis=private statics=Builder,all,builder,exclude,families,familyIndex,getBitsString,getFamilyHash,one,zeroBits
type	sge.ecs.Family$Builder	sge.ecs.Family$Builder	Ported	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.ashley.core.FamilyManager	sge.ecs.FamilyManager	Renamed	-		0		companion=yes form=class primary=(ImmutableArray) primaryKind=unique-root primaryVis=public statics=BitsPool,EntityListenerData
type	sge.ecs.FamilyManager$BitsPool	sge.ecs.FamilyManager$BitsPool	Ported	-		0		companion=yes form=class parents=sge.utils.Pool primary=() primaryKind=unique-root primaryVis=private[FamilyManager]
type	sge.ecs.FamilyManager$EntityListenerData	sge.ecs.FamilyManager$EntityListenerData	Ported	-		0		form=class primary=() primaryKind=unique-root primaryVis=private[FamilyManager]
type	com.badlogic.ashley.core.PooledEngine	sge.ecs.PooledEngine	Renamed	-		0		companion=yes form=class parents=sge.ecs.Engine primary=(int,int,int,int) primaryKind=unique-root primaryVis=public secondaries=()
type	sge.ecs.PooledEngine$ComponentPools	sge.ecs.PooledEngine$ComponentPools	Ported	-		0		form=class primary=(int,int) primaryKind=unique-root primaryVis=public
type	sge.ecs.PooledEngine$EntityPool	sge.ecs.PooledEngine$EntityPool	Ported	-		0		companion=yes form=class parents=sge.utils.Pool primary=(int,int) primaryKind=unique-root primaryVis=public
type	sge.ecs.PooledEngine$PooledEntity	sge.ecs.PooledEngine$PooledEntity	Ported	-		0		form=class parents=sge.ecs.Entity,sge.utils.Pool$Poolable primary=() primaryKind=unique-root primaryVis=private[PooledEngine]
type	com.badlogic.ashley.core.SystemManager	sge.ecs.SystemManager	Renamed	-		0		companion=yes form=class primary=(SystemListener) primaryKind=unique-root primaryVis=public statics=SystemComparator,SystemListener
type	sge.ecs.SystemManager$SystemComparator	sge.ecs.SystemManager$SystemComparator	Ported	-		0		form=class parents=scala.math.Ordering primary=() primaryKind=unique-root primaryVis=private[SystemManager]
type	sge.ecs.SystemManager$SystemListener	sge.ecs.SystemManager$SystemListener	Ported	-		0		form=trait
type	com.badlogic.ashley.signals.Listener	sge.ecs.signals.Listener	Renamed	-		0		form=trait tparams="[T <: java.lang.Object]"
type	com.badlogic.ashley.signals.Signal	sge.ecs.signals.Signal	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object]"
type	com.badlogic.ashley.systems.IntervalIteratingSystem	sge.ecs.systems.IntervalIteratingSystem	Renamed	-		0		flags=abstract form=class parents=sge.ecs.systems.IntervalSystem primary=(Family,float,int) primaryKind=unique-root primaryVis=public secondaries=(Family,float)
