#check	count
base-surface	21
break-catch	0
cast-conversion	0
catalog(consulted)	99
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	16
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	16
context-seam	0
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	0
gdx-shared-iterator	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	20
idiom(residue)	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	32
omissions	2
opaque-boundary	0
overload-risk	0
policy	2
port-map	0
portability(all)	155
portability(emitted)	1
portability(injected)	1
porter-notes	0
registry(by-name)	0
registry(facade)	0
registry(guarded-call)	0
registry(jvm-only-miss)	0
registry(non-class-arg)	0
registry(out-of-scope)	0
registry(self-clone)	0
remediation	1
rewrite-callsites	1
signature	14
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
test-framework(refused)	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	3
unused-symbol(refused)	0
upstream	Ashley@d63d542228cd8c62cc2f7adf20055b0ac59a547e
