#id	check	kind	owner	path	line	detail
492d56b5924a	base-surface	unanswered	com.badlogic.gdx.graphics.profiling.GLProfiler#listener		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
cc8b1df3d47b	base-surface	unanswered	com.badlogic.gdx.maps.Map#layers		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `val` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
8b0851c1653c	base-surface	unanswered	com.badlogic.gdx.maps.Map#properties		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `val` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
537dbe93665b	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#name		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
4545b3f44982	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#objects		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `val` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
3e829aa1ba39	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#parallaxX		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
3cb32fc22d47	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#parallaxY		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
19d417177a27	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#properties		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `val` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
1967ce7e8da1	base-surface	unanswered	com.badlogic.gdx.maps.MapLayer#visible		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
2d04e12ffd9a	base-surface	unanswered	com.badlogic.gdx.maps.MapObject#color		0	this run COLLAPSED a pair on a type the base emits, and the base's map carries no member row for it — so a collapsed `var` could not be checked against what the base published. Assuming the base did not collapse it would be a fabricated fact  [base: sge]  [§1(b) PER-LIBRARY, OPERATIONAL: re-run the base port with this engine so its port map carries a `form=` row for this member]
