# balticporter port map	schema=3	module=ashley-test	engine=balticporter/0.1.0-SNAPSHOT	sources=4763fb93c6d8686a	files=18	policy=49837be7aebf58cd
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.badlogic.ashley.core.ComponentClassFactory	sge.ecs.ComponentClassFactory	Renamed	-		0		form=class parents=java.lang.ClassLoader primary=() primaryKind=unique-root primaryVis=public
type	com.badlogic.ashley.core.ComponentOperationHandlerTests	sge.ecs.ComponentOperationHandlerTests	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=BooleanInformerMock,ComponentSpy
type	sge.ecs.ComponentOperationHandlerTests$BooleanInformerMock	sge.ecs.ComponentOperationHandlerTests$BooleanInformerMock	Ported	-		0		form=class parents=sge.ecs.ComponentOperationHandler$BooleanInformer primary=() primaryKind=unique-root primaryVis=private[ComponentOperationHandlerTests]
type	sge.ecs.ComponentOperationHandlerTests$ComponentSpy	sge.ecs.ComponentOperationHandlerTests$ComponentSpy	Ported	-		0		form=class parents=sge.ecs.signals.Listener primary=() primaryKind=unique-root primaryVis=private[ComponentOperationHandlerTests]
type	com.badlogic.ashley.core.ComponentTypeTests	sge.ecs.ComponentTypeTests	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=ComponentA,ComponentB
type	sge.ecs.ComponentTypeTests$ComponentA	sge.ecs.ComponentTypeTests$ComponentA	Ported	-		0		form=class parents=sge.ecs.Component primary=() primaryKind=unique-root primaryVis=private[ComponentTypeTests]
type	sge.ecs.ComponentTypeTests$ComponentB	sge.ecs.ComponentTypeTests$ComponentB	Ported	-		0		form=class parents=sge.ecs.Component primary=() primaryKind=unique-root primaryVis=private[ComponentTypeTests]
type	com.badlogic.ashley.core.EngineTests	sge.ecs.EngineTests	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=AddComponentBEntityListenerMock,ComponentA,ComponentAddedListener,ComponentB,ComponentC,ComponentD,ComponentRemovedListener,CounterComponent,CounterSystem,EntityListenerMock,EntitySystemMock,EntitySystemMockA,EntitySystemMockB
type	sge.ecs.EngineTests$AddComponentBEntityListenerMock	sge.ecs.EngineTests$AddComponentBEntityListenerMock	Ported	-		0		form=class parents=sge.ecs.EngineTests$EntityListenerMock primary=() primaryKind=unique-root primaryVis=private[EngineTests]
type	sge.ecs.EngineTests$ComponentA	sge.ecs.EngineTests$ComponentA	Ported	-		0		form=class parents=sge.ecs.Component primary=() primaryKind=unique-root primaryVis=private[EngineTests]
