#check	count
api-parity(accessor)	417
api-parity(collection-retarget)	4
api-parity(factory)	1
api-parity(file-merge)	0
api-parity(hand-original)	6
api-parity(hand-port-extra)	7078
api-parity(mutability)	134
api-parity(null-model)	45
api-parity(opaque)	0
api-parity(operator)	0
api-parity(port-extra)	369
api-parity(rename)	0
api-parity(rule)	37
api-parity(signature)	752
api-parity(static-placement)	0
api-parity(unclassified)	0
api-parity(visibility)	122
base-surface	3
break-catch	0
cast-conversion	0
catalog(consulted)	103
catalog(uncited)	124
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	13
class-init-trigger	0
collection-boundary	1
collection-closure	0
collection-internal	0
collection-retarget	0
dependency-coverage	4
dependency-coverage(all)	14
dependency-coverage(declared)	1
heap-pollution	0
idiom(converted)	0
idiom(refused)	10
idiom(residue)	0
jdk-surface	3
manifest	0
markers	0
omissions	18
overload-risk	288
policy	0
port-map	0
portability(all)	21
portability(emitted)	3
portability(injected)	0
porter-notes	0
remediation	1
resources	14
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	5
try-resource	0
unused-symbol(handled)	13
unused-symbol(refused)	0
upstream	flexmark-java@bcfe84a3ab6d23d04adce3e5a0bae45c6b791d14
