#id	check	kind	owner	path	line	detail
568829f69b3f	base-surface	unanswered	ssg.md.util.ast.ContentNode#getSpanningChars (replayed into ssg.md.ext.jekyll.tag.JekyllTagBlock)		0	ssg-md publishes 2 overloads of ssg.md.util.ast.ContentNode#getSpanningChars and they do not agree (; placement=companion) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — the constructor replay that reaches it is refused, because a replay across a module boundary cannot widen anything  [base: ssg-md]  [§1(b) PER-LIBRARY: declare the module that emits this member as a base (`base = "…"`) and re-run it with this engine so its port map carries a `vis=` row]
56d4d99dcbf9	base-surface	unanswered	ssg.md.util.ast.ContentNode#getSpanningChars (replayed into ssg.md.ext.tables.TableBlock)		0	ssg-md publishes 2 overloads of ssg.md.util.ast.ContentNode#getSpanningChars and they do not agree (; placement=companion) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — the constructor replay that reaches it is refused, because a replay across a module boundary cannot widen anything  [base: ssg-md]  [§1(b) PER-LIBRARY: declare the module that emits this member as a base (`base = "…"`) and re-run it with this engine so its port map carries a `vis=` row]
ffe96543000b	base-surface	unanswered	ssg.md.util.ast.ContentNode#getSpanningChars (replayed into ssg.md.ext.toc.SimTocContent)		0	ssg-md publishes 2 overloads of ssg.md.util.ast.ContentNode#getSpanningChars and they do not agree (; placement=companion) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — the constructor replay that reaches it is refused, because a replay across a module boundary cannot widen anything  [base: ssg-md]  [§1(b) PER-LIBRARY: declare the module that emits this member as a base (`base = "…"`) and re-run it with this engine so its port map carries a `vis=` row]
6e933f7a8d8a	catalog(consulted)	reached	JS-C01	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationBlock.java	29	lowering CtInvocation/Expression — consulted 21471, fired 2826, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
8e4682a9314b	catalog(consulted)	reached	JS-C02	flexmark-ext-toc/src/main/java/com/vladsch/flexmark/ext/toc/internal/TocLevelsOptionParser.java	74	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 37810, fired 19, declarations 0: interface constants are inherited through `implements`
a9409683a07b	catalog(consulted)	reached	JS-C03	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/AbbreviationExtension.java	22	rendering ClassDef — consulted 453, fired 48, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
75df974390c7	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 6: a subclass field SHADOWS a superclass field — two storage cells, not one
782ada3df6d6	catalog(consulted)	reached	JS-C05	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/Abbreviation.java	26	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 16339, fired 4470, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
d1fb23a33f68	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 8547, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
31a0054f61f2	catalog(consulted)	reached	JS-C07	flexmark-ext-abbreviation/src/main/java/com/vladsch/flexmark/ext/abbreviation/Abbreviation.java	11	rendering ClassDef — consulted 453, fired 132, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
