# balticporter port map	schema=3	module=ssg-md-ext	engine=balticporter/0.1.0-SNAPSHOT	sources=a135cda0a1a592a4	files=321	policy=935a52aab7bc20cd
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.vladsch.flexmark.ext.abbreviation.Abbreviation	ssg.md.ext.abbreviation.Abbreviation	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Node,ssg.md.util.ast.DoNotDecorate,ssg.md.util.ast.DoNotLinkDecorate,ssg.md.util.ast.ReferencingNode primary=(BasedSequence,BasedSequence) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.AbbreviationBlock	ssg.md.ext.abbreviation.AbbreviationBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.util.ast.ReferenceNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ext.abbreviation.AbbreviationExtension	ssg.md.ext.abbreviation.AbbreviationExtension	Renamed	-		0		companion=yes form=class parents=ssg.md.parser.Parser$ParserExtension,ssg.md.html.HtmlRenderer$HtmlRendererExtension,ssg.md.parser.Parser$ReferenceHoldingExtension,ssg.md.formatter.Formatter$FormatterExtension primary=() primaryKind=unique-root primaryVis=public statics=ABBREVIATIONS,ABBREVIATIONS_KEEP,ABBREVIATIONS_PLACEMENT,ABBREVIATIONS_SORT,MAKE_MERGED_ABBREVIATIONS_UNIQUE,USE_LINKS,create
type	com.vladsch.flexmark.ext.abbreviation.AbbreviationVisitor	ssg.md.ext.abbreviation.AbbreviationVisitor	Renamed	-		0		form=trait
type	com.vladsch.flexmark.ext.abbreviation.AbbreviationVisitorExt	ssg.md.ext.abbreviation.AbbreviationVisitorExt	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationBlockParser	ssg.md.ext.abbreviation.internal.AbbreviationBlockParser	Renamed	-		0		companion=yes form=class parents=ssg.md.parser.block.AbstractBlockParser primary=() primaryKind=unique-root primaryVis=public statics=ABBREVIATION_BLOCK,BlockFactory,Factory
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationBlockParser$BlockFactory	ssg.md.ext.abbreviation.internal.AbbreviationBlockParser$BlockFactory	Renamed	-		0		form=class parents=ssg.md.parser.block.AbstractBlockParserFactory primary=(DataHolder) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationBlockParser$Factory	ssg.md.ext.abbreviation.internal.AbbreviationBlockParser$Factory	Renamed	-		0		form=class parents=ssg.md.parser.block.CustomBlockParserFactory primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationFormatOptions	ssg.md.ext.abbreviation.internal.AbbreviationFormatOptions	Renamed	-		0		form=class primary=(DataHolder) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodeFormatter	ssg.md.ext.abbreviation.internal.AbbreviationNodeFormatter	Renamed	-		0		companion=yes form=class parents=ssg.md.formatter.NodeRepositoryFormatter primary=(DataHolder) primaryKind=unique-root primaryVis=public statics=ABBREVIATION_TRANSLATION_MAP,ABBREVIATION_UNIQUIFICATION_MAP,Factory
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodeFormatter$Factory	ssg.md.ext.abbreviation.internal.AbbreviationNodeFormatter$Factory	Renamed	-		0		form=class parents=ssg.md.formatter.NodeFormatterFactory primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodePostProcessor	ssg.md.ext.abbreviation.internal.AbbreviationNodePostProcessor	Renamed	-		0		companion=yes form=class parents=ssg.md.parser.block.NodePostProcessor primary=(Document) primaryKind=unique-root primaryVis=private statics=Factory
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodePostProcessor$Factory	ssg.md.ext.abbreviation.internal.AbbreviationNodePostProcessor$Factory	Renamed	-		0		form=class parents=ssg.md.parser.block.NodePostProcessorFactory primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodeRenderer	ssg.md.ext.abbreviation.internal.AbbreviationNodeRenderer	Renamed	-		0		companion=yes form=class parents=ssg.md.html.renderer.NodeRenderer primary=(DataHolder) primaryKind=unique-root primaryVis=public statics=Factory
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationNodeRenderer$Factory	ssg.md.ext.abbreviation.internal.AbbreviationNodeRenderer$Factory	Renamed	-		0		form=class parents=ssg.md.html.renderer.NodeRendererFactory primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationOptions	ssg.md.ext.abbreviation.internal.AbbreviationOptions	Renamed	-		0		form=class primary=(DataHolder) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.abbreviation.internal.AbbreviationRepository	ssg.md.ext.abbreviation.internal.AbbreviationRepository	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.NodeRepository primary=(DataHolder) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.admonition.AdmonitionBlock	ssg.md.ext.admonition.AdmonitionBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.ast.ParagraphContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,Buffer)
type	com.vladsch.flexmark.ext.admonition.AdmonitionExtension	ssg.md.ext.admonition.AdmonitionExtension	Renamed	-		0		companion=yes form=class parents=ssg.md.parser.Parser$ParserExtension,ssg.md.html.HtmlRenderer$HtmlRendererExtension,ssg.md.formatter.Formatter$FormatterExtension primary=() primaryKind=unique-root primaryVis=private statics=ALLOW_LAZY_CONTINUATION,ALLOW_LEADING_SPACE,CONTENT_INDENT,INTERRUPTS_ITEM_PARAGRAPH,INTERRUPTS_PARAGRAPH,QUALIFIER_TITLE_MAP,QUALIFIER_TYPE_MAP,TYPE_SVG_MAP,UNRESOLVED_QUALIFIER,WITH_SPACES_INTERRUPTS_ITEM_PARAGRAPH,copy,create,getDefaultCSS,getDefaultScript,getInputStreamContent,getQualifierSvgValueMap,getQualifierTitleMap,getQualifierTypeMap
type	com.vladsch.flexmark.ext.admonition.AdmonitionVisitor	ssg.md.ext.admonition.AdmonitionVisitor	Renamed	-		0		form=trait
type	com.vladsch.flexmark.ext.admonition.AdmonitionVisitorExt	ssg.md.ext.admonition.AdmonitionVisitorExt	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.admonition.internal.AdmonitionBlockParser	ssg.md.ext.admonition.internal.AdmonitionBlockParser	Renamed	-		0		companion=yes form=class parents=ssg.md.parser.block.AbstractBlockParser primary=(AdmonitionOptions,int) primaryKind=unique-root primaryVis=public statics=ADMONITION_START_FORMAT,AdmonitionLeadInHandler,BlockFactory,Factory,isMarker
