#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	90
catalog(uncited)	121
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	21
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	0
dependency-coverage	0
dependency-coverage(all)	14
dependency-coverage(declared)	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	2
idiom(residue)	0
jdk-surface	0
manifest	0
markers	0
omissions	0
overload-risk	0
policy	0
port-map	0
portability(all)	18
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
