#id	check	kind	owner	path	line	detail
e3907700ecfa	catalog(consulted)	reached	JS-C01	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideBlock.java	20	lowering CtInvocation/Expression — consulted 15679, fired 2360, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
29b62601e183	catalog(consulted)	reached	JS-C02	flexmark-util-options/src/main/java/com/vladsch/flexmark/util/options/OptionsParser.java	35	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 28068, fired 17, declarations 0: interface constants are inherited through `implements`
ca90907b2403	catalog(consulted)	reached	JS-C03	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
cc0d8af856b0	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 2: a subclass field SHADOWS a superclass field — two storage cells, not one
e4af6723792c	catalog(consulted)	reached	JS-C05	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/AsideBlock.java	16	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 12389, fired 3085, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
0517e221317b	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 32, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
9e4050cf380e	catalog(consulted)	reached	JS-C07	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
884a6efe4b64	catalog(consulted)	reached	JS-C08	-	0	rendering ValDef — consulted 7, fired 0, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
6ba16c556517	catalog(consulted)	reached	JS-C09	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
e34cb815866c	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
f4fac0ef2ad4	catalog(consulted)	reached	JS-C13	flexmark-ext-aside/src/test/java/com/vladsch/flexmark/ext/aside/AsideParserTest.java	13	rendering ClassDef — consulted 1, fired 1, declarations 0: JLS 12.5's instance-creation sequence, whole
0de9f6db6a57	catalog(consulted)	reached	JS-C14	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: the superclass constructor runs before this class's field initialisers
4a7c3c4b9fec	catalog(consulted)	reached	JS-C16	-	0	rendering DefDef — consulted 2, fired 0, declarations 0: instance initialiser blocks
e3762193e3e9	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 1715, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
5f39980a5127	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
4ee1dd3eee75	catalog(consulted)	reached	JS-C19	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
9be20d35ff6a	catalog(consulted)	reached	JS-C20	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: the implicit `super()` and the default constructor
a366f0ddf7c3	catalog(consulted)	reached	JS-C21	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
db33832321ae	catalog(consulted)	reached	JS-C22	-	0	rendering Apply — consulted 32, fired 0, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
abe75dcdd506	catalog(consulted)	reached	JS-C23	-	0	rendering Apply — consulted 32, fired 0, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
4bf41b4af407	catalog(consulted)	reached	JS-C25	-	0	rendering DefDef — consulted 2, fired 0, declarations 0: `override` is mandatory in Scala and absent in Java
cf9c7c9c733f	catalog(consulted)	reached	JS-C29	-	0	rendering-type TypeRef — consulted 18, fired 0, declarations 0: a static NESTED class and an INNER class are different types, and only one is path-dependent
aa4f6f9f033c	catalog(consulted)	reached	JS-C31	flexmark-util-ast/src/main/java/com/vladsch/flexmark/util/ast/Node.java	21	lowering CtNewClass/Expression — consulted 1715, fired 28, declarations 0: anonymous class construction and capture
05ce85fb361b	catalog(consulted)	reached	JS-C33	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
37b8df24beba	catalog(consulted)	reached	JS-C34	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: interface statics are not inherited AT ALL, not even by an implementor
0e1009180679	catalog(consulted)	reached	JS-C36	-	0	rendering ValDef — consulted 7, fired 0, declarations 0: an interface field is implicitly `public static final`
3f605eab5976	catalog(consulted)	reached	JS-C37	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: `name()`, `values()` and `valueOf` are SYNTHESISED on every Java enum
308a0a20c98b	catalog(consulted)	reached	JS-C38	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: a promoted enum constructor parameter IS a member, and `name` collides with `Enum.name()`
664792c4a51f	catalog(consulted)	reached	JS-C39	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: `ordinal()` is part of every Java enum's surface, mentioned or not
a0590136d8b5	catalog(consulted)	reached	JS-C40	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: enum constants with PER-CONSTANT class bodies
e11ec9ca94d3	catalog(consulted)	reached	JS-C43	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: Java `record`
1c64232c1004	catalog(consulted)	reached	JS-C44	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: `sealed` / `non-sealed` / `permits`
822e40347b42	catalog(consulted)	reached	JS-C45	-	0	rendering ValDef — consulted 7, fired 0, declarations 0: a `final` field's JMM safe-publication guarantee
633e0e4d303a	catalog(consulted)	reached	JS-C46	-	0	phase member-clash — consulted 0, fired 0, declarations 33: Java has TWO name namespaces and Scala has one
dfba25124533	catalog(consulted)	reached	JS-C47	flexmark-ext-aside/src/test/java/com/vladsch/flexmark/ext/aside/AsideParserTest.java	14	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 2, declarations 0: package-private becomes `private[pkg]`
40d0bcb6d959	catalog(consulted)	reached	JS-C48	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: Java's `protected` also grants SAME-PACKAGE access, and accessibility is an input to overload resolution
4b532f7a1f1f	catalog(consulted)	reached	JS-C49	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: Java's `private` reaches the whole enclosing TOP-LEVEL class; Scala's reaches only the template
ea42e27f539e	catalog(consulted)	reached	JS-C50	flexmark-ext-aside/src/test/java/com/vladsch/flexmark/ext/aside/AsideParserTest.java	14	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 2, declarations 0: Java's default access is package-private and Scala's is public — INVERTED
1710800a5b8b	catalog(consulted)	reached	JS-E01	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideBlockParser.java	191	lowering CtBinaryOperator/Expression — consulted 7991, fired 346, declarations 0: `==`/`!=` are REFERENCE identity in Java; Scala's `==` calls `equals`
4ba2cbebb650	catalog(consulted)	reached	JS-E02	flexmark-util-ast/src/main/java/com/vladsch/flexmark/util/ast/Node.java	519	lowering CtUnaryOperator/Expression — consulted 1083, fired 96, declarations 0: postfix/prefix `++`/`--` USED AS A VALUE yields the value before the update — the VALUE only; the operand's single evaluation is JS-E17
1befc2216b87	catalog(consulted)	reached	JS-E03	flexmark-util-sequence/src/main/java/com/vladsch/flexmark/util/sequence/builder/tree/Segment.java	640	lowering CtOperatorAssignment/Statement — consulted 177, fired 1, declarations 0: compound assignment NARROWS implicitly to the left-hand type — STATEMENT position; the lvalue's single evaluation is JS-E17
9f9f00e934b8	catalog(consulted)	reached	JS-E05	flexmark-util-ast/src/main/java/com/vladsch/flexmark/util/ast/BlockContent.java	20	lowering CtConditional/Expression — consulted 736, fired 736, declarations 0: the conditional operator's type is computed, not the syntactic lub of its branches
bf1f204c6538	catalog(consulted)	reached	JS-E14	flexmark-util-misc/src/main/java/com/vladsch/flexmark/util/misc/BitFieldSet.java	713	lowering CtBinaryOperator/Expression — consulted 7991, fired 16, declarations 0: string concatenation with a NON-`String` left operand
31c9248605ff	catalog(consulted)	reached	JS-E15	flexmark-ext-aside/src/main/java/com/vladsch/flexmark/ext/aside/internal/AsideBlockParser.java	78	lowering CtAssignment/Expression — consulted 25, fired 25, declarations 0: an assignment IS an expression, with the assigned value
c66b5af11a9b	catalog(consulted)	reached	JS-G01	<synthetic>	0	lowering-type CtWildcardReference + rendering-type TypeBounds — consulted 3248, fired 1148, declarations 0: use-site wildcards, with the matching bound grammar
d7d605088fca	catalog(consulted)	reached	JS-G03	-	0	lowering-type CtWildcardReference — consulted 3248, fired 0, declarations 0: `? super Object` has exactly one inhabitant
f8a8210e3075	catalog(consulted)	reached	JS-G04	-	0	rendering ForEach — consulted 2, fired 0, declarations 0: a captured wildcard on ITERATION has no nameable type
111d1d340f15	catalog(consulted)	reached	JS-G05	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: a wildcard in an `extends` clause takes the parameter's DECLARED bound
51594467f6dc	catalog(consulted)	reached	JS-G07	<synthetic>	0	lowering-type CtTypeReference — consulted 147411, fired 778, declarations 0: a RAW type erases the REFERENCE's generics, not the class's
