#unit	member	kind	digest
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest	class	c5750189acf6e2c2
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt1>	stmt	93e4bd0cbab59254
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt2>	stmt	d5c7cf8a4cd4eb63
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt3>	stmt	136a1205eb3850da
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt4>	stmt	c8adc398a56a27e2
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt5>	stmt	494db965d5291d17
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt6>	stmt	b77b3fe53b48ea08
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#FORMATTER	val	2cdc1442be9378b2
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#FORMATTER_AS_IS	val	6b4a3033a7c37144
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#OPTIONS	val	f3341ff145f82e22
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#OPTIONS_AS_IS	val	544738bb024eebe6
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#PARSER	val	bcac6bbb7d2727b0
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#assertMerged(String,Array<String>)	def	996984d8d14eed01
ssg.md.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest#assertMergedAsIs(String,Array<String>)	def	745c77c62d657805
