# balticporter port map	schema=4	module=ssg-md-ext-test	engine=balticporter/0.1.0-SNAPSHOT	sources=726df4395b31fc1c	files=16	policy=a9366a29e9f1e4ab	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest	ssg.md.ext.abbreviation.MergeAbbreviationsTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,FORMATTER_AS_IS,OPTIONS,OPTIONS_AS_IS,PARSER,assertMerged,assertMergedAsIs
type	com.vladsch.flexmark.ext.admonition.AdmonitionParserTest	ssg.md.ext.admonition.AdmonitionParserTest	Renamed	-		0		flags=final form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.aside.AsideParserTest	ssg.md.ext.aside.AsideParserTest	Renamed	-		0		flags=final form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.attributes.MergeAttributesTest	ssg.md.ext.attributes.MergeAttributesTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,OPTIONS,PARSER,assertMerged
type	com.vladsch.flexmark.ext.autolink.MergeAutoLinkTest	ssg.md.ext.autolink.MergeAutoLinkTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,OPTIONS,PARSER,assertMerged
type	com.vladsch.flexmark.ext.definition.DefinitionParserTest	ssg.md.ext.definition.DefinitionParserTest	Renamed	-		0		flags=final form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.enumerated.reference.MergeEnumeratedReferenceTest	ssg.md.ext.enumerated.reference.MergeEnumeratedReferenceTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,OPTIONS,PARSER,assertMerged
type	com.vladsch.flexmark.ext.footnotes.MergeFootnotesTest	ssg.md.ext.footnotes.MergeFootnotesTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,OPTIONS,PARSER,assertMerged
type	com.vladsch.flexmark.ext.jekyll.tag.MergeJekyllTagTest	ssg.md.ext.jekyll.tag.MergeJekyllTagTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=EMBEDDING_FORMATTER,EMBEDDING_PARSER,NON_EMBEDDING_FORMATTER,NON_EMBEDDING_OPTIONS,NON_EMBEDDING_PARSER,OPTIONS,assertMerged,content
type	com.vladsch.flexmark.ext.macros.MergeMacrosTest	ssg.md.ext.macros.MergeMacrosTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=FORMATTER,OPTIONS,PARSER,assertMerged
type	com.vladsch.flexmark.ext.tables.MarkdownSortTableTest	ssg.md.ext.tables.MarkdownSortTableTest	Renamed	-		0		form=class parents=ssg.md.ext.tables.MarkdownTableTestBase primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.tables.MarkdownTableTest	ssg.md.ext.tables.MarkdownTableTest	Renamed	-		0		companion=yes form=class parents=ssg.md.ext.tables.MarkdownTableTestBase primary=() primaryKind=unique-root primaryVis=public statics=formatted1,formatted2,formatted3,formattedNoCaption1,formattedNoCaption2,formattedNoCaption3,markdown1,markdown2,markdown3,markdown4,markdown5,markdown6,markdown7,markdown8
type	com.vladsch.flexmark.ext.tables.MarkdownTableTestBase	ssg.md.ext.tables.MarkdownTableTestBase	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.tables.MarkdownTransposeTableTest	ssg.md.ext.tables.MarkdownTransposeTableTest	Renamed	-		0		companion=yes form=class parents=ssg.md.ext.tables.MarkdownTableTestBase primary=() primaryKind=unique-root primaryVis=public statics=transposedNoCaption1,transposedNoCaption2,transposedNoCaption3
type	com.vladsch.flexmark.ext.tables.TableCellOffsetInfoTest	ssg.md.ext.tables.TableCellOffsetInfoTest	Renamed	-		0		form=class parents=ssg.md.ext.tables.MarkdownTableTestBase primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.ext.tables.TableTextCollectingVisitorTest	ssg.md.ext.tables.TableTextCollectingVisitorTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaEnumMap	Added	-		0		
type		balticporter.runtime.JavaEnumSet	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
type		balticporter.runtime.JavaListIterator	Added	-		0		
type		balticporter.runtime.JavaOptionalDouble	Added	-		0		
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
type		balticporter.runtime.JavaStack	Added	-		0		
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt1>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt1>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	75	93e4bd0cbab59254	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt2>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt2>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	80	d5c7cf8a4cd4eb63	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt3>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt3>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	106	136a1205eb3850da	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt4>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt4>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	111	c8adc398a56a27e2	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt5>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt5>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	117	494db965d5291d17	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#<stmt6>	ssg.md.ext.abbreviation.MergeAbbreviationsTest#<stmt6>	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	146	b77b3fe53b48ea08	
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#FORMATTER	ssg.md.ext.abbreviation.MergeAbbreviationsTest#FORMATTER	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	26	2cdc1442be9378b2	placement=companion vis=private
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#FORMATTER_AS_IS	ssg.md.ext.abbreviation.MergeAbbreviationsTest#FORMATTER_AS_IS	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	27	6b4a3033a7c37144	placement=companion vis=private
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#OPTIONS	ssg.md.ext.abbreviation.MergeAbbreviationsTest#OPTIONS	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	15	f3341ff145f82e22	placement=companion vis=private
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#OPTIONS_AS_IS	ssg.md.ext.abbreviation.MergeAbbreviationsTest#OPTIONS_AS_IS	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	23	544738bb024eebe6	placement=companion vis=private
member	com.vladsch.flexmark.ext.abbreviation.MergeAbbreviationsTest#PARSER	ssg.md.ext.abbreviation.MergeAbbreviationsTest#PARSER	Renamed	-	flexmark-ext-abbreviation/src/test/java/com/vladsch/flexmark/ext/abbreviation/MergeAbbreviationsTest.java	28	bcac6bbb7d2727b0	placement=companion vis=private
