#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	95
catalog(uncited)	120
catalog(undischarged)	6
catalog(unmechanised)	1
catalog(unreached)	15
class-init-trigger	0
collection-boundary	22
collection-closure	3
collection-internal	5
collection-retarget	0
dependency-coverage	10
dependency-coverage(all)	10
dependency-coverage(declared)	0
heap-pollution	13
idiom(converted)	0
idiom(refused)	315
idiom(residue)	0
jdk-surface	25
manifest	0
markers	0
omissions	61
overload-risk	563
policy	0
port-map	0
portability(all)	18
portability(emitted)	18
portability(injected)	0
porter-notes	0
remediation	8
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	5
try-resource	0
