#unit	member	kind	digest
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget	class	270ef9bf1e318097
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget#getAnchorRefId()	def	46f5d39d9032a82f
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget#getAnchorRefText()	def	3d17fa7f34d5fe62
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget#isExplicitAnchorRefId()	def	1d23bb7be31df940
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget#setAnchorRefId(String)	def	cda249eea441fdc1
ssg.md.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget#setExplicitAnchorRefId(boolean)	def	06e934a63d112eb9
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink	class	290540fa4702a7be
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink#<init>(BasedSequence)	ctor	2f5cfc98896beb36
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink#<init>(BasedSequence,BasedSequence,BasedSequence)	ctor	c923aa012fa84b43
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink#getAstExtra(StringBuilder)	def	279dee1e31724628
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink#getSegments()	def	65392de4119d23f3
ssg.md.ast.AutoLink	ssg.md.ast.AutoLink#getSegmentsForChars()	def	2dafb95787b2f912
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote	class	af11381d53e80bef
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote#<init>(BasedSequence)	ctor	2f5cfc98896beb36
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote#<init>(BasedSequence,Buffer<BasedSequence>)	ctor	05f7a73bfc49f008
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote#<init>(BlockContent)	ctor	946a0b5b2a8b08b5
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote#getAstExtra(StringBuilder)	def	e29eba78db947ea9
ssg.md.ast.BlockQuote	ssg.md.ast.BlockQuote#getOpeningMarker()	def	1d7ea00c1329db9b
