# balticporter port map	schema=3	module=ssg-md	engine=balticporter/0.1.0-SNAPSHOT	sources=168378b1b0affffa	files=422	policy=3dc15a4b2f41e628
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.vladsch.flexmark.ast.AnchorRefTarget	ssg.md.ast.AnchorRefTarget	Renamed	-		0		form=trait
type	com.vladsch.flexmark.ast.AutoLink	ssg.md.ast.AutoLink	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.DelimitedLinkNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.BlockQuote	ssg.md.ast.BlockQuote	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.util.ast.BlockQuoteLike,ssg.md.util.ast.KeepTrailingBlankLineContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.BulletList	ssg.md.ast.BulletList	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.ListBlock primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.BulletListItem	ssg.md.ast.BulletListItem	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.ListItem primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.Code	ssg.md.ast.Code	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.DelimitedNodeImpl,ssg.md.util.ast.DoNotLinkDecorate primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.CodeBlock	ssg.md.ast.CodeBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.DelimitedLinkNode	ssg.md.ast.DelimitedLinkNode	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.LinkNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.DelimitedNodeImpl	ssg.md.ast.DelimitedNodeImpl	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.util.ast.Node,ssg.md.util.ast.DelimitedNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.Emphasis	ssg.md.ast.Emphasis	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.DelimitedNodeImpl primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.FencedCodeBlock	ssg.md.ast.FencedCodeBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.util.ast.DoNotDecorate primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,Buffer,BasedSequence)
type	com.vladsch.flexmark.ast.HardLineBreak	ssg.md.ast.HardLineBreak	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Node,ssg.md.util.ast.DoNotTrim,ssg.md.util.ast.TextContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.Heading	ssg.md.ast.Heading	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.ast.AnchorRefTarget primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.HtmlBlock	ssg.md.ast.HtmlBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlBlockBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.HtmlBlockBase	ssg.md.ast.HtmlBlockBase	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.util.ast.Block primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.HtmlCommentBlock	ssg.md.ast.HtmlCommentBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlBlockBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.HtmlEntity	ssg.md.ast.HtmlEntity	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Node,ssg.md.util.ast.TextContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.HtmlInline	ssg.md.ast.HtmlInline	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlInlineBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.HtmlInlineBase	ssg.md.ast.HtmlInlineBase	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.util.ast.Node primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.HtmlInlineComment	ssg.md.ast.HtmlInlineComment	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlInlineBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.HtmlInnerBlock	ssg.md.ast.HtmlInnerBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlBlockBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.HtmlInnerBlockComment	ssg.md.ast.HtmlInnerBlockComment	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.HtmlBlockBase primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.Image	ssg.md.ast.Image	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.InlineLinkNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.ImageRef	ssg.md.ast.ImageRef	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.RefNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.IndentedCodeBlock	ssg.md.ast.IndentedCodeBlock	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.Block,ssg.md.util.ast.TextContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,Buffer);(BlockContent)
type	com.vladsch.flexmark.ast.InlineLinkNode	ssg.md.ast.InlineLinkNode	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.ast.LinkNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.Link	ssg.md.ast.Link	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.InlineLinkNode primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence)
type	com.vladsch.flexmark.ast.LinkNode	ssg.md.ast.LinkNode	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.ast.LinkNodeBase,ssg.md.util.ast.DoNotLinkDecorate,ssg.md.util.ast.TextContainer primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.LinkNodeBase	ssg.md.ast.LinkNodeBase	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.util.ast.Node primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence)
type	com.vladsch.flexmark.ast.LinkRef	ssg.md.ast.LinkRef	Renamed	-		0		companion=yes form=class parents=ssg.md.ast.RefNode,ssg.md.ast.LinkRendered primary=() primaryKind=no-arg-root primaryVis=public secondaries=(BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence);(BasedSequence,BasedSequence,BasedSequence,BasedSequence,BasedSequence)
