#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	99
catalog(uncited)	122
catalog(undischarged)	6
catalog(unmechanised)	1
catalog(unreached)	13
class-init-trigger	0
collection-boundary	5
collection-closure	0
collection-internal	0
collection-retarget	0
dependency-coverage	0
dependency-coverage(all)	10
dependency-coverage(declared)	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	18
idiom(residue)	0
jdk-surface	6
manifest	0
markers	0
omissions	15
overload-risk	1654
policy	0
port-map	0
portability(all)	44
portability(emitted)	26
portability(injected)	0
porter-notes	0
remediation	7
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
test-framework(refused)	34
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
