#id	check	kind	owner	path	line	detail
7726de0f414a	catalog(consulted)	reached	JS-C01	com/vladsch/flexmark/util/ExceptionMatcher.java	48	lowering CtInvocation/Expression — consulted 31836, fired 9307, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
345e43d60b7d	catalog(consulted)	reached	JS-C02	../../../../flexmark-util-options/src/main/java/com/vladsch/flexmark/util/options/OptionsParser.java	35	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 45692, fired 36, declarations 0: interface constants are inherited through `implements`
65030324199a	catalog(consulted)	reached	JS-C03	com/vladsch/flexmark/util/sequence/builder/PlainSegmentBuilderTest.java	443	rendering ClassDef — consulted 64, fired 1, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
0cf1a81aadf3	catalog(consulted)	reached	JS-C05	../../../../flexmark-util-ast/src/main/java/com/vladsch/flexmark/util/ast/BlankLine.java	39	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 13856, fired 4400, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
fe70d8bf7f4b	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 21599, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
773fa29c49e5	catalog(consulted)	reached	JS-C07	com/vladsch/flexmark/util/sequence/PlaceholderReplacerTest.java	13	rendering ClassDef — consulted 64, fired 2, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
6677b5c7d486	catalog(consulted)	reached	JS-C08	-	0	rendering ValDef — consulted 2375, fired 0, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
84b22598efaf	catalog(consulted)	reached	JS-C09	com/vladsch/flexmark/util/sequence/PlaceholderReplacerTest.java	13	rendering ClassDef — consulted 64, fired 1, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
acc6a26f87f2	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 64, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
5e809fc16a7f	catalog(consulted)	reached	JS-C13	com/vladsch/flexmark/util/ExceptionMatcher.java	9	rendering ClassDef — consulted 64, fired 59, declarations 0: JLS 12.5's instance-creation sequence, whole
f21e11448783	catalog(consulted)	reached	JS-C14	com/vladsch/flexmark/util/sequence/builder/PlainSegmentBuilderTest.java	443	rendering ClassDef — consulted 64, fired 1, declarations 0: the superclass constructor runs before this class's field initialisers
010f9ffe02f5	catalog(consulted)	reached	JS-C16	-	0	rendering DefDef — consulted 103, fired 0, declarations 0: instance initialiser blocks
1a4fe38057a8	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 2125, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
01384b3ae3ad	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 64, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
70f76795c73e	catalog(consulted)	reached	JS-C19	com/vladsch/flexmark/util/misc/BitFieldSetTest.java	19	rendering ClassDef — consulted 64, fired 3, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
