#unit	member	kind	digest
ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	class	f8cfe734decbf359
ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest#OPTIONS	val	d6d44ba7f5006153
ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest#RESOURCE_LOCATION	val	15e08ba5caa356e2
ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest#SPEC_RESOURCE	val	5aeaf7943b90ab9d
ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest#getSpecResourceLocation()	def	19dd1d7e99fb27f5
ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	class	31f62e32b0db9b51
ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest#OPTIONS	val	da7a55a3845287ad
ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest#RESOURCE_LOCATION	val	3b3014bc2b2dcfdb
ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest#SPEC_RESOURCE	val	8144fca0cf3d454e
ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest#getSpecResourceLocation()	def	1b9ab05c56f7a4be
ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	class	6bc506a4051772d1
ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest#OPTIONS	val	a24797a3b6bb0412
ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest#RESOURCE_LOCATION	val	7765ea3b52dfbeb5
ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest#SPEC_RESOURCE	val	03a28b01583ee18f
ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest#getSpecResourceLocation()	def	a955c51aa347892f
ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	class	57d1aab9c181e0a6
ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	ssg.md.core.test.util.renderer.FullOrigSpecCoreTest#RESOURCE_LOCATION	val	b53795a5086d6dae
ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	ssg.md.core.test.util.renderer.FullOrigSpecCoreTest#SPEC_RESOURCE	val	982040d589897aa3
ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	ssg.md.core.test.util.renderer.FullOrigSpecCoreTest#getSpecResourceLocation()	def	f827ff814e7e38f2
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest	class	599e805504bbe654
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest#<stmt1>	stmt	8c13751dbf8da2bb
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest#OPTIONS	val	ea3f17872d5bbcde
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest#getSpecExampleRenderer(SpecExample,DataHolder)	def	313e8ec3e8311560
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest#myDefaultOptions	val	aaaa72725d013259
ssg.md.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest#options(String)	def	fca263d67fe31ef7
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor	class	2f94a39ae5ce3352
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor#EOL	val	1c0f76e42388e282
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor#appendEOL()	def	24debd26ec07faa0
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor#appendIndent()	def	ca5dd182873dbf8a
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor#appendPendingEOL()	def	4cdf5b7969d266f7
ssg.md.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor#clear()	def	e213d4fe2eaad790
