# balticporter port map	schema=4	module=ssg-md-test	engine=balticporter/0.1.0-SNAPSHOT	sources=6c78407df8b7fa09	files=79	policy=a9366a29e9f1e4ab	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.vladsch.flexmark.core.test.util.renderer.FullOrigSpec027CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec027CoreTest	Renamed	-		0		companion=yes flags=final form=class parents=ssg.md.core.test.util.renderer.OrigSpecCoreTest primary=() primaryKind=unique-root primaryVis=public statics=OPTIONS,RESOURCE_LOCATION,SPEC_RESOURCE
type	com.vladsch.flexmark.core.test.util.renderer.FullOrigSpec028CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec028CoreTest	Renamed	-		0		companion=yes flags=final form=class parents=ssg.md.core.test.util.renderer.OrigSpecCoreTest primary=() primaryKind=unique-root primaryVis=public statics=OPTIONS,RESOURCE_LOCATION,SPEC_RESOURCE
type	com.vladsch.flexmark.core.test.util.renderer.FullOrigSpec029CoreTest	ssg.md.core.test.util.renderer.FullOrigSpec029CoreTest	Renamed	-		0		companion=yes flags=final form=class parents=ssg.md.core.test.util.renderer.OrigSpecCoreTest primary=() primaryKind=unique-root primaryVis=public statics=OPTIONS,RESOURCE_LOCATION,SPEC_RESOURCE
type	com.vladsch.flexmark.core.test.util.renderer.FullOrigSpecCoreTest	ssg.md.core.test.util.renderer.FullOrigSpecCoreTest	Renamed	-		0		companion=yes flags=final form=class parents=ssg.md.core.test.util.renderer.OrigSpecCoreTest primary=() primaryKind=unique-root primaryVis=public statics=RESOURCE_LOCATION,SPEC_RESOURCE
type	com.vladsch.flexmark.core.test.util.renderer.OrigSpecCoreTest	ssg.md.core.test.util.renderer.OrigSpecCoreTest	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.test.util.FullSpecTestCase primary=(DataHolder) primaryKind=unique-root primaryVis=public statics=OPTIONS
type	com.vladsch.flexmark.test.util.AstCollectingVisitor	ssg.md.test.util.AstCollectingVisitor	Renamed	-		0		companion=yes form=class parents=ssg.md.util.ast.NodeVisitorBase primary=() primaryKind=unique-root primaryVis=public statics=EOL
type	com.vladsch.flexmark.test.util.ComboSpecTestCase	ssg.md.test.util.ComboSpecTestCase	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.test.util.FullSpecTestCase primary=(SpecExample,Map,DataHolder[]) primaryKind=unique-root primaryVis=public statics=CUSTOM_OPTION,aggregate,dataHolders,getTestData,optionsMaps,placementAndSortOptions
type	com.vladsch.flexmark.test.util.DumpSpecReader	ssg.md.test.util.DumpSpecReader	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.spec.SpecReader primary=(InputStream,SpecExampleProcessor,ResourceLocation,boolean) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.test.util.DumpTemplateReader	ssg.md.test.util.DumpTemplateReader	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.spec.TemplateReader primary=(InputStream,TemplateTestCase) primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.test.util.ExampleOption	ssg.md.test.util.ExampleOption	Renamed	-		0		companion=yes form=class primary=(BasedSequence,BasedSequence,BasedSequence,boolean,boolean,boolean,boolean) primaryKind=unique-root primaryVis=private statics=BUILT_IN_OPTIONS_MAP,BUILT_IN_OPTIONS_SET,build,getBuiltInOptions,of
type	com.vladsch.flexmark.test.util.ExceptionMatcher	ssg.md.test.util.ExceptionMatcher	Renamed	-		0		companion=yes form=class parents=org.hamcrest.BaseMatcher primary=(Class,Pattern,String) primaryKind=unique-root primaryVis=public statics=`match`,matchPrefix,matchRegEx
type	com.vladsch.flexmark.test.util.FlexmarkResourceUrlResolver	ssg.md.test.util.FlexmarkResourceUrlResolver	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.test.util.FlexmarkResourceUrlResolver$BuildTestResourceUrlResolver	ssg.md.test.util.FlexmarkResourceUrlResolver$BuildTestResourceUrlResolver	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.spec.ResourceUrlResolver primary=() primaryKind=unique-root primaryVis=public statics=SRC_TEST_RESOURCES,TEST_RESOURCES
type	com.vladsch.flexmark.test.util.FlexmarkResourceUrlResolver$OutTestResourcesUrlResolver	ssg.md.test.util.FlexmarkResourceUrlResolver$OutTestResourcesUrlResolver	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.spec.ResourceUrlResolver primary=() primaryKind=unique-root primaryVis=public statics=OUT_TEST,SRC_TEST_RESOURCES
type	com.vladsch.flexmark.test.util.FlexmarkResourceUrlResolver$TargetTestResourceUrlResolver	ssg.md.test.util.FlexmarkResourceUrlResolver$TargetTestResourceUrlResolver	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.spec.ResourceUrlResolver primary=() primaryKind=unique-root primaryVis=public statics=SRC_TEST_RESOURCES,TEST_RESOURCES
type	com.vladsch.flexmark.test.util.FlexmarkSpecExampleRenderer	ssg.md.test.util.FlexmarkSpecExampleRenderer	Renamed	-		0		companion=yes form=class parents=ssg.md.test.util.SpecExampleRendererBase primary=(SpecExample,DataHolder,IParse,IRender,boolean) primaryKind=unique-root primaryVis=public secondaries=(SpecExample,DataHolder,IParse,IRender)
type	com.vladsch.flexmark.test.util.FullSpecTestCase	ssg.md.test.util.FullSpecTestCase	Renamed	-		0		companion=yes flags=abstract form=class parents=ssg.md.test.util.RenderingTestCase,ssg.md.test.util.SpecExampleProcessor primary=() primaryKind=unique-root primaryVis=public
type	com.vladsch.flexmark.test.util.LoadUnloadDataKeyAggregator	ssg.md.test.util.LoadUnloadDataKeyAggregator	Renamed	-		0		companion=yes form=class parents=ssg.md.util.data.DataKeyAggregator primary=() primaryKind=unique-root primaryVis=private statics=INSTANCE,LOAD_EXTENSIONS,UNLOAD_EXTENSIONS
type	com.vladsch.flexmark.test.util.RenderingTestCase	ssg.md.test.util.RenderingTestCase	Renamed	-		0		companion=yes flags=abstract form=class parents=munit.FunSuite,ssg.md.test.util.SpecExampleProcessor primary=() primaryKind=unique-root primaryVis=public statics=EMBED_TIMED,EXTENSIONS,FAIL,IGNORE,INCLUDED_DOCUMENT,LOAD_EXTENSIONS,NO_FILE_EOL,NO_FILE_EOL_FALSE,SOURCE_INDENT,SOURCE_PREFIX,SOURCE_SUFFIX,TIMED,TIMED_ITERATIONS,UNLOAD_EXTENSIONS
type	com.vladsch.flexmark.test.util.SettableExtractedInstance	ssg.md.test.util.SettableExtractedInstance	Renamed	-		0		flags=final form=class primary=(DataKey,Function) primaryKind=unique-root primaryVis=public tparams="[T <: java.lang.Object, S <: java.lang.Object]"
