#check	count
api-parity(accessor)	86
api-parity(collection-retarget)	0
api-parity(factory)	2
api-parity(file-merge)	0
api-parity(hand-original)	0
api-parity(hand-port-extra)	211
api-parity(mutability)	28
api-parity(null-model)	39
api-parity(opaque)	0
api-parity(operator)	0
api-parity(port-extra)	568
api-parity(rename)	0
api-parity(rule)	9
api-parity(signature)	125
api-parity(static-placement)	8
api-parity(unclassified)	0
api-parity(visibility)	141
base-surface	19
break-catch	0
cast-conversion	0
catalog(consulted)	106
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	11
class-init-trigger	0
collection-boundary	2
collection-closure	0
collection-internal	0
collection-retarget	35
context-seam	0
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	0
gdx-shared-iterator	0
heap-pollution	8
idiom(converted)	220
idiom(refused)	349
idiom(residue)	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	0
omissions	24
opaque-boundary	0
overload-risk	23
policy	2
port-map	0
portability(all)	154
portability(emitted)	1
portability(injected)	0
porter-notes	4
registry(by-name)	0
registry(facade)	0
registry(guarded-call)	0
registry(jvm-only-miss)	2
registry(non-class-arg)	0
registry(out-of-scope)	0
registry(self-clone)	0
remediation	1
rewrite-callsites	1
signature	10
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	2
try-resource	0
unused-symbol(handled)	3
unused-symbol(refused)	0
upstream	gdx-ai@6726e345248ddcad7cec0737f6ad83e4e028266d
