#id	check	kind	owner	path	line	detail
0d8fc5fc4ecf	catalog(consulted)	reached	JS-C01	../../../libgdx/gdx/src/com/badlogic/gdx/Input.java	634	lowering CtInvocation/Expression — consulted 28764, fired 3821, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
a918271d5678	catalog(consulted)	reached	JS-C02	../../../libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java	205	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 83105, fired 76, declarations 0: interface constants are inherited through `implements`
17f0b37db38b	catalog(consulted)	reached	JS-C03	com/badlogic/gdx/ai/StandaloneFileSystem.java	63	rendering ClassDef — consulted 209, fired 8, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
2918335c00e9	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 19: a subclass field SHADOWS a superclass field — two storage cells, not one
32b0fc1a3f57	catalog(consulted)	reached	JS-C05	../../../libgdx/gdx/src/com/badlogic/gdx/AbstractGraphics.java	14	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 54341, fired 10437, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
1209ba230ec1	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 3265, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
0ebbb4db68de	catalog(consulted)	reached	JS-C07	com/badlogic/gdx/ai/GdxAI.java	41	rendering ClassDef — consulted 209, fired 51, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
7b86a9ceb774	catalog(consulted)	reached	JS-C08	com/badlogic/gdx/ai/btree/utils/BehaviorTreeParser.java	64	rendering ValDef — consulted 856, fired 26, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
9bd52ac4022b	catalog(consulted)	reached	JS-C09	com/badlogic/gdx/ai/GdxAI.java	41	rendering ClassDef — consulted 209, fired 18, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
b249c4ceaf8b	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 209, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
4591a8df1799	catalog(consulted)	reached	JS-C13	com/badlogic/gdx/ai/DefaultTimepiece.java	20	rendering ClassDef — consulted 209, fired 161, declarations 0: JLS 12.5's instance-creation sequence, whole
085e9cc392e7	catalog(consulted)	reached	JS-C14	com/badlogic/gdx/ai/btree/TaskCloneException.java	23	rendering ClassDef — consulted 209, fired 45, declarations 0: the superclass constructor runs before this class's field initialisers
102ef2460c0e	catalog(consulted)	reached	JS-C16	com/badlogic/gdx/ai/btree/utils/BehaviorTreeParser.java	162	rendering DefDef — consulted 1190, fired 2, declarations 0: instance initialiser blocks
d83c31ad04bd	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 4140, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
0b91b3757b95	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 209, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
78c1e4cf598c	catalog(consulted)	reached	JS-C19	com/badlogic/gdx/ai/DefaultTimepiece.java	20	rendering ClassDef — consulted 209, fired 69, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
0e54f57132fe	catalog(consulted)	reached	JS-C20	com/badlogic/gdx/ai/btree/BehaviorTree.java	182	rendering ClassDef — consulted 209, fired 4, declarations 0: the implicit `super()` and the default constructor
554c3807f03a	catalog(consulted)	reached	JS-C21	com/badlogic/gdx/ai/DefaultTimepiece.java	20	rendering ClassDef — consulted 209, fired 69, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
dc0c33ebe699	catalog(consulted)	reached	JS-C22	com/badlogic/gdx/ai/msg/MessageDispatcher.java	148	rendering Apply — consulted 3265, fired 9, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
9b3c52b7bfcf	catalog(consulted)	reached	JS-C23	-	0	rendering Apply — consulted 3265, fired 0, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
2ea134db33ba	catalog(consulted)	reached	JS-C25	com/badlogic/gdx/ai/DefaultTimepiece.java	37	rendering DefDef — consulted 1190, fired 484, declarations 0: `override` is mandatory in Scala and absent in Java
684f165b2899	catalog(consulted)	reached	JS-C29	com/badlogic/gdx/ai/FileSystem.java	29	rendering-type TypeRef — consulted 7665, fired 1946, declarations 0: a static NESTED class and an INNER class are different types, and only one is path-dependent
e01c09a8b4b7	catalog(consulted)	reached	JS-C31	com/badlogic/gdx/ai/StandaloneFileSystem.java	34	lowering CtNewClass/Expression — consulted 4140, fired 175, declarations 0: anonymous class construction and capture
afefdc0fa54b	catalog(consulted)	reached	JS-C33	com/badlogic/gdx/ai/msg/Telegram.java	23	rendering ClassDef — consulted 209, fired 9, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
335eb687dd8a	catalog(consulted)	reached	JS-C34	com/badlogic/gdx/ai/StandaloneFileSystem.java	63	rendering ClassDef — consulted 209, fired 48, declarations 0: interface statics are not inherited AT ALL, not even by an implementor
e682b5eeb5cf	catalog(consulted)	reached	JS-C36	-	0	rendering ValDef — consulted 856, fired 0, declarations 0: an interface field is implicitly `public static final`
2350e4a3cf03	catalog(consulted)	reached	JS-C37	com/badlogic/gdx/ai/btree/Task.java	37	rendering ClassDef — consulted 209, fired 4, declarations 0: `name()`, `values()` and `valueOf` are SYNTHESISED on every Java enum
d206b4a87666	catalog(consulted)	reached	JS-C38	com/badlogic/gdx/ai/btree/utils/BehaviorTreeParser.java	191	rendering ClassDef — consulted 209, fired 1, declarations 0: a promoted enum constructor parameter IS a member, and `name` collides with `Enum.name()`
a6805990936d	catalog(consulted)	reached	JS-C39	com/badlogic/gdx/ai/btree/Task.java	37	rendering ClassDef — consulted 209, fired 4, declarations 0: `ordinal()` is part of every Java enum's surface, mentioned or not
