#id	check	kind	owner	path	line	detail
dd064d992a65	base-surface	unanswered	sge.ai.msg.PriorityQueue#size		0	sge-ai publishes 2 overloads of sge.ai.msg.PriorityQueue#size and they do not agree (name=size$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-ai]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
f0c098f9ca67	base-surface	unanswered	sge.ai.utils.CircularBuffer#size		0	sge-ai publishes 2 overloads of sge.ai.utils.CircularBuffer#size and they do not agree (name=size$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-ai]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
300f60ae10d5	base-surface	unanswered	sge.files.FileHandle#type		0	sge publishes 2 overloads of sge.files.FileHandle#type and they do not agree (name=type$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
babdb14656d1	base-surface	unanswered	sge.graphics.g2d.BitmapFont#ownsTexture		0	sge publishes 2 overloads of sge.graphics.g2d.BitmapFont#ownsTexture and they do not agree (name=ownsTexture$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
13102d5b0f81	base-surface	unanswered	sge.graphics.g2d.ParticleEmitter#cleansUpBlendFunction		0	sge publishes 2 overloads of sge.graphics.g2d.ParticleEmitter#cleansUpBlendFunction and they do not agree (name=cleansUpBlendFunction$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
061f2bcbced8	base-surface	unanswered	sge.input.NativeInputConfiguration#isMultiLine		0	sge publishes 2 overloads of sge.input.NativeInputConfiguration#isMultiLine and they do not agree (name=isMultiLine$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
7105b0459261	base-surface	unanswered	sge.maps.tiled.TiledMapImageLayer#supportsTransparency		0	sge publishes 2 overloads of sge.maps.tiled.TiledMapImageLayer#supportsTransparency and they do not agree (name=supportsTransparency$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
fd30eeaa7f61	base-surface	unanswered	sge.scenes.scene2d.ui.Widget#needsLayout		0	sge publishes 2 overloads of sge.scenes.scene2d.ui.Widget#needsLayout and they do not agree (name=needsLayout$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
cc700c0659be	base-surface	unanswered	sge.scenes.scene2d.ui.WidgetGroup#needsLayout		0	sge publishes 2 overloads of sge.scenes.scene2d.ui.WidgetGroup#needsLayout and they do not agree (name=needsLayout$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
3e43b45dd83f	base-surface	unanswered	sge.utils.Align		0	sge emitted this type as a bare `object` (its every member is static), and this module names it in a TYPE position. An `object` supplies a VALUE and no value is a type, so the two modules cannot compile together  [base: sge]  [§1(b) PER-LIBRARY, IN THE BASE: nothing in this module can repair it — sge is already emitted. Either that module keeps the type a `class` (its statics move to a companion, so every `X.member` call site is unchanged), or this module stops naming it as a type]
c430ffb4020d	base-surface	unanswered	sge.utils.JsonMatcher#depth		0	sge publishes 2 overloads of sge.utils.JsonMatcher#depth and they do not agree (name=depth$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
76b2907ab21c	base-surface	unanswered	sge.utils.JsonValue#child		0	sge publishes 2 overloads of sge.utils.JsonValue#child and they do not agree (name=child$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
41c673bf6108	base-surface	unanswered	sge.utils.JsonValue#last		0	sge publishes 2 overloads of sge.utils.JsonValue#last and they do not agree (name=last$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
217eef22723f	base-surface	unanswered	sge.utils.JsonValue#name		0	sge publishes 2 overloads of sge.utils.JsonValue#name and they do not agree (name=name$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
3572c978fe98	base-surface	unanswered	sge.utils.JsonValue#next		0	sge publishes 2 overloads of sge.utils.JsonValue#next and they do not agree (name=next$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
27065423eebb	base-surface	unanswered	sge.utils.JsonValue#parent		0	sge publishes 2 overloads of sge.utils.JsonValue#parent and they do not agree (name=parent$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
