#check	count
base-surface	1
break-catch	0
catalog(consulted)	91
catalog(uncited)	121
catalog(undischarged)	5
catalog(unmechanised)	10
catalog(unreached)	10
class-init-trigger	1
collection-boundary	0
collection-closure	0
collection-retarget	0
context-seam	7
dependency-coverage	0
gdx-shared-iterator	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	0
omissions	12
policy	0
port-map	0
portability(all)	153
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
signature	1
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	4
try-resource	0
