#unit	member	kind	digest
sge.gltf.data.GLTF	sge.gltf.data.GLTF	class	428ce185b8997396
sge.gltf.data.GLTF	sge.gltf.data.GLTF#accessors	val	3a208a9caa01c90c
sge.gltf.data.GLTF	sge.gltf.data.GLTF#animations	val	da6240a7fd257481
sge.gltf.data.GLTF	sge.gltf.data.GLTF#asset	val	60eb279421820364
sge.gltf.data.GLTF	sge.gltf.data.GLTF#bufferViews	val	b27adfeb451134b0
sge.gltf.data.GLTF	sge.gltf.data.GLTF#buffers	val	173a38e3d992763a
sge.gltf.data.GLTF	sge.gltf.data.GLTF#cameras	val	9148aa5f158382cb
sge.gltf.data.GLTF	sge.gltf.data.GLTF#extensionsRequired	val	42349af5ac3ba030
sge.gltf.data.GLTF	sge.gltf.data.GLTF#extensionsUsed	val	91c8a3a4e1b04972
sge.gltf.data.GLTF	sge.gltf.data.GLTF#images	val	16a416f9190eca41
sge.gltf.data.GLTF	sge.gltf.data.GLTF#materials	val	57722111a83def42
sge.gltf.data.GLTF	sge.gltf.data.GLTF#meshes	val	7d08af1c05c0518e
sge.gltf.data.GLTF	sge.gltf.data.GLTF#nodes	val	e39843b37298ae3f
sge.gltf.data.GLTF	sge.gltf.data.GLTF#samplers	val	5c117ee1f1d2ffe7
sge.gltf.data.GLTF	sge.gltf.data.GLTF#scene	val	5f9759b0b2c65c12
sge.gltf.data.GLTF	sge.gltf.data.GLTF#scenes	val	b9e2d8f3a9722dc2
sge.gltf.data.GLTF	sge.gltf.data.GLTF#skins	val	80266c42b70ec77c
sge.gltf.data.GLTF	sge.gltf.data.GLTF#textures	val	54dc6e88c80df7f8
sge.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset	class	093332a972ce3a5c
sge.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset#copyright	val	053423ab0cbebf73
sge.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset#generator	val	33e41bc3a38ac098
sge.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset#minVersion	val	9931e1e4d105526b
sge.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset#version	val	ea360fda33b0ccf3
sge.gltf.data.GLTFEntity	sge.gltf.data.GLTFEntity	class	bdcc3977126aad43
sge.gltf.data.GLTFEntity	sge.gltf.data.GLTFEntity#name	val	998d02440c0ede9f
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions	class	aae9c181a61a0794
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#extentions	val	b9903a0b74bff711
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#get(Class<T>,String)	def	4248ced263646449
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#json	val	42d82f6d0530d231
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#read(Json,JsonValue)	def	5f285b7250a5c838
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#set(String,Object)	def	b2e498e63820f170
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#value	val	c9601a646384bf6c
sge.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions#write(Json)	def	65eba833cf285b85
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras	class	f9e7a64153bdd096
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras#entries()	def	a43cd1cdb9cf5df3
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras#keys()	def	cde7943993516e1e
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras#read(Json,JsonValue)	def	5f285b7250a5c838
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras#value	val	bcadb9d11d92d6f8
sge.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras#write(Json)	def	75d934b640a7a47d
sge.gltf.data.GLTFObject	sge.gltf.data.GLTFObject	class	1c0efc4d58823adf
sge.gltf.data.GLTFObject	sge.gltf.data.GLTFObject#extensions	val	25adde373ed841b1
sge.gltf.data.GLTFObject	sge.gltf.data.GLTFObject#extras	val	9d8a11f388c08583
sge.gltf.data.animation.GLTFAnimation	sge.gltf.data.animation.GLTFAnimation	class	3ef74d104e736da7
sge.gltf.data.animation.GLTFAnimation	sge.gltf.data.animation.GLTFAnimation#channels	val	a1d7e3f3b21da67f
sge.gltf.data.animation.GLTFAnimation	sge.gltf.data.animation.GLTFAnimation#samplers	val	6d7261705f820b6f
sge.gltf.data.animation.GLTFAnimationChannel	sge.gltf.data.animation.GLTFAnimationChannel	class	cc395695446a7a12
sge.gltf.data.animation.GLTFAnimationChannel	sge.gltf.data.animation.GLTFAnimationChannel#sampler	val	d0c06faf38213438
sge.gltf.data.animation.GLTFAnimationChannel	sge.gltf.data.animation.GLTFAnimationChannel#target	val	c83df59b6fd78233
sge.gltf.data.animation.GLTFAnimationSampler	sge.gltf.data.animation.GLTFAnimationSampler	class	42be3eb5fd3498bf
sge.gltf.data.animation.GLTFAnimationSampler	sge.gltf.data.animation.GLTFAnimationSampler#input	val	2f35bd1dac11bb04
sge.gltf.data.animation.GLTFAnimationSampler	sge.gltf.data.animation.GLTFAnimationSampler#interpolation	val	a64cfa3ef873d45a
sge.gltf.data.animation.GLTFAnimationSampler	sge.gltf.data.animation.GLTFAnimationSampler#output	val	de89822e1f01dffd
sge.gltf.data.animation.GLTFAnimationTarget	sge.gltf.data.animation.GLTFAnimationTarget	class	e62543d725947d85
sge.gltf.data.animation.GLTFAnimationTarget	sge.gltf.data.animation.GLTFAnimationTarget#node	val	dd2a5ea641d0048b
sge.gltf.data.animation.GLTFAnimationTarget	sge.gltf.data.animation.GLTFAnimationTarget#path	val	5b44bf261347ec7f
sge.gltf.data.camera.GLTFCamera	sge.gltf.data.camera.GLTFCamera	class	d53ae3ae437c8382
sge.gltf.data.camera.GLTFCamera	sge.gltf.data.camera.GLTFCamera#orthographic	val	e8877a96a3d65b0b
sge.gltf.data.camera.GLTFCamera	sge.gltf.data.camera.GLTFCamera#perspective	val	56d0d763d6d54777
sge.gltf.data.camera.GLTFCamera	sge.gltf.data.camera.GLTFCamera#type	val	5b56719f62cc3fae
sge.gltf.data.camera.GLTFOrthographic	sge.gltf.data.camera.GLTFOrthographic	class	ed6a2035ce2e33c4
sge.gltf.data.camera.GLTFOrthographic	sge.gltf.data.camera.GLTFOrthographic#xmag	val	9fb48148b9530e8c
sge.gltf.data.camera.GLTFOrthographic	sge.gltf.data.camera.GLTFOrthographic#ymag	val	c8109a3079d8066c
sge.gltf.data.camera.GLTFOrthographic	sge.gltf.data.camera.GLTFOrthographic#zfar	val	5374e34190e9a46d
