# balticporter port map	schema=4	module=sge-gltf	engine=balticporter/0.1.0-SNAPSHOT	sources=005dfe42009b3a9c	files=134	policy=5585d890334cc896	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	net.mgsx.gltf.data.GLTF	sge.gltf.data.GLTF	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.GLTFAsset	sge.gltf.data.GLTFAsset	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.GLTFEntity	sge.gltf.data.GLTFEntity	Renamed	-		0		flags=abstract form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.GLTFExtensions	sge.gltf.data.GLTFExtensions	Renamed	-		0		companion=yes form=class parents=sge.utils.Json$Serializable primary=() primaryKind=unique-root primaryVis=public statics=json
type	net.mgsx.gltf.data.GLTFExtras	sge.gltf.data.GLTFExtras	Renamed	-		0		form=class parents=sge.utils.Json$Serializable primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.GLTFObject	sge.gltf.data.GLTFObject	Renamed	-		0		flags=abstract form=class primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.animation.GLTFAnimation	sge.gltf.data.animation.GLTFAnimation	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.animation.GLTFAnimationChannel	sge.gltf.data.animation.GLTFAnimationChannel	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.animation.GLTFAnimationSampler	sge.gltf.data.animation.GLTFAnimationSampler	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.animation.GLTFAnimationTarget	sge.gltf.data.animation.GLTFAnimationTarget	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.camera.GLTFCamera	sge.gltf.data.camera.GLTFCamera	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.camera.GLTFOrthographic	sge.gltf.data.camera.GLTFOrthographic	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.camera.GLTFPerspective	sge.gltf.data.camera.GLTFPerspective	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFAccessor	sge.gltf.data.data.GLTFAccessor	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFAccessorSparse	sge.gltf.data.data.GLTFAccessorSparse	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFAccessorSparseIndices	sge.gltf.data.data.GLTFAccessorSparseIndices	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFAccessorSparseValues	sge.gltf.data.data.GLTFAccessorSparseValues	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFBuffer	sge.gltf.data.data.GLTFBuffer	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.data.GLTFBufferView	sge.gltf.data.data.GLTFBufferView	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.extensions.GLTFExtensionFactories	sge.gltf.data.extensions.GLTFExtensionFactories	Renamed	-		0		form=object
type	net.mgsx.gltf.data.extensions.KHRLightsPunctual	sge.gltf.data.extensions.KHRLightsPunctual	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.extensions.KHRLightsPunctual$GLTFLight	sge.gltf.data.extensions.KHRLightsPunctual$GLTFLight	Renamed	-		0		companion=yes form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public statics=TYPE_DIRECTIONAL,TYPE_POINT,TYPE_SPOT
type	net.mgsx.gltf.data.extensions.KHRLightsPunctual$GLTFLightNode	sge.gltf.data.extensions.KHRLightsPunctual$GLTFLightNode	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.extensions.KHRLightsPunctual$GLTFLights	sge.gltf.data.extensions.KHRLightsPunctual$GLTFLights	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.extensions.KHRLightsPunctual$GLTFSpotLight	sge.gltf.data.extensions.KHRLightsPunctual$GLTFSpotLight	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.extensions.KHRMaterialsEmissiveStrength	sge.gltf.data.extensions.KHRMaterialsEmissiveStrength	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsIOR	sge.gltf.data.extensions.KHRMaterialsIOR	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsIridescence	sge.gltf.data.extensions.KHRMaterialsIridescence	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsPBRSpecularGlossiness	sge.gltf.data.extensions.KHRMaterialsPBRSpecularGlossiness	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsSpecular	sge.gltf.data.extensions.KHRMaterialsSpecular	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsTransmission	sge.gltf.data.extensions.KHRMaterialsTransmission	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsUnlit	sge.gltf.data.extensions.KHRMaterialsUnlit	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRMaterialsVolume	sge.gltf.data.extensions.KHRMaterialsVolume	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.extensions.KHRTextureTransform	sge.gltf.data.extensions.KHRTextureTransform	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=EXT
type	net.mgsx.gltf.data.geometry.GLTFMesh	sge.gltf.data.geometry.GLTFMesh	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.geometry.GLTFPrimitive	sge.gltf.data.geometry.GLTFPrimitive	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.material.GLTFMaterial	sge.gltf.data.material.GLTFMaterial	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.material.GLTFpbrMetallicRoughness	sge.gltf.data.material.GLTFpbrMetallicRoughness	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.scene.GLTFNode	sge.gltf.data.scene.GLTFNode	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.scene.GLTFScene	sge.gltf.data.scene.GLTFScene	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.scene.GLTFSkin	sge.gltf.data.scene.GLTFSkin	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFImage	sge.gltf.data.texture.GLTFImage	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFNormalTextureInfo	sge.gltf.data.texture.GLTFNormalTextureInfo	Renamed	-		0		form=class parents=sge.gltf.data.texture.GLTFTextureInfo primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFOcclusionTextureInfo	sge.gltf.data.texture.GLTFOcclusionTextureInfo	Renamed	-		0		form=class parents=sge.gltf.data.texture.GLTFTextureInfo primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFSampler	sge.gltf.data.texture.GLTFSampler	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFTexture	sge.gltf.data.texture.GLTFTexture	Renamed	-		0		form=class parents=sge.gltf.data.GLTFEntity primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.data.texture.GLTFTextureInfo	sge.gltf.data.texture.GLTFTextureInfo	Renamed	-		0		form=class parents=sge.gltf.data.GLTFObject primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.exporters.GLTFAnimationExporter	sge.gltf.exporters.GLTFAnimationExporter	Renamed	-		0		companion=yes form=class primary=(GLTFExporter) primaryKind=unique-root primaryVis=public statics=ChannelExporter,channelExporterQuaternion,channelExporterVector3,channelExporterWeights,mapInterpolation
type	net.mgsx.gltf.exporters.GLTFAnimationExporter$ChannelExporter	sge.gltf.exporters.GLTFAnimationExporter$ChannelExporter	Renamed	-		0		flags=abstract form=class primary=(int,String,int) primaryKind=unique-root primaryVis=public secondaries=(int,String) tparams="[T <: java.lang.Object]"
type	net.mgsx.gltf.exporters.GLTFBinaryExporter	sge.gltf.exporters.GLTFBinaryExporter	Renamed	-		0		companion=yes form=class primary=(FileHandle,GLTFExporterConfig) primaryKind=unique-root primaryVis=public statics=savePNG
type	net.mgsx.gltf.exporters.GLTFCameraExporter	sge.gltf.exporters.GLTFCameraExporter	Renamed	-		0		form=class primary=(GLTFExporter) primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.exporters.GLTFExportTypes	sge.gltf.exporters.GLTFExportTypes	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.exporters.GLTFExporter	sge.gltf.exporters.GLTFExporter	Renamed	-		0		companion=yes form=class primary=(GLTFExporterConfig) primaryKind=unique-root primaryVis=public secondaries=() statics=GENERATOR_INFO
type	net.mgsx.gltf.exporters.GLTFExporterConfig	sge.gltf.exporters.GLTFExporterConfig	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	net.mgsx.gltf.exporters.GLTFLightExporter	sge.gltf.exporters.GLTFLightExporter	Renamed	-		0		companion=yes form=class primary=(GLTFExporter) primaryKind=unique-root primaryVis=public statics=map
type	net.mgsx.gltf.exporters.GLTFMaterialExporter	sge.gltf.exporters.GLTFMaterialExporter	Renamed	-		0		form=class primary=(GLTFExporter) primaryKind=unique-root primaryVis=public
