#check	count
base-surface	19
break-catch	0
cast-conversion	0
catalog(consulted)	84
catalog(uncited)	124
catalog(undischarged)	2
catalog(unmechanised)	1
catalog(unreached)	31
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	0
context-seam	0
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	0
gdx-shared-iterator	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	0
idiom(residue)	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	0
omissions	0
opaque-boundary	0
overload-risk	0
policy	2
port-map	0
portability(all)	153
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
rewrite-callsites	1
signature	10
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
test-framework(refused)	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	0
unused-symbol(refused)	0
