#id	check	kind	owner	path	line	detail
f0c76ad760d2	catalog(consulted)	reached	JS-C01	../src/net/mgsx/gltf/data/extensions/KHRLightsPunctual.java	79	lowering CtInvocation/Expression — consulted 29297, fired 3839, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
6ef2a3f874f8	catalog(consulted)	reached	JS-C02	../src/net/mgsx/gltf/exporters/GLTFMaterialExporter.java	152	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 85526, fired 84, declarations 0: interface constants are inherited through `implements`
ca90907b2403	catalog(consulted)	reached	JS-C03	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
921bc1d4d2ff	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 20: a subclass field SHADOWS a superclass field — two storage cells, not one
5a48dc4186d3	catalog(consulted)	reached	JS-C05	../src/net/mgsx/gltf/data/GLTFExtensions.java	32	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 56229, fired 11125, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
9da64493baf7	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 48, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
9e4050cf380e	catalog(consulted)	reached	JS-C07	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
85bd4e411f35	catalog(consulted)	reached	JS-C08	-	0	rendering ValDef — consulted 16, fired 0, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
6ba16c556517	catalog(consulted)	reached	JS-C09	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
e34cb815866c	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 1, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
