#check	count
api-parity(accessor)	4
api-parity(collection-retarget)	0
api-parity(factory)	0
api-parity(file-merge)	0
api-parity(hand-original)	0
api-parity(hand-port-extra)	3
api-parity(mutability)	13
api-parity(null-model)	14
api-parity(opaque)	0
api-parity(operator)	0
api-parity(port-extra)	420
api-parity(rename)	0
api-parity(signature)	36
api-parity(static-placement)	4
api-parity(unclassified)	0
api-parity(visibility)	1
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	92
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	23
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	0
dependency-coverage	0
dependency-coverage(all)	0
dependency-coverage(declared)	0
heap-pollution	0
idiom(converted)	3
idiom(refused)	6
idiom(residue)	0
jdk-surface	6
manifest	0
markers	0
omissions	0
overload-risk	25
policy	0
port-map	0
portability(all)	0
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	6
unused-symbol(refused)	0
