#id	check	kind	owner	path	line	detail
3c07f4987ad3	omissions	promoted constructor body runs on every path	sge.jbump.util.BooleanArray	com/dongbat/jbump/util/BooleanArray.java	33	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
3c07f4987ad3/2	omissions	promoted constructor body runs on every path	sge.jbump.util.BooleanArray	com/dongbat/jbump/util/BooleanArray.java	40	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
3c07f4987ad3/3	omissions	promoted constructor body runs on every path	sge.jbump.util.BooleanArray	com/dongbat/jbump/util/BooleanArray.java	48	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
3c07f4987ad3/4	omissions	promoted constructor body runs on every path	sge.jbump.util.BooleanArray	com/dongbat/jbump/util/BooleanArray.java	57	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
3c07f4987ad3/5	omissions	promoted constructor body runs on every path	sge.jbump.util.BooleanArray	com/dongbat/jbump/util/BooleanArray.java	65	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
845da1b41626	omissions	promoted constructor body runs on every path	sge.jbump.util.FloatArray	com/dongbat/jbump/util/FloatArray.java	35	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
845da1b41626/2	omissions	promoted constructor body runs on every path	sge.jbump.util.FloatArray	com/dongbat/jbump/util/FloatArray.java	42	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
845da1b41626/3	omissions	promoted constructor body runs on every path	sge.jbump.util.FloatArray	com/dongbat/jbump/util/FloatArray.java	50	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
845da1b41626/4	omissions	promoted constructor body runs on every path	sge.jbump.util.FloatArray	com/dongbat/jbump/util/FloatArray.java	59	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
845da1b41626/5	omissions	promoted constructor body runs on every path	sge.jbump.util.FloatArray	com/dongbat/jbump/util/FloatArray.java	67	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
d9a3d7d99a24	omissions	promoted constructor body runs on every path	sge.jbump.util.IntArray	com/dongbat/jbump/util/IntArray.java	35	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
d9a3d7d99a24/2	omissions	promoted constructor body runs on every path	sge.jbump.util.IntArray	com/dongbat/jbump/util/IntArray.java	42	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
d9a3d7d99a24/3	omissions	promoted constructor body runs on every path	sge.jbump.util.IntArray	com/dongbat/jbump/util/IntArray.java	50	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
d9a3d7d99a24/4	omissions	promoted constructor body runs on every path	sge.jbump.util.IntArray	com/dongbat/jbump/util/IntArray.java	59	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
d9a3d7d99a24/5	omissions	promoted constructor body runs on every path	sge.jbump.util.IntArray	com/dongbat/jbump/util/IntArray.java	67	2 statement(s) of the promoted constructor also run here; java ran them only on its own path
