#unit	member	kind	digest
sge.jbump.Cell	sge.jbump.Cell	class	0b5c04788a422332
sge.jbump.Cell	sge.jbump.Cell#itemCount	val	3912b8124c4f7882
sge.jbump.Cell	sge.jbump.Cell#items	val	de420db0b20b5165
sge.jbump.Cell	sge.jbump.Cell#x	val	076c81b298631b94
sge.jbump.Cell	sge.jbump.Cell#y	val	add313d36354e026
sge.jbump.Collision	sge.jbump.Collision	class	a8f7ad6ff1d47007
sge.jbump.Collision	sge.jbump.Collision#item	val	74cd91c4944e7053
sge.jbump.Collision	sge.jbump.Collision#itemRect	val	24852470d9e2edf4
sge.jbump.Collision	sge.jbump.Collision#move	val	6b79f9c3d24d4f2e
sge.jbump.Collision	sge.jbump.Collision#normal	val	9bb3d0c2a5c28222
sge.jbump.Collision	sge.jbump.Collision#other	val	7a6b4c8c379cb47c
sge.jbump.Collision	sge.jbump.Collision#otherRect	val	816b8b78ddff7166
sge.jbump.Collision	sge.jbump.Collision#overlaps	val	8bddfddd57099d03
sge.jbump.Collision	sge.jbump.Collision#set(boolean,float,float,float,int,int,float,float,float,float,float,float,float,float,float,float)	def	906e19fab563da97
sge.jbump.Collision	sge.jbump.Collision#ti	val	ca865505fd11e840
sge.jbump.Collision	sge.jbump.Collision#touch	val	37932904ec86a5bd
sge.jbump.Collision	sge.jbump.Collision#type	val	4509e7987974d636
sge.jbump.CollisionFilter	sge.jbump.CollisionFilter	class	01e8eec387802e06
sge.jbump.CollisionFilter	sge.jbump.CollisionFilter#defaultFilter	val	2321979d280d0724
sge.jbump.CollisionFilter	sge.jbump.CollisionFilter#filter(Item<?>,Item<?>)	def	c6f745cdef554b6c
sge.jbump.Collisions	sge.jbump.Collisions	class	6f6f4b3074b03812
sge.jbump.Collisions	sge.jbump.Collisions#<init>()	ctor	191ad5aee912c614
sge.jbump.Collisions	sge.jbump.Collisions#<init>(Collisions)	ctor	c93438a7afedb257
sge.jbump.Collisions	sge.jbump.Collisions#add(Collision)	def	c5013d2d079d4311
