# balticporter port map	schema=3	module=sge-jbump	engine=balticporter/0.1.0-SNAPSHOT	sources=be818d0761d560e5	files=19	policy=3dc15a4b2f41e628
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.dongbat.jbump.Cell	sge.jbump.Cell	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.Collision	sge.jbump.Collision	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.CollisionFilter	sge.jbump.CollisionFilter	Renamed	-		0		companion=yes form=trait statics=defaultFilter
type	com.dongbat.jbump.Collisions	sge.jbump.Collisions	Renamed	-		0		companion=yes disambiguator=marker form=class parents=java.util.Comparator primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(Collisions)
type	com.dongbat.jbump.Extra	sge.jbump.Extra	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.Grid	sge.jbump.Grid	Renamed	-		0		companion=yes form=class primary=() primaryKind=unique-root primaryVis=public statics=TraverseCallback,grid_toCell,grid_toWorld,grid_traverse_initStep
type	com.dongbat.jbump.Grid$TraverseCallback	sge.jbump.Grid$TraverseCallback	Renamed	-		0		form=trait
type	com.dongbat.jbump.IntPoint	sge.jbump.IntPoint	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(int,int,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int,int)
type	com.dongbat.jbump.Item	sge.jbump.Item	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(E) tparams="[E <: java.lang.Object]"
type	com.dongbat.jbump.ItemInfo	sge.jbump.ItemInfo	Renamed	-		0		companion=yes form=class primary=(Item,float,float,float) primaryKind=unique-root primaryVis=public statics=weightComparator
type	com.dongbat.jbump.Point	sge.jbump.Point	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(float,float,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float,float)
type	com.dongbat.jbump.Rect	sge.jbump.Rect	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(float,float,float,float,?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(float,float,float,float) statics=rect_containsPoint,rect_getDiff,rect_getNearestCorner,rect_getSegmentIntersectionIndices,rect_getSquareDistance,rect_isIntersecting
type	com.dongbat.jbump.RectHelper	sge.jbump.RectHelper	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.Response	sge.jbump.Response	Renamed	-		0		companion=yes form=trait statics=Result,bounce,cross,slide,touch
type	com.dongbat.jbump.Response$Result	sge.jbump.Response$Result	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.World	sge.jbump.World	Renamed	-		0		form=class primary=(float) primaryKind=unique-root primaryVis=public secondaries=() tparams="[E <: java.lang.Object]"
type	com.dongbat.jbump.util.BooleanArray	sge.jbump.util.BooleanArray	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int);(boolean,int);(BooleanArray);(boolean[]);(boolean,boolean[],int,int) statics=`with`
type	com.dongbat.jbump.util.FloatArray	sge.jbump.util.FloatArray	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int);(boolean,int);(FloatArray);(float[]);(boolean,float[],int,int) statics=`with`
type	com.dongbat.jbump.util.IntArray	sge.jbump.util.IntArray	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(int);(boolean,int);(IntArray);(int[]);(boolean,int[],int,int) statics=`with`
type	com.dongbat.jbump.util.IntIntMap	sge.jbump.util.IntIntMap	Renamed	-		0		companion=yes form=class parents=balticporter.runtime.JavaIterable primary=(int,float) primaryKind=unique-root primaryVis=public secondaries=();(int);(IntIntMap) statics=EMPTY,Entries,Entry,Keys,MapIterator,PRIME1,PRIME2,PRIME3,Values
type	com.dongbat.jbump.util.IntIntMap$Entries	sge.jbump.util.IntIntMap$Entries	Renamed	-		0		companion=yes form=class parents=sge.jbump.util.IntIntMap$MapIterator,balticporter.runtime.JavaIterable,balticporter.runtime.JavaIterator primary=(IntIntMap) primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.util.IntIntMap$Entry	sge.jbump.util.IntIntMap$Entry	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.util.IntIntMap$Keys	sge.jbump.util.IntIntMap$Keys	Renamed	-		0		companion=yes form=class parents=sge.jbump.util.IntIntMap$MapIterator primary=(IntIntMap) primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.util.IntIntMap$MapIterator	sge.jbump.util.IntIntMap$MapIterator	Renamed	-		0		companion=yes form=class primary=(IntIntMap) primaryKind=unique-root primaryVis=public statics=INDEX_ILLEGAL,INDEX_ZERO
type	com.dongbat.jbump.util.IntIntMap$Values	sge.jbump.util.IntIntMap$Values	Renamed	-		0		companion=yes form=class parents=sge.jbump.util.IntIntMap$MapIterator primary=(IntIntMap) primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.util.MathUtils	sge.jbump.util.MathUtils	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=public
type	com.dongbat.jbump.util.MathUtils$Sin	sge.jbump.util.MathUtils$Sin	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=private[MathUtils]
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaEnumMap	Added	-		0		
type		balticporter.runtime.JavaEnumSet	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
type		balticporter.runtime.JavaOptionalDouble	Added	-		0		
type		balticporter.runtime.JavaOptionalInt	Added	-		0		
type		balticporter.runtime.JavaOptionalLong	Added	-		0		
type		balticporter.runtime.JavaStack	Added	-		0		
member	com.dongbat.jbump.Cell#itemCount	sge.jbump.Cell#itemCount	Renamed	-	com/dongbat/jbump/Cell.java	25	3912b8124c4f7882	
member	com.dongbat.jbump.Cell#items	sge.jbump.Cell#items	Renamed	-	com/dongbat/jbump/Cell.java	28	de420db0b20b5165	
member	com.dongbat.jbump.Cell#x	sge.jbump.Cell#x	Renamed	-	com/dongbat/jbump/Cell.java	26	076c81b298631b94	
member	com.dongbat.jbump.Cell#y	sge.jbump.Cell#y	Renamed	-	com/dongbat/jbump/Cell.java	27	add313d36354e026	
member	com.dongbat.jbump.Collision#item	sge.jbump.Collision#item	Renamed	-	com/dongbat/jbump/Collision.java	30	74cd91c4944e7053	
member	com.dongbat.jbump.Collision#itemRect	sge.jbump.Collision#itemRect	Renamed	-	com/dongbat/jbump/Collision.java	28	24852470d9e2edf4	
member	com.dongbat.jbump.Collision#move	sge.jbump.Collision#move	Renamed	-	com/dongbat/jbump/Collision.java	25	6b79f9c3d24d4f2e	
member	com.dongbat.jbump.Collision#normal	sge.jbump.Collision#normal	Renamed	-	com/dongbat/jbump/Collision.java	26	9bb3d0c2a5c28222	
member	com.dongbat.jbump.Collision#other	sge.jbump.Collision#other	Renamed	-	com/dongbat/jbump/Collision.java	31	7a6b4c8c379cb47c	
member	com.dongbat.jbump.Collision#otherRect	sge.jbump.Collision#otherRect	Renamed	-	com/dongbat/jbump/Collision.java	29	816b8b78ddff7166	
member	com.dongbat.jbump.Collision#overlaps	sge.jbump.Collision#overlaps	Renamed	-	com/dongbat/jbump/Collision.java	23	8bddfddd57099d03	
member	com.dongbat.jbump.Collision#set(boolean,float,float,float,int,int,float,float,float,float,float,float,float,float,float,float)	sge.jbump.Collision#set(boolean,float,float,float,int,int,float,float,float,float,float,float,float,float,float,float)	Renamed	-	com/dongbat/jbump/Collision.java	37	906e19fab563da97	
member	com.dongbat.jbump.Collision#ti	sge.jbump.Collision#ti	Renamed	-	com/dongbat/jbump/Collision.java	24	ca865505fd11e840	
member	com.dongbat.jbump.Collision#touch	sge.jbump.Collision#touch	Renamed	-	com/dongbat/jbump/Collision.java	27	37932904ec86a5bd	
member	com.dongbat.jbump.Collision#type	sge.jbump.Collision#type	Renamed	-	com/dongbat/jbump/Collision.java	32	4509e7987974d636	
member	com.dongbat.jbump.CollisionFilter#defaultFilter	sge.jbump.CollisionFilter#defaultFilter	Renamed	-	com/dongbat/jbump/CollisionFilter.java	26	2321979d280d0724	placement=companion
member	com.dongbat.jbump.CollisionFilter#filter(Item,Item)	sge.jbump.CollisionFilter#filter(Item<?>,Item<?>)	Renamed	-	com/dongbat/jbump/CollisionFilter.java	24	c6f745cdef554b6c	
member	com.dongbat.jbump.Collisions#<init>()	sge.jbump.Collisions#<init>()	Renamed	-	com/dongbat/jbump/Collisions.java	55	191ad5aee912c614	
member	com.dongbat.jbump.Collisions#<init>(Collisions)	sge.jbump.Collisions#<init>(Collisions)	Renamed	-	com/dongbat/jbump/Collisions.java	59	c93438a7afedb257	
member	com.dongbat.jbump.Collisions#add(Collision)	sge.jbump.Collisions#add(Collision)	Renamed	-	com/dongbat/jbump/Collisions.java	82	c5013d2d079d4311	
member	com.dongbat.jbump.Collisions#add(boolean,float,float,float,int,int,float,float,float,float,float,float,float,float,float,float,Item,Item,Response)	sge.jbump.Collisions#add(boolean,float,float,float,int,int,float,float,float,float,float,float,float,float,float,float,Item<?>,Item<?>,Response)	Renamed	-	com/dongbat/jbump/Collisions.java	88	001d48bdfc7cb35b	
member	com.dongbat.jbump.Collisions#clear()	sge.jbump.Collisions#clear()	Renamed	-	com/dongbat/jbump/Collisions.java	158	60d6e49a5c2dc9d7	
member	com.dongbat.jbump.Collisions#collision	sge.jbump.Collisions#collision	Renamed	-	com/dongbat/jbump/Collisions.java	112	0ec3d66b1c7fdc50	vis=private
member	com.dongbat.jbump.Collisions#compare(Integer,Integer)	sge.jbump.Collisions#compare(Integer,Integer)	Renamed	-	com/dongbat/jbump/Collisions.java	280	fb3b47dd79bd449c	
member	com.dongbat.jbump.Collisions#get(int)	sge.jbump.Collisions#get(int)	Renamed	-	com/dongbat/jbump/Collisions.java	114	92c6e32cea1ca341	
member	com.dongbat.jbump.Collisions#h1s	sge.jbump.Collisions#h1s	Renamed	-	com/dongbat/jbump/Collisions.java	45	8fe51d3ac253dae3	vis=private
member	com.dongbat.jbump.Collisions#h2s	sge.jbump.Collisions#h2s	Renamed	-	com/dongbat/jbump/Collisions.java	49	8eb2901f42d6b9d0	vis=private
member	com.dongbat.jbump.Collisions#isEmpty()	sge.jbump.Collisions#isEmpty()	Renamed	-	com/dongbat/jbump/Collisions.java	154	807246b9e46248e0	
member	com.dongbat.jbump.Collisions#items	sge.jbump.Collisions#items	Renamed	-	com/dongbat/jbump/Collisions.java	50	017fde693f63e726	
