#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	103
catalog(uncited)	122
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	9
class-init-trigger	2
collection-boundary	5
collection-closure	0
collection-internal	0
collection-retarget	0
context-seam	40
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	2
gdx-shared-iterator	0
heap-pollution	17
idiom(converted)	1679
idiom(refused)	2839
idiom(residue)	0
jdk-surface	22
manifest	0
markers	0
nullability-boundary	170
omissions	66
opaque-boundary	0
overload-risk	468
policy	4
port-map	0
portability(all)	153
portability(emitted)	69
portability(injected)	2
porter-notes	0
remediation	19
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	12
trivia(recovered)	6
try-resource	0
