#id	check	kind	owner	path	line	detail
7e92a2938fef	catalog(consulted)	reached	JS-C01	com/badlogic/gdx/Input.java	634	lowering CtInvocation/Expression — consulted 26706, fired 3521, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
b2c1710ad377	catalog(consulted)	reached	JS-C02	com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java	205	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 78203, fired 76, declarations 0: interface constants are inherited through `implements`
2c3aba63789f	catalog(consulted)	reached	JS-C03	com/badlogic/gdx/graphics/Cubemap.java	38	rendering ClassDef — consulted 966, fired 87, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
2918335c00e9	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 19: a subclass field SHADOWS a superclass field — two storage cells, not one
a1d769a7d51b	catalog(consulted)	reached	JS-C05	com/badlogic/gdx/AbstractGraphics.java	14	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 51497, fired 10030, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
9c752d30814d	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 63043, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
1ed28c043c3e	catalog(consulted)	reached	JS-C07	com/badlogic/gdx/Input.java	71	rendering ClassDef — consulted 966, fired 273, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
af88c26c505d	catalog(consulted)	reached	JS-C08	com/badlogic/gdx/Application.java	106	rendering ValDef — consulted 17599, fired 1645, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
3859453cdeff	catalog(consulted)	reached	JS-C09	com/badlogic/gdx/Application.java	98	rendering ClassDef — consulted 966, fired 140, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
c2eb3af78cee	catalog(consulted)	reached	JS-C10	com/badlogic/gdx/math/Matrix4.java	29	rendering ClassDef — consulted 966, fired 2, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
95abe2bb5618	catalog(consulted)	reached	JS-C13	com/badlogic/gdx/AbstractGraphics.java	4	rendering ClassDef — consulted 966, fired 779, declarations 0: JLS 12.5's instance-creation sequence, whole
5995b83ae4a5	catalog(consulted)	reached	JS-C14	com/badlogic/gdx/assets/loaders/AsynchronousAssetLoader.java	29	rendering ClassDef — consulted 966, fired 117, declarations 0: the superclass constructor runs before this class's field initialisers
c60728fcf4e7	catalog(consulted)	reached	JS-C16	com/badlogic/gdx/Version.java	37	rendering DefDef — consulted 11738, fired 14, declarations 0: instance initialiser blocks
f07ce8f8e644	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 3854, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
6142cf62e6b6	catalog(consulted)	reached	JS-C18	com/badlogic/gdx/math/Matrix3.java	27	rendering ClassDef — consulted 966, fired 2, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
3e89a736d2b3	catalog(consulted)	reached	JS-C19	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 966, fired 336, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
b2824fd92d63	catalog(consulted)	reached	JS-C20	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 966, fired 129, declarations 0: the implicit `super()` and the default constructor
a3d45235f23b	catalog(consulted)	reached	JS-C21	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 966, fired 336, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
a1126211ddd4	catalog(consulted)	reached	JS-C22	com/badlogic/gdx/InputEventQueue.java	46	rendering Apply — consulted 63043, fired 265, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
d25f35e1b12c	catalog(consulted)	reached	JS-C23	com/badlogic/gdx/graphics/g3d/ModelBatch.java	251	rendering Apply — consulted 63043, fired 42, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
b8dc9b71c982	catalog(consulted)	reached	JS-C25	com/badlogic/gdx/AbstractGraphics.java	7	rendering DefDef — consulted 11738, fired 2896, declarations 0: `override` is mandatory in Scala and absent in Java
