#unit	member	kind	digest
com.badlogic.gdx.AbstractGraphics	com.badlogic.gdx.AbstractGraphics	class	d834b472f76ede55
com.badlogic.gdx.AbstractGraphics	com.badlogic.gdx.AbstractGraphics#getBackBufferScale()	def	9cabec3d8531a06d
com.badlogic.gdx.AbstractGraphics	com.badlogic.gdx.AbstractGraphics#getDensity()	def	a8ee067450eced17
com.badlogic.gdx.AbstractGraphics	com.badlogic.gdx.AbstractGraphics#getRawDeltaTime()	def	e75b7cc8e74700c7
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput	class	1922bb42869fabe1
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#<stmt1>	stmt	f124b9ea1f51158f
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#<stmt2>	stmt	424778a5d19d82c9
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#isCatchKey(int)	def	c9d42b67572ba1fb
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#isKeyJustPressed(int)	def	ae15b9a779916a12
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#isKeyPressed(int)	def	41af9c2cda95d70d
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#justPressedKeys	val	9d65db46212fc716
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#keyJustPressed	val	fb5de5382c9db670
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#keysToCatch	val	f0fe411f6f54cb32
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#pressedKeyCount	val	a09c2c021faa3f30
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#pressedKeys	val	83adf99f9ad1a88e
com.badlogic.gdx.AbstractInput	com.badlogic.gdx.AbstractInput#setCatchKey(int,boolean)	def	2966a737134375d7
com.badlogic.gdx.Application	com.badlogic.gdx.Application	class	bb90571135a05d8e
com.badlogic.gdx.Application	com.badlogic.gdx.Application#LOG_DEBUG	val	931dc7e13d4b6fc3
com.badlogic.gdx.Application	com.badlogic.gdx.Application#LOG_ERROR	val	aa79571e9a558277
com.badlogic.gdx.Application	com.badlogic.gdx.Application#LOG_INFO	val	a30501aabfd0d018
com.badlogic.gdx.Application	com.badlogic.gdx.Application#LOG_NONE	val	5055ccb415e2d74d
com.badlogic.gdx.Application	com.badlogic.gdx.Application#addLifecycleListener(LifecycleListener)	def	587b98b4a85565f6
com.badlogic.gdx.Application	com.badlogic.gdx.Application#debug(String,String)	def	f716468fdd5ad932
com.badlogic.gdx.Application	com.badlogic.gdx.Application#debug(String,String,Throwable)	def	e0565a034bb8d228
com.badlogic.gdx.Application	com.badlogic.gdx.Application#error(String,String)	def	e29e8aeb1e73a144
com.badlogic.gdx.Application	com.badlogic.gdx.Application#error(String,String,Throwable)	def	c11e43fb4fd64109
com.badlogic.gdx.Application	com.badlogic.gdx.Application#exit()	def	0c8308a5f1bd7ebd
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getApplicationListener()	def	f5696cbd85caeb57
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getApplicationLogger()	def	cbff68a6491adea3
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getAudio()	def	f74394281086251b
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getClipboard()	def	e3dbc414374840cd
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getFiles()	def	f90ddf4994e0b7a8
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getGraphics()	def	a5d536af016990b5
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getInput()	def	4d4e76932174d6e3
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getJavaHeap()	def	93788e83842f8852
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getLogLevel()	def	ea65deed62a23ee6
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getNativeHeap()	def	dd898ff148593f77
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getNet()	def	c6ef34559d27f346
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getPreferences(String)	def	6f5c5c562f4b4e5a
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getType()	def	d48b128f79eaa07b
com.badlogic.gdx.Application	com.badlogic.gdx.Application#getVersion()	def	6b349a3d5acbf61d
com.badlogic.gdx.Application	com.badlogic.gdx.Application#log(String,String)	def	c22f306594e415f8
com.badlogic.gdx.Application	com.badlogic.gdx.Application#log(String,String,Throwable)	def	81f94cf253903ef8
com.badlogic.gdx.Application	com.badlogic.gdx.Application#postRunnable(Runnable)	def	121593014060a6b1
com.badlogic.gdx.Application	com.badlogic.gdx.Application#removeLifecycleListener(LifecycleListener)	def	ff1a7224bb9fd3df
com.badlogic.gdx.Application	com.badlogic.gdx.Application#setApplicationLogger(ApplicationLogger)	def	d45236d6b279b215
com.badlogic.gdx.Application	com.badlogic.gdx.Application#setLogLevel(int)	def	b4c9e17b81167b91
com.badlogic.gdx.Application	com.badlogic.gdx.Application$ApplicationType	class	e2b91c025a7fd801
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter	class	a9edaff939ddb0ba
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#create()	def	4cc965ababc54c97
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#dispose()	def	19b8e5b67dc6f922
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#pause()	def	ca756cd89b4fd748
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#render()	def	88549daafa80d94c
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#resize(int,int)	def	4c2fa2b126e7e35a
com.badlogic.gdx.ApplicationAdapter	com.badlogic.gdx.ApplicationAdapter#resume()	def	c12e459aa0615c7b
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener	class	f906604f86d52156
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#create()	def	ce8992e0fcc4e787
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#dispose()	def	b7c95160c1caead7
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#pause()	def	005ecc0927335517
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#render()	def	a9dab0b3d8899be7
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#resize(int,int)	def	c2cbccb3128efaaf
com.badlogic.gdx.ApplicationListener	com.badlogic.gdx.ApplicationListener#resume()	def	2ea90863a78e1998
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger	class	7ba91211d3f7e72a
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#debug(String,String)	def	f716468fdd5ad932
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#debug(String,String,Throwable)	def	e0565a034bb8d228
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#error(String,String)	def	e29e8aeb1e73a144
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#error(String,String,Throwable)	def	c11e43fb4fd64109
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#log(String,String)	def	c22f306594e415f8
com.badlogic.gdx.ApplicationLogger	com.badlogic.gdx.ApplicationLogger#log(String,String,Throwable)	def	81f94cf253903ef8
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio	class	e7489879ad91b3c8
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#getAvailableOutputDevices()	def	38a34b16f6ba129f
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#newAudioDevice(int,boolean)	def	03957ca2a9a64002
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#newAudioRecorder(int,boolean)	def	b3b8316f203632e1
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#newMusic(FileHandle)	def	7d43965baf4e1972
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#newSound(FileHandle)	def	d29ebf80219cf16f
com.badlogic.gdx.Audio	com.badlogic.gdx.Audio#switchOutputDevice(String)	def	b5ffb50b2f6323d5
com.badlogic.gdx.Files	com.badlogic.gdx.Files	class	df9914c9eb478768
com.badlogic.gdx.Files	com.badlogic.gdx.Files#absolute(String)	def	c914e586f0cae697
com.badlogic.gdx.Files	com.badlogic.gdx.Files#classpath(String)	def	3ffc5666aa16af5e
com.badlogic.gdx.Files	com.badlogic.gdx.Files#external(String)	def	34d47db6e6000e75
