#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	108
catalog(uncited)	124
catalog(undischarged)	4
catalog(unmechanised)	1
catalog(unreached)	9
class-init-trigger	2
collection-boundary	14
collection-closure	2
collection-internal	0
collection-retarget	0
context-seam	0
dependency-coverage	37
dependency-coverage(all)	37
dependency-coverage(declared)	1
heap-pollution	12
idiom(converted)	24
idiom(refused)	3437
idiom(residue)	0
jdk-surface	50
manifest	0
markers	0
nullability-boundary	685
omissions	39
overload-risk	552
policy	0
port-map	0
portability(all)	153
portability(emitted)	153
portability(injected)	0
porter-notes	0
remediation	30
resources	8
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	1
trivia(recovered)	8
try-resource	0
unused-symbol(handled)	118
unused-symbol(refused)	0
witness	142
upstream	libGDX@4b4d2c4fd05786d848c42cb69266dd2dd6839983
