#id	check	kind	owner	path	line	detail
3f187232e83a	base-surface	unanswered	lowlevel.util.PooledLinkedList#size		0	lls publishes 2 overloads of lowlevel.util.PooledLinkedList#size and they do not agree (name=size$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: lls]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
be3cf362c974	base-surface	unanswered	lowlevel.util.SortedIntList#size		0	lls publishes 2 overloads of lowlevel.util.SortedIntList#size and they do not agree (name=size$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: lls]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
d478caf50a52	catalog(consulted)	reached	JS-C01	com/badlogic/gdx/Input.java	634	lowering CtInvocation/Expression — consulted 26737, fired 3531, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
880ea8e43d1d	catalog(consulted)	reached	JS-C02	com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java	205	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 78244, fired 76, declarations 0: interface constants are inherited through `implements`
b9f4dc3f189e	catalog(consulted)	reached	JS-C03	com/badlogic/gdx/graphics/Cubemap.java	38	rendering ClassDef — consulted 845, fired 82, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
2918335c00e9	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 19: a subclass field SHADOWS a superclass field — two storage cells, not one
2d45bc0f8104	catalog(consulted)	reached	JS-C05	com/badlogic/gdx/AbstractGraphics.java	14	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 51507, fired 10030, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
2eb9bdb2acfc	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 50886, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
732edf426540	catalog(consulted)	reached	JS-C07	com/badlogic/gdx/Input.java	71	rendering ClassDef — consulted 845, fired 245, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
34321a1dbbcf	catalog(consulted)	reached	JS-C08	com/badlogic/gdx/Application.java	106	rendering ValDef — consulted 14926, fired 1625, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
31151cf0a6a2	catalog(consulted)	reached	JS-C09	com/badlogic/gdx/Application.java	98	rendering ClassDef — consulted 845, fired 127, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
f6cb6a12ba81	catalog(consulted)	reached	JS-C10	com/badlogic/gdx/math/Matrix4.java	29	rendering ClassDef — consulted 845, fired 2, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
4467516daadb	catalog(consulted)	reached	JS-C13	com/badlogic/gdx/AbstractGraphics.java	4	rendering ClassDef — consulted 845, fired 677, declarations 0: JLS 12.5's instance-creation sequence, whole
bf1fa7c67dfe	catalog(consulted)	reached	JS-C14	com/badlogic/gdx/assets/loaders/AsynchronousAssetLoader.java	29	rendering ClassDef — consulted 845, fired 95, declarations 0: the superclass constructor runs before this class's field initialisers
bd49c5855992	catalog(consulted)	reached	JS-C16	com/badlogic/gdx/Version.java	37	rendering DefDef — consulted 10283, fired 13, declarations 0: instance initialiser blocks
f9ea279a74a0	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 3858, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
515361ef1d99	catalog(consulted)	reached	JS-C18	com/badlogic/gdx/math/Matrix3.java	27	rendering ClassDef — consulted 845, fired 2, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
12cff268ea7d	catalog(consulted)	reached	JS-C19	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 845, fired 298, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
c0607ec7cd78	catalog(consulted)	reached	JS-C20	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 845, fired 125, declarations 0: the implicit `super()` and the default constructor
58b9af4f4ffc	catalog(consulted)	reached	JS-C21	com/badlogic/gdx/InputMultiplexer.java	25	rendering ClassDef — consulted 845, fired 298, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
d92927031bf2	catalog(consulted)	reached	JS-C22	com/badlogic/gdx/InputEventQueue.java	46	rendering Apply — consulted 50886, fired 261, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
cbeaf3cde233	catalog(consulted)	reached	JS-C23	com/badlogic/gdx/graphics/g2d/SpriteCache.java	206	rendering Apply — consulted 50886, fired 53, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
9237a1d98e2f	catalog(consulted)	reached	JS-C25	com/badlogic/gdx/AbstractGraphics.java	7	rendering DefDef — consulted 10283, fired 2612, declarations 0: `override` is mandatory in Scala and absent in Java
112057c32370	catalog(consulted)	reached	JS-C29	com/badlogic/gdx/Application.java	163	rendering-type TypeRef — consulted 60276, fired 4461, declarations 0: a static NESTED class and an INNER class are different types, and only one is path-dependent
111975f1d456	catalog(consulted)	reached	JS-C31	com/badlogic/gdx/graphics/Cubemap.java	252	lowering CtNewClass/Expression — consulted 3858, fired 157, declarations 0: anonymous class construction and capture
9193e09d8109	catalog(consulted)	reached	JS-C33	com/badlogic/gdx/graphics/VertexAttributes.java	29	rendering ClassDef — consulted 845, fired 57, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
