#unit	member	kind	digest
sge.AbstractGraphics	sge.AbstractGraphics	class	66f09afb5f373919
sge.AbstractGraphics	sge.AbstractGraphics#backBufferScale()	def	c1843d9584336916
sge.AbstractGraphics	sge.AbstractGraphics#density()	def	1a17c18d89e8f9da
sge.AbstractGraphics	sge.AbstractGraphics#rawDeltaTime()	def	4e8667f93c3ed5fc
sge.AbstractInput	sge.AbstractInput	class	7677ec5f02ded891
sge.AbstractInput	sge.AbstractInput#<stmt1>	stmt	143266a74f94bd23
sge.AbstractInput	sge.AbstractInput#<stmt2>	stmt	77f9fc306d5a33b3
sge.AbstractInput	sge.AbstractInput#isCatchKey(int)	def	c9d42b67572ba1fb
sge.AbstractInput	sge.AbstractInput#isKeyJustPressed(int)	def	e58db98bd32a844e
sge.AbstractInput	sge.AbstractInput#isKeyPressed(int)	def	e45036e3ef861c41
sge.AbstractInput	sge.AbstractInput#justPressedKeys	val	0e00e998239d9e99
sge.AbstractInput	sge.AbstractInput#keyJustPressed	val	3466d4ab8273af84
sge.AbstractInput	sge.AbstractInput#keysToCatch	val	140b245f5f104eec
sge.AbstractInput	sge.AbstractInput#pressedKeyCount	val	35113d2443c659ed
sge.AbstractInput	sge.AbstractInput#pressedKeys	val	fc3557201a5a1cbd
sge.AbstractInput	sge.AbstractInput#setCatchKey(int,boolean)	def	2966a737134375d7
sge.Application	sge.Application	class	64e490c1385bf4e5
sge.Application	sge.Application#LOG_DEBUG	val	931dc7e13d4b6fc3
sge.Application	sge.Application#LOG_ERROR	val	aa79571e9a558277
sge.Application	sge.Application#LOG_INFO	val	a30501aabfd0d018
sge.Application	sge.Application#LOG_NONE	val	5055ccb415e2d74d
sge.Application	sge.Application#addLifecycleListener(LifecycleListener)	def	ac35a642b390586b
sge.Application	sge.Application#applicationListener()	def	1d2ff9d67decca6d
sge.Application	sge.Application#applicationLogger()	def	cb6add3fd3333ca3
sge.Application	sge.Application#applicationLogger_=(ApplicationLogger)	def	5c7d1389184d8aa4
sge.Application	sge.Application#audio()	def	c219c81d6b5da5f3
sge.Application	sge.Application#clipboard()	def	df602fc8a8ae6461
sge.Application	sge.Application#debug(String,String)	def	39903333870d750f
sge.Application	sge.Application#debug(String,String,Throwable)	def	40d7645a74938a4e
sge.Application	sge.Application#error(String,String)	def	335533157faaed73
sge.Application	sge.Application#error(String,String,Throwable)	def	c0f716d5c158619d
sge.Application	sge.Application#exit()	def	f37011fe1c79b450
sge.Application	sge.Application#files()	def	421f88db55e01a7a
sge.Application	sge.Application#getPreferences(String)	def	bfd03c239a108288
sge.Application	sge.Application#graphics()	def	3901eaecf3bc3343
sge.Application	sge.Application#input()	def	e4c9c817403fb080
sge.Application	sge.Application#javaHeap()	def	1bcec2767c1de40f
sge.Application	sge.Application#log(String,String)	def	56fa9bdaf6623f01
sge.Application	sge.Application#log(String,String,Throwable)	def	16fb21adfe2cdda2
sge.Application	sge.Application#logLevel()	def	42e6e5f14feaaa92
sge.Application	sge.Application#logLevel_=(int)	def	d80fdef80da33e44
sge.Application	sge.Application#nativeHeap()	def	4d44588982f71c17
sge.Application	sge.Application#net()	def	200efac24eeead3b
sge.Application	sge.Application#postRunnable(Runnable)	def	86211719296a49be
sge.Application	sge.Application#removeLifecycleListener(LifecycleListener)	def	74adebe8adb1f642
sge.Application	sge.Application#type()	def	305b769089af98c0
sge.Application	sge.Application#version()	def	bc4f4ab748fd304a
sge.Application	sge.Application$ApplicationType	class	51243e8411f0e839
sge.ApplicationAdapter	sge.ApplicationAdapter	class	071bce1642a99f9d
sge.ApplicationAdapter	sge.ApplicationAdapter#create()	def	4cc965ababc54c97
sge.ApplicationAdapter	sge.ApplicationAdapter#dispose()	def	19b8e5b67dc6f922
sge.ApplicationAdapter	sge.ApplicationAdapter#pause()	def	ca756cd89b4fd748
sge.ApplicationAdapter	sge.ApplicationAdapter#render()	def	88549daafa80d94c
sge.ApplicationAdapter	sge.ApplicationAdapter#resize(Pixels,Pixels)	def	425706909cf37ab9
sge.ApplicationAdapter	sge.ApplicationAdapter#resume()	def	c12e459aa0615c7b
sge.ApplicationListener	sge.ApplicationListener	class	0b4bad68e684f305
sge.ApplicationListener	sge.ApplicationListener#create()	def	7f75780ee8ec287f
sge.ApplicationListener	sge.ApplicationListener#dispose()	def	727ba65e99f42df6
sge.ApplicationListener	sge.ApplicationListener#pause()	def	d4802d5c38706672
sge.ApplicationListener	sge.ApplicationListener#render()	def	0b6ecc725a014585
sge.ApplicationListener	sge.ApplicationListener#resize(Pixels,Pixels)	def	5611d95b151b5bc2
sge.ApplicationListener	sge.ApplicationListener#resume()	def	e5c7fefa7d6c97f3
sge.ApplicationLogger	sge.ApplicationLogger	class	5551eaa25c4ea839
sge.ApplicationLogger	sge.ApplicationLogger#debug(String,String)	def	89ae45a73eb1b1a7
sge.ApplicationLogger	sge.ApplicationLogger#debug(String,String,Throwable)	def	1e294a26f1681219
sge.ApplicationLogger	sge.ApplicationLogger#error(String,String)	def	62690e0778092a5e
sge.ApplicationLogger	sge.ApplicationLogger#error(String,String,Throwable)	def	f726e7faffa99d68
sge.ApplicationLogger	sge.ApplicationLogger#log(String,String)	def	672f341cf8231401
sge.ApplicationLogger	sge.ApplicationLogger#log(String,String,Throwable)	def	e2295eedd59c1446
sge.Audio	sge.Audio	class	f7b5246294a3ab9f
sge.Audio	sge.Audio#availableOutputDevices()	def	717655eb84c40683
sge.Audio	sge.Audio#newAudioDevice(int,boolean)	def	12399b832653ed35
sge.Audio	sge.Audio#newAudioRecorder(int,boolean)	def	2f92f103a3d60c29
sge.Audio	sge.Audio#newMusic(FileHandle)	def	b46514ab7f773905
sge.Audio	sge.Audio#newSound(FileHandle)	def	8eb550bc88d54267
sge.Audio	sge.Audio#switchOutputDevice(Nullable<String>)	def	c534eaea76296ead
sge.Files	sge.Files	class	31c352fc0a97f360
sge.Files	sge.Files#absolute(String)	def	2a0899eff26da6f0
sge.Files	sge.Files#classpath(String)	def	0821e634aced10fc
sge.Files	sge.Files#external(String)	def	aa72333703eb66db
sge.Files	sge.Files#externalStorageAvailable()	def	b6cbbb5f24006d62
sge.Files	sge.Files#externalStoragePath()	def	5432a5736b6454be
sge.Files	sge.Files#getFileHandle(String,FileType)	def	ab609ecc9086ae28
sge.Files	sge.Files#internal(String)	def	31a029b6b17d5ce2
sge.Files	sge.Files#local(String)	def	9671b89431b355e9
sge.Files	sge.Files#localStorageAvailable()	def	beb8014fdfeb9980
sge.Files	sge.Files#localStoragePath()	def	18faaabc6d8af52e
sge.Files	sge.Files$FileType	class	197082bb3e14f922
sge.Game	sge.Game	class	20dfc3105eabdf3e
sge.Game	sge.Game#dispose()	def	e0534dc1191d9f2f
sge.Game	sge.Game#pause()	def	7cf2531a523d6506
sge.Game	sge.Game#render()	def	359c02bd7c06015e
sge.Game	sge.Game#resize(Pixels,Pixels)	def	b5fb923e2869dd75
sge.Game	sge.Game#resume()	def	6869407e6b42fa4b
sge.Game	sge.Game#screen	val	b11d601965e05b9c
sge.Game	sge.Game#screen()	def	b185ec165936bce9
sge.Game	sge.Game#setScreen(Screen)	def	eb91ffe7000ea4fd
sge.Gdx	sge.Gdx	class	be07a38564cfe707
sge.Gdx	sge.Gdx#app	val	6fe419dc499c6070
sge.Gdx	sge.Gdx#graphics	val	3a8b39e90d2e598b
sge.Graphics	sge.Graphics	class	ca96fab502a65491
sge.Graphics	sge.Graphics#<stmt1>	stmt	41d5ab3ed0ee32c9
sge.Graphics	sge.Graphics#GL30Available()	def	50a06f510d7c89f0
sge.Graphics	sge.Graphics#GL31Available()	def	e414297ef9ee1ffa
sge.Graphics	sge.Graphics#GL32Available()	def	56c1a6b145e1b026
sge.Graphics	sge.Graphics#GLVersion()	def	53e8281060369710
sge.Graphics	sge.Graphics#backBufferHeight()	def	7e58d056c7180169
sge.Graphics	sge.Graphics#backBufferScale()	def	88af71f6788d925a
sge.Graphics	sge.Graphics#backBufferWidth()	def	8a7af9dfe1d56de0
sge.Graphics	sge.Graphics#bufferFormat()	def	2f105ed49f9fb6ee
sge.Graphics	sge.Graphics#continuousRendering()	def	1ce5502905ca5117
sge.Graphics	sge.Graphics#continuousRendering_=(boolean)	def	9cec6b2f6d2e32ec
sge.Graphics	sge.Graphics#deltaTime()	def	dc46c1e39a519417
sge.Graphics	sge.Graphics#density()	def	3818b4b911e100a5
sge.Graphics	sge.Graphics#displayMode()	def	59df70164881d427
sge.Graphics	sge.Graphics#displayModes()	def	738c771a6d62173f
sge.Graphics	sge.Graphics#frameId()	def	a961607778e89303
sge.Graphics	sge.Graphics#framesPerSecond()	def	2087071039f7b638
sge.Graphics	sge.Graphics#fullscreen()	def	a22229e25963c736
sge.Graphics	sge.Graphics#getDisplayMode(Monitor)	def	5307b7e689547b78
sge.Graphics	sge.Graphics#getDisplayModes(Monitor)	def	c348648a8c295a71
sge.Graphics	sge.Graphics#gl20()	def	62671d4d7c931c2f
sge.Graphics	sge.Graphics#gl20_=(GL20)	def	1c91a2c1798c70f8
sge.Graphics	sge.Graphics#gl30()	def	37ee60bcd1894113
sge.Graphics	sge.Graphics#gl30_=(GL30)	def	7bdb467895c6f05c
sge.Graphics	sge.Graphics#gl31()	def	63a933327898a44a
sge.Graphics	sge.Graphics#gl31_=(GL31)	def	59d71b28b23ff7a6
sge.Graphics	sge.Graphics#gl32()	def	9101e9c71861dcbd
sge.Graphics	sge.Graphics#gl32_=(GL32)	def	2bddea99bf86f45a
sge.Graphics	sge.Graphics#height()	def	1aa845f24312b5bb
sge.Graphics	sge.Graphics#monitor()	def	be85827611e0652c
sge.Graphics	sge.Graphics#monitors()	def	6bd95fe4d83fa247
sge.Graphics	sge.Graphics#newCursor(Pixmap,int,int)	def	7b41482f8b33b197
sge.Graphics	sge.Graphics#ppcX()	def	45dc2e81934759a3
sge.Graphics	sge.Graphics#ppcY()	def	3ab46a7026eaa565
sge.Graphics	sge.Graphics#ppiX()	def	a88a7f9872fb45b8
sge.Graphics	sge.Graphics#ppiY()	def	4c1526dd84907418
sge.Graphics	sge.Graphics#primaryMonitor()	def	8d61d7f4e3f97190
sge.Graphics	sge.Graphics#rawDeltaTime()	def	be18babf5313b0af
sge.Graphics	sge.Graphics#requestRendering()	def	bc2a2f6f6d325940
sge.Graphics	sge.Graphics#safeInsetBottom()	def	1d9b9b541a61849e
sge.Graphics	sge.Graphics#safeInsetLeft()	def	d57bb6ad7aaadc6c
sge.Graphics	sge.Graphics#safeInsetRight()	def	2ce0d1928607fba4
sge.Graphics	sge.Graphics#safeInsetTop()	def	762d9857e02bfd8f
sge.Graphics	sge.Graphics#setCursor(Cursor)	def	5eeb03f2ac0360dc
sge.Graphics	sge.Graphics#setForegroundFPS(int)	def	847c122dc56f26df
sge.Graphics	sge.Graphics#setFullscreenMode(DisplayMode)	def	8fbec4ac3025edf9
sge.Graphics	sge.Graphics#setResizable(boolean)	def	732eaef1e5b0a37e
sge.Graphics	sge.Graphics#setSystemCursor(SystemCursor)	def	878b597d068dd784
sge.Graphics	sge.Graphics#setTitle(String)	def	42561ec4d2ee0f38
sge.Graphics	sge.Graphics#setUndecorated(boolean)	def	30feebc412f1636b
sge.Graphics	sge.Graphics#setVSync(boolean)	def	b6fe7b381b92a740
sge.Graphics	sge.Graphics#setWindowedMode(int,int)	def	9d85c8b132e84925
sge.Graphics	sge.Graphics#supportsDisplayModeChange()	def	233a9df2e2af6470
sge.Graphics	sge.Graphics#supportsExtension(String)	def	68170656c368f3ae
sge.Graphics	sge.Graphics#type()	def	517ba6ff63f8a24c
sge.Graphics	sge.Graphics#width()	def	c12e23fbe1c0f156
sge.Graphics	sge.Graphics$BufferFormat	class	1173ffc0e0cf75aa
sge.Graphics	sge.Graphics$BufferFormat#<stmt1>	stmt	d0911e78da7a5aed
sge.Graphics	sge.Graphics$BufferFormat#<stmt2>	stmt	2f716d44bbf3f311
sge.Graphics	sge.Graphics$BufferFormat#<stmt3>	stmt	1b9a9689fea77a2f
sge.Graphics	sge.Graphics$BufferFormat#<stmt4>	stmt	24c0a043b85d437e
sge.Graphics	sge.Graphics$BufferFormat#<stmt5>	stmt	47513e046fea135a
sge.Graphics	sge.Graphics$BufferFormat#<stmt6>	stmt	2724ad1530146565
sge.Graphics	sge.Graphics$BufferFormat#<stmt7>	stmt	3ff5188e12f30748
sge.Graphics	sge.Graphics$BufferFormat#<stmt8>	stmt	92451b54c784fb84
sge.Graphics	sge.Graphics$BufferFormat#a	val	73dac767c4c91b7c
sge.Graphics	sge.Graphics$BufferFormat#b	val	c4857e03b4cd328d
sge.Graphics	sge.Graphics$BufferFormat#coverageSampling	val	62a9130f0482b2e5
sge.Graphics	sge.Graphics$BufferFormat#depth	val	8b41fa0083011d05
sge.Graphics	sge.Graphics$BufferFormat#g	val	b7547dc76a14011a
sge.Graphics	sge.Graphics$BufferFormat#r	val	49e4d2d5652549d6
