#check	count
base-surface	647
break-catch	0
cast-conversion	0
catalog(consulted)	103
catalog(uncited)	124
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	14
class-init-trigger	0
collection-boundary	1
collection-closure	0
collection-internal	0
collection-retarget	0
context-seam	1
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	14
idiom(residue)	0
jdk-surface	2
manifest	0
markers	0
nullability-boundary	49
omissions	0
opaque-boundary	0
overload-risk	104
policy	3
port-map	8
portability(all)	166
portability(emitted)	13
portability(injected)	0
porter-notes	0
remediation	2
rewrite-callsites	1
signature	47
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
test-framework(refused)	1
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	34
unused-symbol(refused)	0
witness	0
upstream	libGDX@4b4d2c4fd05786d848c42cb69266dd2dd6839983
