#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	92
catalog(uncited)	121
catalog(undischarged)	6
catalog(unmechanised)	7
catalog(unreached)	12
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-retarget	0
context-seam	1
dependency-coverage	0
dependency-coverage(all)	37
gdx-shared-iterator	0
heap-pollution	0
jdk-surface	3
manifest	0
markers	0
nullability-boundary	0
omissions	3
policy	0
port-map	0
portability(all)	168
portability(emitted)	15
portability(injected)	0
porter-notes	0
remediation	2
rewrite-callsites	2
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
