#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	93
catalog(uncited)	120
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	17
class-init-trigger	0
collection-boundary	17
collection-closure	0
collection-retarget	0
dependency-coverage	0
dependency-coverage(all)	101
dependency-coverage(declared)	3
heap-pollution	0
idiom(converted)	0
idiom(refused)	53
idiom(residue)	0
jdk-surface	9
manifest	0
markers	0
omissions	0
overload-risk	30
policy	0
port-map	0
portability(all)	54
portability(emitted)	54
portability(injected)	0
porter-notes	0
remediation	17
rewrite-callsites	1
service-providers	3
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
