# balticporter port map	schema=3	module=liqp	engine=balticporter/0.1.0-SNAPSHOT	sources=335f355ab142e65c	files=134	policy=9aea0b8997bd0df9
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	liqp.Examples	ssg.liquid.Examples	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	liqp.Insertion	ssg.liquid.Insertion	Renamed	-		0		companion=yes disambiguator=marker flags=abstract form=class parents=ssg.liquid.LValue primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(String)
type	liqp.Insertions	ssg.liquid.Insertions	Renamed	-		0		companion=yes flags=final form=class primary=(Map) primaryKind=unique-root primaryVis=private statics=EMPTY,JEKYLL_INSERTIONS,STANDARD_INSERTIONS,of
type	liqp.LValue	ssg.liquid.LValue	Renamed	-		0		companion=yes flags=abstract form=class primary=() primaryKind=unique-root primaryVis=public statics=BREAK,CONTINUE,areEqual,asFormattedNumber,asRubyDate,asTemporal,isBlank,isEmpty,isTemporal,isWhitespace,rubyDateTimeFormat,temporalAsArray
type	liqp.PlainBigDecimal	ssg.liquid.PlainBigDecimal	Renamed	-		0		companion=yes flags=final form=class parents=java.math.BigDecimal primary=(String) primaryKind=widest-root primaryVis=public secondaries=(BigDecimal) statics=serialVersionUID
type	liqp.RenderTransformer	ssg.liquid.RenderTransformer	Renamed	-		0		companion=yes form=trait statics=ObjectAppender
type	liqp.RenderTransformer$ObjectAppender	ssg.liquid.RenderTransformer$ObjectAppender	Renamed	-		0		companion=yes form=trait statics=Controller
type	liqp.RenderTransformer$ObjectAppender$Controller	ssg.liquid.RenderTransformer$ObjectAppender$Controller	Renamed	-		0		companion=yes form=trait parents=ssg.liquid.RenderTransformer$ObjectAppender
type	liqp.RenderTransformerDefaultImpl	ssg.liquid.RenderTransformerDefaultImpl	Renamed	-		0		companion=yes flags=final form=class parents=ssg.liquid.RenderTransformer primary=() primaryKind=unique-root primaryVis=private statics=INSTANCE
type	liqp.Template	ssg.liquid.Template	Renamed	-		0		companion=yes form=class primary=(TemplateParser,CharStream,Path) primaryKind=unique-root primaryVis=public statics=ContextHolder,children
type	liqp.Template$ContextHolder	ssg.liquid.Template$ContextHolder	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	liqp.TemplateContext	ssg.liquid.TemplateContext	Renamed	-		0		companion=yes form=class primary=(Template,TemplateParser,Map) primaryKind=unique-root primaryVis=public secondaries=();(Map);(TemplateParser,Map);(TemplateContext);(Map,TemplateContext) statics=REGISTRY_CYCLE,REGISTRY_FOR,REGISTRY_FOR_STACK,REGISTRY_IFCHANGED,REGISTRY_ITERATION_PROTECTOR,REGISTRY_ROOT_FOLDER
type	liqp.TemplateParser	ssg.liquid.TemplateParser	Renamed	-		0		companion=yes form=class primary=(boolean,boolean,EvaluateMode,RenderTransformer,Locale,ZoneId,Consumer,ErrorMode,Flavor,boolean,boolean,ObjectMapper,Insertions,Filters,boolean,boolean,boolean,Boolean,NameResolver,int,int,long,long,BasicDateParser) primaryKind=unique-root primaryVis=public statics=Builder,DEFAULT,DEFAULT_FLAVOR,DEFAULT_JEKYLL,DEFAULT_LOCALE,ErrorMode,EvaluateMode,evaluate
