#check	count
base-surface	0
bean-exposure	0
break-catch	0
catalog(consulted)	23
catalog(uncited)	121
catalog(undischarged)	1
catalog(unmechanised)	88
catalog(unreached)	9
class-init-trigger	0
collection-boundary	18
collection-closure	0
collection-retarget	0
jdk-surface	0
manifest	0
markers	0
omissions	8
policy	0
port-map	0
portability(all)	1521
portability(emitted)	1467
portability(injected)	0
porter-notes	0
remediation	7
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	36
trivia(recovered)	21
try-resource	0
