# balticporter port map	schema=4	module=ssg-liquid-test	engine=balticporter/0.1.0-SNAPSHOT	sources=b3fd549b8bf92693	files=105	policy=a78d7533cd8dd7fb	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	liqp.ConditionTest	ssg.liquid.ConditionTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.InsertionTest	ssg.liquid.InsertionTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.LValueTest	ssg.liquid.LValueTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.ProtectionSettingsTest	ssg.liquid.ProtectionSettingsTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.ReadmeSamplesTest	ssg.liquid.ReadmeSamplesTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.ReadmeSamplesTest$1MyLazy	ssg.liquid.ReadmeSamplesTest$1MyLazy	Renamed	-		0		companion=yes form=class parents=ssg.liquid.parser.LiquidSupport primary=() primaryKind=unique-root primaryVis=public
type	liqp.ReadmeSamplesTest$1MyParams	ssg.liquid.ReadmeSamplesTest$1MyParams	Renamed	-		0		form=class parents=ssg.liquid.parser.Inspectable primary=() primaryKind=unique-root primaryVis=public
type	liqp.RenderSettingsTest	ssg.liquid.RenderSettingsTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=CustomRenderTransformer,MyAppender
type	liqp.RenderSettingsTest$CustomRenderTransformer	ssg.liquid.RenderSettingsTest$CustomRenderTransformer	Renamed	-		0		companion=yes flags=final form=class parents=ssg.liquid.RenderTransformer primary=() primaryKind=unique-root primaryVis=private[RenderSettingsTest]
type	liqp.RenderSettingsTest$MyAppender	ssg.liquid.RenderSettingsTest$MyAppender	Renamed	-		0		companion=yes flags=final form=class parents=ssg.liquid.RenderTransformer$ObjectAppender$Controller primary=() primaryKind=unique-root primaryVis=private[RenderSettingsTest]
type	liqp.StatementsTest	ssg.liquid.StatementsTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.TemplateTest	ssg.liquid.TemplateTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=ComparableBase,Foo,SampleDateInspectable
type	liqp.TemplateTest$1MyInspectable	ssg.liquid.TemplateTest$1MyInspectable	Renamed	-		0		form=class parents=ssg.liquid.parser.Inspectable primary=() primaryKind=unique-root primaryVis=public
type	liqp.TemplateTest$ComparableBase	ssg.liquid.TemplateTest$ComparableBase	Renamed	-		0		form=class parents=java.lang.Comparable primary=(int) primaryKind=unique-root primaryVis=public
type	liqp.TemplateTest$Foo	ssg.liquid.TemplateTest$Foo	Renamed	-		0		form=class parents=ssg.liquid.parser.Inspectable primary=() primaryKind=unique-root primaryVis=public
type	liqp.TemplateTest$SampleDateInspectable	ssg.liquid.TemplateTest$SampleDateInspectable	Renamed	-		0		form=class parents=ssg.liquid.parser.Inspectable primary=(Date) primaryKind=unique-root primaryVis=public
type	liqp.TestUtils	ssg.liquid.TestUtils	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=private
type	liqp.blocks.CaptureTest	ssg.liquid.blocks.CaptureTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.CaseTest	ssg.liquid.blocks.CaseTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.CommentTest	ssg.liquid.blocks.CommentTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.CycleTest	ssg.liquid.blocks.CycleTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.ForTest	ssg.liquid.blocks.ForTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.IfTest	ssg.liquid.blocks.IfTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.IfchangedTest	ssg.liquid.blocks.IfchangedTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.RawTest	ssg.liquid.blocks.RawTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.TablerowTest	ssg.liquid.blocks.TablerowTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.blocks.UnlessTest	ssg.liquid.blocks.UnlessTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.AbsTest	ssg.liquid.filters.AbsTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.Absolute_UrlTest	ssg.liquid.filters.Absolute_UrlTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.AppendTest	ssg.liquid.filters.AppendTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.At_LeastTest	ssg.liquid.filters.At_LeastTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.At_MostTest	ssg.liquid.filters.At_MostTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.CapitalizeTest	ssg.liquid.filters.CapitalizeTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.CeilTest	ssg.liquid.filters.CeilTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.CompactTest	ssg.liquid.filters.CompactTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.ConcatTest	ssg.liquid.filters.ConcatTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.DateTest	ssg.liquid.filters.DateTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=formatter,seconds,simpleDateFormat
type	liqp.filters.DateTest$1CustomDate	ssg.liquid.filters.DateTest$1CustomDate	Renamed	-		0		form=class primary=(long) primaryKind=unique-root primaryVis=public
type	liqp.filters.DefaultTest	ssg.liquid.filters.DefaultTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.Divided_ByTest	ssg.liquid.filters.Divided_ByTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.DowncaseTest	ssg.liquid.filters.DowncaseTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.EscapeTest	ssg.liquid.filters.EscapeTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.Escape_OnceTest	ssg.liquid.filters.Escape_OnceTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.FilterTest	ssg.liquid.filters.FilterTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.FirstTest	ssg.liquid.filters.FirstTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.FloorTest	ssg.liquid.filters.FloorTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.HTest	ssg.liquid.filters.HTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.JoinTest	ssg.liquid.filters.JoinTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.JsonTest	ssg.liquid.filters.JsonTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.LastTest	ssg.liquid.filters.LastTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.LstripTest	ssg.liquid.filters.LstripTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.MapTest	ssg.liquid.filters.MapTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.MinusTest	ssg.liquid.filters.MinusTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.ModuloTest	ssg.liquid.filters.ModuloTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.Newline_To_BrTest	ssg.liquid.filters.Newline_To_BrTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	liqp.filters.Normalize_WhitespaceTest	ssg.liquid.filters.Normalize_WhitespaceTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
