#check	count
api-parity(accessor)	0
api-parity(collection-retarget)	0
api-parity(factory)	17
api-parity(file-merge)	0
api-parity(hand-original)	6
api-parity(hand-port-extra)	60
api-parity(mutability)	2
api-parity(null-model)	6
api-parity(opaque)	5
api-parity(operator)	3
api-parity(port-extra)	345
api-parity(rename)	0
api-parity(rule)	10
api-parity(signature)	87
api-parity(static-placement)	10
api-parity(unclassified)	0
api-parity(visibility)	0
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	91
catalog(uncited)	124
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	26
class-init-trigger	0
collection-boundary	4
collection-closure	0
collection-internal	0
collection-retarget	0
context-seam	0
dependency-coverage	0
dependency-coverage(all)	0
dependency-coverage(declared)	0
heap-pollution	5
idiom(converted)	4
idiom(refused)	92
idiom(residue)	0
jdk-surface	2
manifest	0
markers	0
nullability-boundary	10
omissions	19
overload-risk	12
policy	3
port-map	0
portability(all)	0
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	8
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	2
unused-symbol(refused)	0
witness	70
upstream	libGDX@4b4d2c4fd05786d848c42cb69266dd2dd6839983
