# balticporter port map	schema=2	module=noise4j	engine=balticporter/0.1.0-SNAPSHOT	sources=883167e7e3853c31	files=12
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest
type	com.github.czyzby.noise4j.array.Array2D	sge.noise.Array2D	Renamed	-		0	
type	com.github.czyzby.noise4j.map.Grid	sge.noise.Grid	Renamed	-		0	
type	com.github.czyzby.noise4j.array.Int2dArray	sge.noise.Int2dArray	Renamed	-		0	
type	com.github.czyzby.noise4j.array.Object2dArray	sge.noise.Object2dArray	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.AbstractGenerator	sge.noise.generator.AbstractGenerator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.Generator	sge.noise.generator.Generator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.cellular.CellularAutomataGenerator	sge.noise.generator.cellular.CellularAutomataGenerator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.noise.NoiseGenerator	sge.noise.generator.noise.NoiseGenerator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.room.AbstractRoomGenerator	sge.noise.generator.room.AbstractRoomGenerator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.room.RoomType	sge.noise.generator.room.RoomType	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.room.dungeon.DungeonGenerator	sge.noise.generator.room.dungeon.DungeonGenerator	Renamed	-		0	
type	com.github.czyzby.noise4j.map.generator.util.Generators	sge.noise.generator.util.Generators	Renamed	-		0	
member	com.github.czyzby.noise4j.array.Array2D#<init>(int)	sge.noise.Array2D#<init>(int)	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	11	4ecd5ceac44e306d
member	com.github.czyzby.noise4j.array.Array2D#<stmt1>	sge.noise.Array2D#<stmt1>	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	18	19ab7a3c85329e47
member	com.github.czyzby.noise4j.array.Array2D#<stmt2>	sge.noise.Array2D#<stmt2>	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	19	756b3dfe32c62344
member	com.github.czyzby.noise4j.array.Array2D#getHeight()	sge.noise.Array2D#getHeight()	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	28	95c506fc5cbd91f7
member	com.github.czyzby.noise4j.array.Array2D#getWidth()	sge.noise.Array2D#getWidth()	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	23	a8b5292d525fae96
member	com.github.czyzby.noise4j.array.Array2D#height	sge.noise.Array2D#height	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	8	18a776f59db249e6
member	com.github.czyzby.noise4j.array.Array2D#isIndexValid(int,int)	sge.noise.Array2D#isIndexValid(int,int)	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	35	6ac5df75ff9facf0
member	com.github.czyzby.noise4j.array.Array2D#toIndex(int,int)	sge.noise.Array2D#toIndex(int,int)	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	42	a9418a67e53e992b
member	com.github.czyzby.noise4j.array.Array2D#toX(int)	sge.noise.Array2D#toX(int)	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	48	297db741577a25ce
member	com.github.czyzby.noise4j.array.Array2D#toY(int)	sge.noise.Array2D#toY(int)	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	54	9d23ac1bb3800285
member	com.github.czyzby.noise4j.array.Array2D#width	sge.noise.Array2D#width	Renamed	-	com/github/czyzby/noise4j/array/Array2D.java	7	4daa7c5118f966d5
member	com.github.czyzby.noise4j.map.Grid#<init>(float,int,int)	sge.noise.Grid#<init>(float,int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	27	10324f33f5ebbc3d
member	com.github.czyzby.noise4j.map.Grid#<init>(int)	sge.noise.Grid#<init>(int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	14	4ecd5ceac44e306d
member	com.github.czyzby.noise4j.map.Grid#<init>(int,int)	sge.noise.Grid#<init>(int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	20	c278ff22d832779d
member	com.github.czyzby.noise4j.map.Grid#<stmt1>	sge.noise.Grid#<stmt1>	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	37	cc43d4232d3a0325
member	com.github.czyzby.noise4j.map.Grid#<stmt2>	sge.noise.Grid#<stmt2>	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	38	9c79ad231bd64119
member	com.github.czyzby.noise4j.map.Grid#add(Grid)	sge.noise.Grid#add(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	150	5a8084b849a7907f
member	com.github.czyzby.noise4j.map.Grid#add(float)	sge.noise.Grid#add(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	237	877ad561c03316e4
member	com.github.czyzby.noise4j.map.Grid#add(int,int,float)	sge.noise.Grid#add(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	68	555f7ff6401e4809
member	com.github.czyzby.noise4j.map.Grid#clamp(float,float)	sge.noise.Grid#clamp(float,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	301	8af08652091c91e6
member	com.github.czyzby.noise4j.map.Grid#copy()	sge.noise.Grid#copy()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	355	1f1336965b81948f
member	com.github.czyzby.noise4j.map.Grid#decrement()	sge.noise.Grid#decrement()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	334	00c8208fb5501dfa
member	com.github.czyzby.noise4j.map.Grid#divide(Grid)	sge.noise.Grid#divide(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	174	0bdbcf2bb1c06b97
member	com.github.czyzby.noise4j.map.Grid#divide(float)	sge.noise.Grid#divide(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	270	a64d94ae5857d9fc
member	com.github.czyzby.noise4j.map.Grid#divide(int,int,float)	sge.noise.Grid#divide(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	92	3ff36f269a4b0ef0
member	com.github.czyzby.noise4j.map.Grid#equals(Any)	sge.noise.Grid#equals(Any)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	342	fa6c59dfaca77cec
member	com.github.czyzby.noise4j.map.Grid#fill(float)	sge.noise.Grid#fill(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	205	619d2cc4445807c9
member	com.github.czyzby.noise4j.map.Grid#fillColumn(int,float)	sge.noise.Grid#fillColumn(int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	214	eaff7240885de6ad
member	com.github.czyzby.noise4j.map.Grid#fillRow(int,float)	sge.noise.Grid#fillRow(int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	226	e5b0c04e11ff6a4c
member	com.github.czyzby.noise4j.map.Grid#forEach(CellConsumer)	sge.noise.Grid#forEach(CellConsumer)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	107	4d82abf7dbdf99fd
member	com.github.czyzby.noise4j.map.Grid#forEach(CellConsumer,int,int)	sge.noise.Grid#forEach(CellConsumer,int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	116	287ac0577672c06d
member	com.github.czyzby.noise4j.map.Grid#forEach(CellConsumer,int,int,int,int)	sge.noise.Grid#forEach(CellConsumer,int,int,int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	127	89ff3ebe66b5f5dc
member	com.github.czyzby.noise4j.map.Grid#get(int,int)	sge.noise.Grid#get(int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	52	b84f1aa01426b64d
member	com.github.czyzby.noise4j.map.Grid#getArray()	sge.noise.Grid#getArray()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	45	c26ea0e9d4210512
member	com.github.czyzby.noise4j.map.Grid#grid	sge.noise.Grid#grid	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	11	6270fde14e0ea227
member	com.github.czyzby.noise4j.map.Grid#hashCode()	sge.noise.Grid#hashCode()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	348	db97bfd75c1b0d58
member	com.github.czyzby.noise4j.map.Grid#increment()	sge.noise.Grid#increment()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	324	300fa78c9e784d41
member	com.github.czyzby.noise4j.map.Grid#iterate(CellConsumer,int,int)	sge.noise.Grid#iterate(CellConsumer,int,int)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	135	4a8a82bf1ae54ca8
member	com.github.czyzby.noise4j.map.Grid#modulo(float)	sge.noise.Grid#modulo(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	281	7ff0b483eb5616ea
member	com.github.czyzby.noise4j.map.Grid#modulo(int,int,float)	sge.noise.Grid#modulo(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	100	658c9910111ac1c4
member	com.github.czyzby.noise4j.map.Grid#multiply(Grid)	sge.noise.Grid#multiply(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	166	6351fcf7fa81e08b
member	com.github.czyzby.noise4j.map.Grid#multiply(float)	sge.noise.Grid#multiply(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	259	91eb8f51ae8c4676
member	com.github.czyzby.noise4j.map.Grid#multiply(int,int,float)	sge.noise.Grid#multiply(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	84	a0a3476041b7083b
member	com.github.czyzby.noise4j.map.Grid#negate()	sge.noise.Grid#negate()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	291	04ffeb92d0bf28b0
member	com.github.czyzby.noise4j.map.Grid#replace(float,float)	sge.noise.Grid#replace(float,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	312	095dbdf3d8b83bee
member	com.github.czyzby.noise4j.map.Grid#set(Grid)	sge.noise.Grid#set(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	144	9e86d819fed65988
member	com.github.czyzby.noise4j.map.Grid#set(float)	sge.noise.Grid#set(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	193	bd7825d2667c91df
member	com.github.czyzby.noise4j.map.Grid#set(int,int,float)	sge.noise.Grid#set(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	60	74e5c3321f4d0c04
member	com.github.czyzby.noise4j.map.Grid#subtract(Grid)	sge.noise.Grid#subtract(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	158	77a365e6631bfaf7
member	com.github.czyzby.noise4j.map.Grid#subtract(float)	sge.noise.Grid#subtract(float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	248	c327d9363a9b5e1d
member	com.github.czyzby.noise4j.map.Grid#subtract(int,int,float)	sge.noise.Grid#subtract(int,int,float)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	76	952a6d4b0d794076
member	com.github.czyzby.noise4j.map.Grid#toString()	sge.noise.Grid#toString()	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	362	2d83a684d9cb45a2
member	com.github.czyzby.noise4j.map.Grid#validateGrid(Grid)	sge.noise.Grid#validateGrid(Grid)	Renamed	-	com/github/czyzby/noise4j/map/Grid.java	183	a9aece5b1e43a51c
