#check	count
base-surface	0
break-catch	0
catalog(consulted)	86
catalog(uncited)	121
catalog(undischarged)	5
catalog(unmechanised)	10
catalog(unreached)	15
class-init-trigger	0
collection-boundary	1
collection-closure	0
collection-retarget	0
context-seam	10
dependency-coverage	0
dependency-coverage(all)	37
gdx-shared-iterator	0
jdk-surface	0
manifest	0
markers	0
nullability-boundary	3
omissions	0
policy	0
port-map	0
portability(all)	153
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	1
try-resource	0
