#check	count
base-surface	0
break-catch	0
catalog(consulted)	14
catalog(uncited)	121
catalog(undischarged)	1
catalog(unmechanised)	88
catalog(unreached)	18
class-init-trigger	0
collection-boundary	3
collection-closure	0
collection-retarget	0
jdk-surface	6
manifest	0
markers	0
omissions	2
policy	0
port-map	0
portability(all)	6
portability(emitted)	6
portability(injected)	0
porter-notes	0
remediation	1
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
