# balticporter port map	schema=3	module=sge-graphs	engine=balticporter/0.1.0-SNAPSHOT	sources=9ed1f1dd5d69fea0	files=27	policy=2e5b03592ca87d80
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	space.earlygrey.simplegraphs.Array	sge.graphs.Array	Renamed	-		0		form=class parents=balticporter.runtime.JavaCollection primary=(int,boolean) primaryKind=unique-root primaryVis=public secondaries=();(int) tparams="[T <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Array$ArrayIterator	sge.graphs.Array$ArrayIterator	Renamed	-		0		form=class parents=balticporter.runtime.JavaIterator primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.BinaryHeap	sge.graphs.BinaryHeap	Renamed	-		0		form=class primary=(int) primaryKind=unique-root primaryVis=public secondaries=()
type	space.earlygrey.simplegraphs.Connection	sge.graphs.Connection	Renamed	-		0		companion=yes flags=abstract form=class parents=sge.graphs.Edge primary=() primaryKind=unique-root primaryVis=public statics=DirectedConnection,UndirectedConnection tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Connection$DirectedConnection	sge.graphs.Connection$DirectedConnection	Renamed	-		0		companion=yes form=class parents=sge.graphs.Connection primary=() primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Connection$UndirectedConnection	sge.graphs.Connection$UndirectedConnection	Renamed	-		0		companion=yes form=class parents=sge.graphs.Connection primary=() primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.DirectedGraph	sge.graphs.DirectedGraph	Renamed	-		0		form=class parents=sge.graphs.Graph primary=() primaryKind=no-arg-root primaryVis=public secondaries=(JavaCollection);(Graph) tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Edge	sge.graphs.Edge	Renamed	-		0		flags=abstract form=class primary=() primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Errors	sge.graphs.Errors	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.Graph	sge.graphs.Graph	Renamed	-		0		companion=yes disambiguator=marker flags=abstract form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(JavaCollection);(Graph) tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.GraphBuilder	sge.graphs.GraphBuilder	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=private
type	space.earlygrey.simplegraphs.Internals	sge.graphs.Internals	Renamed	-		0		form=class primary=(Graph) primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
type	space.earlygrey.simplegraphs.Node	sge.graphs.Node	Renamed	-		0		form=class primary=(V,boolean,int) primaryKind=unique-root primaryVis=public tparams="[V <: java.lang.Object]"
