#id	check	kind	owner	path	line	detail
f87f8f564497	catalog(consulted)	reached	JS-C01	../../main/java/space/earlygrey/simplegraphs/Array.java	84	lowering CtInvocation/Expression — consulted 1139, fired 207, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
a84a30c485b3	catalog(consulted)	reached	JS-C02	-	0	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 1742, fired 0, declarations 0: interface constants are inherited through `implements`
a34f58e3af12	catalog(consulted)	reached	JS-C03	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
d3db3cdf6e07	catalog(consulted)	reached	JS-C05	../../main/java/space/earlygrey/simplegraphs/BinaryHeap.java	175	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 603, fired 11, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
3bfe606c3861	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 743, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
3d709168b75f	catalog(consulted)	reached	JS-C07	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
e838e0a052b8	catalog(consulted)	reached	JS-C08	-	0	rendering ValDef — consulted 107, fired 0, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
d0b4d3bf62b1	catalog(consulted)	reached	JS-C09	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
d36d776abd83	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
8825bd911fbb	catalog(consulted)	reached	JS-C13	space/earlygrey/simplegraphs/AlgorithmsTest.java	39	rendering ClassDef — consulted 8, fired 8, declarations 0: JLS 12.5's instance-creation sequence, whole
e6e7c11600b6	catalog(consulted)	reached	JS-C14	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: the superclass constructor runs before this class's field initialisers
28269d2de040	catalog(consulted)	reached	JS-C16	-	0	rendering DefDef — consulted 11, fired 0, declarations 0: instance initialiser blocks
612163f9c57c	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 131, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
a32dbf921c1d	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
67e7b8c0ef6f	catalog(consulted)	reached	JS-C19	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
620bfbdd8d93	catalog(consulted)	reached	JS-C20	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: the implicit `super()` and the default constructor
890465e4b571	catalog(consulted)	reached	JS-C21	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
8d88e35b3afc	catalog(consulted)	reached	JS-C22	space/earlygrey/simplegraphs/AlgorithmsTest.java	242	rendering Apply — consulted 743, fired 2, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
acc9242ea70c	catalog(consulted)	reached	JS-C23	-	0	rendering Apply — consulted 743, fired 0, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
76af451b16bd	catalog(consulted)	reached	JS-C25	space/earlygrey/simplegraphs/TestUtils.java	44	rendering DefDef — consulted 11, fired 6, declarations 0: `override` is mandatory in Scala and absent in Java
b1f10b9bce12	catalog(consulted)	reached	JS-C29	space/earlygrey/simplegraphs/AlgorithmsTest.java	44	rendering-type TypeRef — consulted 446, fired 65, declarations 0: a static NESTED class and an INNER class are different types, and only one is path-dependent
57956d4ae9b0	catalog(consulted)	reached	JS-C31	-	0	lowering CtNewClass/Expression — consulted 131, fired 0, declarations 0: anonymous class construction and capture
913e923c6e69	catalog(consulted)	reached	JS-C33	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
960f46169d42	catalog(consulted)	reached	JS-C34	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: interface statics are not inherited AT ALL, not even by an implementor
568db5b89345	catalog(consulted)	reached	JS-C36	-	0	rendering ValDef — consulted 107, fired 0, declarations 0: an interface field is implicitly `public static final`
222c578cad96	catalog(consulted)	reached	JS-C37	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: `name()`, `values()` and `valueOf` are SYNTHESISED on every Java enum
12e88264c085	catalog(consulted)	reached	JS-C38	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: a promoted enum constructor parameter IS a member, and `name` collides with `Enum.name()`
dab8399812be	catalog(consulted)	reached	JS-C39	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: `ordinal()` is part of every Java enum's surface, mentioned or not
f8cbaef36aea	catalog(consulted)	reached	JS-C40	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: enum constants with PER-CONSTANT class bodies
281cfdcb7b04	catalog(consulted)	reached	JS-C44	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: `sealed` / `non-sealed` / `permits`
06caf97d7a7a	catalog(consulted)	reached	JS-C45	-	0	rendering ValDef — consulted 107, fired 0, declarations 0: a `final` field's JMM safe-publication guarantee
14288c772f98	catalog(consulted)	reached	JS-C46	-	0	phase member-clash — consulted 0, fired 0, declarations 8: Java has TWO name namespaces and Scala has one
792b1ddfb01d	catalog(consulted)	reached	JS-C47	space/earlygrey/simplegraphs/TestUtils.java	64	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 126, fired 6, declarations 0: package-private becomes `private[pkg]`
1b19fc8d8180	catalog(consulted)	reached	JS-C48	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 126, fired 0, declarations 0: Java's `protected` also grants SAME-PACKAGE access, and accessibility is an input to overload resolution
6753d3d1e22b	catalog(consulted)	reached	JS-C49	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 126, fired 0, declarations 0: Java's `private` reaches the whole enclosing TOP-LEVEL class; Scala's reaches only the template
c83855ed4e38	catalog(consulted)	reached	JS-C50	space/earlygrey/simplegraphs/TestUtils.java	64	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 126, fired 6, declarations 0: Java's default access is package-private and Scala's is public — INVERTED
c19a7bfb2412	catalog(consulted)	reached	JS-E01	../../main/java/space/earlygrey/simplegraphs/BinaryHeap.java	74	lowering CtBinaryOperator/Expression — consulted 419, fired 19, declarations 0: `==`/`!=` are REFERENCE identity in Java; Scala's `==` calls `equals`
a3dff615ecd2	catalog(consulted)	reached	JS-E02	../../main/java/space/earlygrey/simplegraphs/Array.java	53	lowering CtUnaryOperator/Expression — consulted 48, fired 13, declarations 0: postfix/prefix `++`/`--` USED AS A VALUE yields the value before the update — the VALUE only; the operand's single evaluation is JS-E17
b1fce0cbcd67	catalog(consulted)	reached	JS-E03	-	0	lowering CtOperatorAssignment/Statement — consulted 7, fired 0, declarations 0: compound assignment NARROWS implicitly to the left-hand type — STATEMENT position; the lvalue's single evaluation is JS-E17
1f75df791e4b	catalog(consulted)	reached	JS-E05	../../main/java/space/earlygrey/simplegraphs/DirectedGraph.java	84	lowering CtConditional/Expression — consulted 13, fired 13, declarations 0: the conditional operator's type is computed, not the syntactic lub of its branches
e6c510d310b4	catalog(consulted)	reached	JS-E06	-	0	rendering Typed — consulted 119, fired 0, declarations 0: a primitive cast is a CONVERSION in Java and an assertion in Scala once a phase has retyped the value
9bd2facfd8ad	catalog(consulted)	reached	JS-E14	space/earlygrey/simplegraphs/utils/BadHashInteger.java	30	lowering CtBinaryOperator/Expression — consulted 419, fired 1, declarations 0: string concatenation with a NON-`String` left operand
e2c17d4658cd	catalog(consulted)	reached	JS-G01	../../main/java/space/earlygrey/simplegraphs/Array.java	77	lowering-type CtWildcardReference + rendering-type TypeBounds — consulted 111, fired 67, declarations 0: use-site wildcards, with the matching bound grammar
9451f463b850	catalog(consulted)	reached	JS-G03	-	0	lowering-type CtWildcardReference — consulted 111, fired 0, declarations 0: `? super Object` has exactly one inhabitant
784750144ff3	catalog(consulted)	reached	JS-G04	-	0	rendering ForEach — consulted 11, fired 0, declarations 0: a captured wildcard on ITERATION has no nameable type
316eea8071e3	catalog(consulted)	reached	JS-G05	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: a wildcard in an `extends` clause takes the parameter's DECLARED bound
0fb717142d36	catalog(consulted)	reached	JS-G07	<synthetic>	0	lowering-type CtTypeReference — consulted 9839, fired 243, declarations 0: a RAW type erases the REFERENCE's generics, not the class's
343c8d937b18	catalog(consulted)	reached	JS-G08	<synthetic>	0	lowering-type CtTypeReference — consulted 9839, fired 6, declarations 0: the same raw Java type renders DIFFERENTLY per scope, and correctly so
b821513a87de	catalog(consulted)	reached	JS-G09	../../main/java/space/earlygrey/simplegraphs/BinaryHeap.java	53	lowering CtInvocation/Expression + lowering CtConstructorCall/Expression + lowering CtNewClass/Expression + lowering CtNewArray/Expression + lowering CtLocalVariable/Statement + lowering CtField/Declaration + lowering CtAssignment/Either + lowering CtReturn/Statement — consulted 2123, fired 32, declarations 0: UNCHECKED CONVERSION at a raw type is legal in Java and is not in Scala
df9ca0bc534b	catalog(consulted)	reached	JS-G10	-	0	lowering CtNewClass/Expression — consulted 131, fired 0, declarations 0: a RAW anonymous class WITH a body
da6a0979feeb	catalog(consulted)	reached	JS-G11	-	0	rendering ClassDef — consulted 8, fired 0, declarations 0: a partially-nameable F-BOUNDED raw fill
