# balticporter port map	schema=3	module=simple-graphs-test	engine=balticporter/0.1.0-SNAPSHOT	sources=5c8d26fe03d48b7d	files=7	policy=fbbe6e82c1598c81
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	space.earlygrey.simplegraphs.AlgorithmsTest	sge.graphs.AlgorithmsTest	Renamed	-		0		companion=yes form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public statics=pathIsConnected
type	space.earlygrey.simplegraphs.ArrayTest	sge.graphs.ArrayTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.GraphBuilderTest	sge.graphs.GraphBuilderTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.GraphTest	sge.graphs.GraphTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.StructuresTest	sge.graphs.StructuresTest	Renamed	-		0		form=class parents=munit.FunSuite primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.TestUtils	sge.graphs.TestUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.TestUtils$Vector2	sge.graphs.TestUtils$Vector2	Renamed	-		0		form=class primary=(float,float) primaryKind=unique-root primaryVis=public
type	space.earlygrey.simplegraphs.utils.BadHashInteger	sge.graphs.utils.BadHashInteger	Renamed	-		0		form=class primary=(int) primaryKind=unique-root primaryVis=public
type		balticporter.runtime.JavaCollection	Added	-		0		
type		balticporter.runtime.JavaCollections	Added	-		0		
type		balticporter.runtime.JavaIterable	Added	-		0		
type		balticporter.runtime.JavaIterator	Added	-		0		
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt1>	sge.graphs.AlgorithmsTest#<stmt1>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	42	e3153b7603123803	
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt2>	sge.graphs.AlgorithmsTest#<stmt2>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	107	1ad5d53a26b23583	
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt3>	sge.graphs.AlgorithmsTest#<stmt3>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	158	f8b74bd1d14e52c5	
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt4>	sge.graphs.AlgorithmsTest#<stmt4>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	187	2ffd6f8b5ac746e6	
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt5>	sge.graphs.AlgorithmsTest#<stmt5>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	216	aef8aa190741b7c8	
member	space.earlygrey.simplegraphs.AlgorithmsTest#<stmt6>	sge.graphs.AlgorithmsTest#<stmt6>	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	263	06033fc3950df223	
member	space.earlygrey.simplegraphs.AlgorithmsTest#createDirectedSearchGraph()	sge.graphs.AlgorithmsTest#createDirectedSearchGraph()	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	140	c5b4eafc0a0f1d34	vis=private
member	space.earlygrey.simplegraphs.AlgorithmsTest#pathIsConnected(Path,Graph)	sge.graphs.AlgorithmsTest#pathIsConnected(Path<Vector2>,Graph<Vector2>)	Renamed	-	space/earlygrey/simplegraphs/AlgorithmsTest.java	99	7d93f765dc552eb9	placement=companion vis=private
member	space.earlygrey.simplegraphs.ArrayTest#<stmt1>	sge.graphs.ArrayTest#<stmt1>	Renamed	-	space/earlygrey/simplegraphs/ArrayTest.java	9	1c7ceceae848cc5e	
member	space.earlygrey.simplegraphs.ArrayTest#<stmt2>	sge.graphs.ArrayTest#<stmt2>	Renamed	-	space/earlygrey/simplegraphs/ArrayTest.java	22	b449832e370cbc31	
member	space.earlygrey.simplegraphs.GraphBuilderTest#<stmt1>	sge.graphs.GraphBuilderTest#<stmt1>	Renamed	-	space/earlygrey/simplegraphs/GraphBuilderTest.java	68	ef9965a55137de43	
member	space.earlygrey.simplegraphs.GraphTest#<stmt1>	sge.graphs.GraphTest#<stmt1>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	48	3f1c2caf57147930	
member	space.earlygrey.simplegraphs.GraphTest#<stmt2>	sge.graphs.GraphTest#<stmt2>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	131	1ef5f3db63cec35c	
member	space.earlygrey.simplegraphs.GraphTest#<stmt3>	sge.graphs.GraphTest#<stmt3>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	154	200fd9ce41725f33	
member	space.earlygrey.simplegraphs.GraphTest#<stmt4>	sge.graphs.GraphTest#<stmt4>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	177	5d257cb9c83993f0	
member	space.earlygrey.simplegraphs.GraphTest#<stmt5>	sge.graphs.GraphTest#<stmt5>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	247	147b13493548cca1	
member	space.earlygrey.simplegraphs.GraphTest#<stmt6>	sge.graphs.GraphTest#<stmt6>	Renamed	-	space/earlygrey/simplegraphs/GraphTest.java	261	920537075931becd	
member	space.earlygrey.simplegraphs.StructuresTest#<stmt1>	sge.graphs.StructuresTest#<stmt1>	Renamed	-	space/earlygrey/simplegraphs/StructuresTest.java	17	5124d570e712e732	
