#check	count
base-surface	2
break-catch	0
cast-conversion	0
catalog(consulted)	101
catalog(uncited)	121
catalog(undischarged)	5
catalog(unmechanised)	1
catalog(unreached)	10
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	0
context-seam	44
dependency-coverage	0
dependency-coverage(all)	37
dependency-coverage(declared)	1
gdx-shared-iterator	0
heap-pollution	1
idiom(converted)	15
idiom(refused)	98
idiom(residue)	0
jdk-surface	5
manifest	0
markers	0
nullability-boundary	9
omissions	52
overload-risk	62
policy	0
port-map	1
portability(all)	153
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
rewrite-callsites	2
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	7
try-resource	0
