#id	check	kind	owner	path	line	detail
9d5a899bd855	api-parity(accessor)	accessor	Layout#font	/Layout	0	var font/0 in reference port only
547a92ccf5c6	api-parity(hand-port-extra)	hand-port-extra	#FloatArrayHelper		0	class FloatArrayHelper/0 in reference port only
438e00bf81f2	api-parity(hand-port-extra)	hand-port-extra	#InternalToken		0	enum InternalToken/0 in reference port only
52fd2568f2f2	api-parity(hand-port-extra)	hand-port-extra	#TokenEntry		0	class TokenEntry/0 in reference port only
e15250ff34ea	api-parity(hand-port-extra)	hand-port-extra	CaseInsensitiveIntMap#isEmpty	/CaseInsensitiveIntMap	0	def isEmpty/0 in reference port only [rename candidates: clear, empty, entries, hashCode, iterator, keys, notEmpty, toString, values]
6a0efa2b5ee1	api-parity(hand-port-extra)	hand-port-extra	CaseInsensitiveIntMap#size	/CaseInsensitiveIntMap	0	def size/0 in reference port only [rename candidates: clear, empty, entries, hashCode, iterator, keys, notEmpty, toString, values]
121aab45ef3d	api-parity(hand-port-extra)	hand-port-extra	Effect#isFinished	/Effect	0	def isFinished/0 in reference port only [rename candidates: calculateFadeout, finished]
6905135f1a9a	api-parity(hand-port-extra)	hand-port-extra	EmojiProcessor$#replaceEmoji	/EmojiProcessor$	0	def replaceEmoji/2 in reference port only
cf233cce6a05	api-parity(hand-port-extra)	hand-port-extra	FWSkin#load	/FWSkin	0	def load/1 in reference port only [rename candidates: getJsonLoader]
5dc62eb45f4f	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#data	/FloatArrayHelper	0	val data/0 in reference port only
97b3c2b4c19e	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#get	/FloatArrayHelper	0	def get/1 in reference port only
26836c380748	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#incr	/FloatArrayHelper	0	def incr/2 in reference port only
f6555c700b01	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#set	/FloatArrayHelper	0	def set/2 in reference port only
aef9fde67ab6	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#setSize	/FloatArrayHelper	0	def setSize/1 in reference port only
7da81fa8bc92	api-parity(hand-port-extra)	hand-port-extra	FloatArrayHelper#size	/FloatArrayHelper	0	def size/0 in reference port only
5ecbd97fa4a5	api-parity(hand-port-extra)	hand-port-extra	Font#dispose	/Font	0	def dispose/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
742b9525c4af	api-parity(hand-port-extra)	hand-port-extra	Font#drawGlyph	/Font	0	def drawGlyph/10 in reference port only [rename candidates: drawBlockSequence]
2c1d3dff6e29	api-parity(hand-port-extra)	hand-port-extra	Font#drawGlyph	/Font	0	def drawGlyph/6 in reference port only [rename candidates: addAtlas, loadFNT]
6ff3bf64cf24	api-parity(hand-port-extra)	hand-port-extra	Font#drawGlyph	/Font	0	def drawGlyph/8 in reference port only [rename candidates: drawFancyLine, drawGlyphs]
824ec50a9291	api-parity(hand-port-extra)	hand-port-extra	Font#drawGlyphs	/Font	0	def drawGlyphs/6 in reference port only [rename candidates: addAtlas, loadFNT]
ed8645160bc5	api-parity(hand-port-extra)	hand-port-extra	Font#drawGlyphs	/Font	0	def drawGlyphs/9 in reference port only [rename candidates: drawBlockSequence, drawGlyph]
b2b57d61a97f	api-parity(hand-port-extra)	hand-port-extra	Font#drawMarkupText	/Font	0	def drawMarkupText/5 in reference port only [rename candidates: addImage, drawBlocks, drawGlyph, drawGlyphs, drawText]
1c4308083716	api-parity(hand-port-extra)	hand-port-extra	Font#drawMarkupText	/Font	0	def drawMarkupText/7 in reference port only [rename candidates: drawGlyph, loadJSON]
26d28fd5a061	api-parity(hand-port-extra)	hand-port-extra	Font#dropShadowOffsetX	/Font	0	var dropShadowOffsetX/0 in reference port only [rename candidates: PACKED_BLACK, PACKED_BLUE, PACKED_CONTEXT_COLOR, PACKED_ERROR_COLOR, PACKED_HALO_COLOR, PACKED_NOTE_COLOR, PACKED_RED, PACKED_SHADOW_COLOR, PACKED_SUGGEST_COLOR, PACKED_WARN_COLOR, PACKED_WHITE, PACKED_YELLOW, actualCrispness, boldStrength, boxDrawingBreadth, cellHeight, cellWidth, colorLookup, defaultValue, descent, distanceField, distanceFieldCrispness, enableSquareBrackets, family, fancyX, fancyY, glowStrength, heightAdjust, inlineImageStretch, integerPosition, isMono, kerning, mapping, name, nameLookup, namesByCharCode, obliqueStrength, omitCurlyBraces, originalCellHeight, originalCellWidth, outlineStrength, parents, scaleX, scaleY, shader, sharing, solidBlock, strikeBreadth, strikeLength, strikeX, strikeY, underBreadth, underLength, underX, underY, whiteBlock, widthAdjust, xAdjust, yAdjust]
2a6ed1d167d0	api-parity(hand-port-extra)	hand-port-extra	Font#dropShadowOffsetY	/Font	0	var dropShadowOffsetY/0 in reference port only [rename candidates: PACKED_BLACK, PACKED_BLUE, PACKED_CONTEXT_COLOR, PACKED_ERROR_COLOR, PACKED_HALO_COLOR, PACKED_NOTE_COLOR, PACKED_RED, PACKED_SHADOW_COLOR, PACKED_SUGGEST_COLOR, PACKED_WARN_COLOR, PACKED_WHITE, PACKED_YELLOW, actualCrispness, boldStrength, boxDrawingBreadth, cellHeight, cellWidth, colorLookup, defaultValue, descent, distanceField, distanceFieldCrispness, enableSquareBrackets, family, fancyX, fancyY, glowStrength, heightAdjust, inlineImageStretch, integerPosition, isMono, kerning, mapping, name, nameLookup, namesByCharCode, obliqueStrength, omitCurlyBraces, originalCellHeight, originalCellWidth, outlineStrength, parents, scaleX, scaleY, shader, sharing, solidBlock, strikeBreadth, strikeLength, strikeX, strikeY, underBreadth, underLength, underX, underY, whiteBlock, widthAdjust, xAdjust, yAdjust]
4a152c20fa40	api-parity(hand-port-extra)	hand-port-extra	Font#getFancyLineX	/Font	0	def getFancyLineX/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
3e03f4e9a234	api-parity(hand-port-extra)	hand-port-extra	Font#getFancyLineY	/Font	0	def getFancyLineY/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
708569c048ce	api-parity(hand-port-extra)	hand-port-extra	Font#getInlineImageOffsetX	/Font	0	def getInlineImageOffsetX/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
671d79ff51a7	api-parity(hand-port-extra)	hand-port-extra	Font#getInlineImageOffsetY	/Font	0	def getInlineImageOffsetY/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
fdded32dfe72	api-parity(hand-port-extra)	hand-port-extra	Font#getInlineImageXAdvance	/Font	0	def getInlineImageXAdvance/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
fdfb0f04040d	api-parity(hand-port-extra)	hand-port-extra	Font#getStrikethroughX	/Font	0	def getStrikethroughX/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
