#unit	member	kind	digest
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport	class	9ec3ce0b2a7d550f
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport#decompressFromBytes(Array<byte>)	def	839fd0bf7999e123
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport#loadStructuredJson(FileHandle,String,Sge)	def	cfeecdb8773667a3
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport#loadStructuredJson(FileHandle,String,boolean,Sge)	def	c13797427525f872
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport#loadStructuredJson(FileHandle,TextureRegion,Sge)	def	3f527f126181f4dc
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport#loadStructuredJson(FileHandle,TextureRegion,boolean,Sge)	def	c7048a914fa86b46
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData	class	82fe1f9be4906a0e
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#<init>()	ctor	ed680eab326fa7ce
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#<init>(FileHandle)	ctor	da55aff57bff6324
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#<init>(FileHandle,String)	ctor	e09b2632554b36bf
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#<init>(FileHandle,String,boolean)	ctor	67c0b2618fa0ff90
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#load(FileHandle,boolean)	def	db0ab77a60b9b807
sge.textra.BitmapFontSupport	sge.textra.BitmapFontSupport$JsonFontData#path	val	6ae2ef5671ee9ca5
sge.textra.ColorLookup	sge.textra.ColorLookup	class	bba2f914c2a221a8
sge.textra.ColorLookup	sge.textra.ColorLookup#DESCRIPTIVE	val	8ec9be6c58941ade
sge.textra.ColorLookup	sge.textra.ColorLookup#INSTANCE	val	6a7a2c87e61c2acb
sge.textra.ColorLookup	sge.textra.ColorLookup#getRgba(String)	def	b486c9c2ec128b29
sge.textra.ColorLookup	sge.textra.ColorLookup#getRgba(String,int,int)	def	bcca477c1a883dd9
sge.textra.Effect	sge.textra.Effect	class	a0be8e2722784958
sge.textra.Effect	sge.textra.Effect#<stmt1>	stmt	2aa6329938634dad
sge.textra.Effect	sge.textra.Effect#FADEOUT_SPLIT	val	d324992cb8dc43c3
sge.textra.Effect	sge.textra.Effect#apply(long,int,float)	def	a52f21453cd50978
sge.textra.Effect	sge.textra.Effect#assignTokenName(String)	def	c65f08523d76da8f
sge.textra.Effect	sge.textra.Effect#calculateFadeout()	def	bf8308ff745f5022
sge.textra.Effect	sge.textra.Effect#calculateProgress(float)	def	c284c5d821a1c8fa
sge.textra.Effect	sge.textra.Effect#calculateProgress(float,float)	def	f397ef8987b9ec0b
sge.textra.Effect	sge.textra.Effect#calculateProgress(float,float,boolean)	def	a059395aa0b23f48
sge.textra.Effect	sge.textra.Effect#duration	val	06da5549380bb07c
sge.textra.Effect	sge.textra.Effect#indexEnd	val	873be222097064ce
sge.textra.Effect	sge.textra.Effect#indexStart	val	ddbb081ed640d60e
sge.textra.Effect	sge.textra.Effect#isFinished()	def	29b21743ff3f4c03
sge.textra.Effect	sge.textra.Effect#label	val	7fc2e269a54f5d65
sge.textra.Effect	sge.textra.Effect#name	val	f6b1fd76554132d2
sge.textra.Effect	sge.textra.Effect#onApply(long,int,int,float)	def	4ae16b5d7aa7ba02
sge.textra.Effect	sge.textra.Effect#paramAsBoolean(String)	def	03256ad13082d291
sge.textra.Effect	sge.textra.Effect#paramAsColor(String)	def	92f3a665807a550d
sge.textra.Effect	sge.textra.Effect#paramAsFloat(String,float)	def	2d15445188401411
sge.textra.Effect	sge.textra.Effect#totalTime	val	3d9943e41a6697b2
