# balticporter port map	schema=3	module=sge-textra	engine=balticporter/0.1.0-SNAPSHOT	sources=9ebd6e69043d4bb1	files=92	policy=82dbd28c1b33731b
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.github.tommyettinger.textra.BitmapFontSupport	sge.textra.BitmapFontSupport	Renamed	-		0		flags=final form=object primary=() primaryKind=unique-root primaryVis=private
type	com.github.tommyettinger.textra.BitmapFontSupport$JsonFontData	sge.textra.BitmapFontSupport$JsonFontData	Renamed	-		0		form=class parents=sge.graphics.g2d.BitmapFont$BitmapFontData primary=(String) primaryKind=synthesised-primary primaryVis=protected secondaries=();(FileHandle);(FileHandle,String);(FileHandle,String,boolean)
type	com.github.tommyettinger.textra.ColorLookup	sge.textra.ColorLookup	Renamed	-		0		companion=yes form=trait statics=DESCRIPTIVE,INSTANCE
type	com.github.tommyettinger.textra.Effect	sge.textra.Effect	Renamed	-		0		companion=yes flags=abstract form=class primary=(TypingLabel) primaryKind=unique-root primaryVis=public statics=EffectBuilder,FADEOUT_SPLIT
type	com.github.tommyettinger.textra.Effect$EffectBuilder	sge.textra.Effect$EffectBuilder	Renamed	-		0		form=trait
type	com.github.tommyettinger.textra.EmojiProcessor	sge.textra.EmojiProcessor	Renamed	-		0		companion=yes flags=final form=class primary=() primaryKind=unique-root primaryVis=private statics=getReplacer,initialize,instance
type	com.github.tommyettinger.textra.FWSkin	sge.textra.FWSkin	Renamed	-		0		companion=yes form=class parents=sge.scenes.scene2d.ui.Skin primary=() primaryKind=no-arg-root primaryVis=public secondaries=(FileHandle);(FileHandle,TextureAtlas);(TextureAtlas)
type	com.github.tommyettinger.textra.FWSkinLoader	sge.textra.FWSkinLoader	Renamed	-		0		companion=yes form=class parents=sge.assets.loaders.SkinLoader primary=(FileHandleResolver) primaryKind=unique-root primaryVis=public
type	com.github.tommyettinger.textra.Font	sge.textra.Font	Renamed	-		0		companion=yes disambiguator=marker form=class parents=java.lang.AutoCloseable primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(String);(String,DistanceFieldType);(String,String);(String,String,DistanceFieldType);(Font);(String,float,float,float,float);(String,DistanceFieldType,float,float,float,float);(String,DistanceFieldType,float,float,float,float,boolean);(FileHandle);(FileHandle,DistanceFieldType,float,float,float,float,boolean);(String,String,float,float,float,float);(String,String,DistanceFieldType,float,float,float,float);(String,String,DistanceFieldType,float,float,float,float,boolean);(String,TextureRegion,float,float,float,float);(String,TextureRegion,DistanceFieldType,float,float,float,float);(String,TextureRegion,DistanceFieldType,float,float,float,float,boolean);(FileHandle,TextureRegion,DistanceFieldType,float,float,float,float,boolean);(String,Array,float,float,float,float);(String,Array,DistanceFieldType,float,float,float,float);(String,Array,DistanceFieldType,float,float,float,float,boolean);(FileHandle,Array,DistanceFieldType,float,float,float,float,boolean);(BitmapFont);(BitmapFont,float,float,float,float);(BitmapFont,DistanceFieldType,float,float,float,float);(BitmapFont,DistanceFieldType,float,float,float,float,boolean);(String,String,boolean);(String,boolean);(String,TextureRegion,boolean,boolean);(String,TextureRegion,float,float,float,float,boolean,boolean);(FileHandle,TextureRegion,boolean);(FileHandle,TextureRegion,float,float,float,float,boolean,boolean) statics=ALTERNATE_MODES_MASK,BLACK_OUTLINE,BLUE_OUTLINE,BOLD,CONTEXT,DROP_SHADOW,DistanceFieldType,ERROR,FontFamily,GlyphRegion,HALO,JOSTLE,MIDSCRIPT,NEON,NOTE,OBLIQUE,RED_OUTLINE,SHINY,SMALL_CAPS,STRIKETHROUGH,SUBSCRIPT,SUGGEST,SUPERSCRIPT,TexturelessAtlasRegion,TexturelessRegion,UNDERLINE,WARN,WHITE_OUTLINE,YELLOW_OUTLINE,applyChar,applyColor,applyMode,applyScale,applyStyle,canUseTextures,clearPaddingForBitmapFont,clearStatic,extractChar,extractColor,extractIntScale,extractMode,extractScale,extractStyle,getJsonExtension,insertZeroWidthSpacesInCJK,latestTexture,markupGlyph,msdfFragmentShader,paddingForBitmapFont,sdfBlackOutlineFragmentShader,sdfBlackOutlineFragmentShaderUsingDerivatives,sdfFragmentShader,sdfFragmentShaderUsingDerivatives,setPaddingForBitmapFont,smoothingValues,vertexShader,xAdvance
type	com.github.tommyettinger.textra.Font$DistanceFieldType	sge.textra.Font$DistanceFieldType	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=(String,String) primaryKind=not-funnelled primaryVis=public statics=ALL
