#check	count
base-surface	0
break-catch	0
cast-conversion	0
catalog(consulted)	87
catalog(uncited)	124
catalog(undischarged)	3
catalog(unmechanised)	1
catalog(unreached)	28
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-internal	0
collection-retarget	0
dependency-coverage	0
dependency-coverage(all)	0
dependency-coverage(declared)	0
heap-pollution	0
idiom(converted)	0
idiom(refused)	0
idiom(residue)	0
jdk-surface	2
manifest	0
markers	0
omissions	0
overload-risk	0
policy	0
port-map	0
portability(all)	9
portability(emitted)	9
portability(injected)	0
porter-notes	0
remediation	3
rewrite-callsites	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	0
try-resource	0
unused-symbol(handled)	3
unused-symbol(refused)	0
upstream	USL@820300c86a1bd907404217195a9987e5c66d2220
