# balticporter port map	schema=3	module=sge-visui-usl	engine=balticporter/0.1.0-SNAPSHOT	sources=ce72175ec59a2697	files=17	policy=e3b0c44298fc1c14
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
type	com.kotcrab.vis.usl.CollectionUtils	sge.visui.usl.CollectionUtils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.IncludeLoader	sge.visui.usl.IncludeLoader	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.Lexer	sge.visui.usl.Lexer	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.LexerContext	sge.visui.usl.LexerContext	Renamed	-		0		form=class primary=(File) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.Main	sge.visui.usl.Main	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.Parser	sge.visui.usl.Parser	Renamed	-		0		form=class primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.StyleMerger	sge.visui.usl.StyleMerger	Renamed	-		0		form=class primary=(ArrayList,ArrayList,ArrayList) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.Token	sge.visui.usl.Token	Renamed	-		0		companion=yes disambiguator=marker form=class primary=(String,int,Type,String,?) primaryKind=synthesised-primary primaryVis=protected secondaries=(String,int,Type);(String,int,Type,String) statics=Type
type	com.kotcrab.vis.usl.Token$Type	sge.visui.usl.Token$Type	Renamed	-		0		companion=yes flags=enum form=enum parents=java.lang.Enum primary=() primaryKind=not-funnelled primaryVis=public
type	com.kotcrab.vis.usl.USL	sge.visui.usl.USL	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.USLException	sge.visui.usl.USLException	Renamed	-		0		form=class parents=java.lang.RuntimeException primary=(String,Throwable) primaryKind=widest-root primaryVis=public secondaries=(String);(Throwable)
type	com.kotcrab.vis.usl.USLJsonWriter	sge.visui.usl.USLJsonWriter	Renamed	-		0		form=class primary=(ArrayList) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.Utils	sge.visui.usl.Utils	Renamed	-		0		form=object primary=() primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.lang.AliasIdentifier	sge.visui.usl.lang.AliasIdentifier	Renamed	-		0		form=class parents=sge.visui.usl.lang.Identifier primary=(String) primaryKind=unique-root primaryVis=public
type	com.kotcrab.vis.usl.lang.BasicIdentifier	sge.visui.usl.lang.BasicIdentifier	Renamed	-		0		form=class parents=sge.visui.usl.lang.Identifier primary=() primaryKind=no-arg-root primaryVis=public secondaries=(String,String);(BasicIdentifier)
type	com.kotcrab.vis.usl.lang.GroupIdentifier	sge.visui.usl.lang.GroupIdentifier	Renamed	-		0		form=class parents=sge.visui.usl.lang.Identifier primary=() primaryKind=no-arg-root primaryVis=public secondaries=(GroupIdentifier)
type	com.kotcrab.vis.usl.lang.Identifier	sge.visui.usl.lang.Identifier	Renamed	-		0		companion=yes disambiguator=marker flags=abstract form=class primary=(?) primaryKind=synthesised-primary primaryVis=protected secondaries=();(String);(Identifier)
