#id	check	kind	owner	path	line	detail
1f75c08c8ea0	catalog(consulted)	reached	JS-C01	../../main/java/com/kotcrab/vis/usl/CollectionUtils.java	36	lowering CtInvocation/Expression — consulted 440, fired 78, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
b675c07e20a4	catalog(consulted)	reached	JS-C02	-	0	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 846, fired 0, declarations 0: interface constants are inherited through `implements`
16a302d1a349	catalog(consulted)	reached	JS-C03	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
108a59142079	catalog(consulted)	reached	JS-C05	../../main/java/com/kotcrab/vis/usl/IncludeLoader.java	32	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 406, fired 77, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
955d154ff310	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 44, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
c7dd152bc11d	catalog(consulted)	reached	JS-C07	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
c7705936916e	catalog(consulted)	reached	JS-C08	-	0	rendering ValDef — consulted 5, fired 0, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
9d242288bb4c	catalog(consulted)	reached	JS-C09	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
c9721739289a	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
cd59d51573f9	catalog(consulted)	reached	JS-C13	com/kotcrab/vis/usl/test/RemoteTest.java	23	rendering ClassDef — consulted 2, fired 2, declarations 0: JLS 12.5's instance-creation sequence, whole
9eb4fa907c47	catalog(consulted)	reached	JS-C14	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: the superclass constructor runs before this class's field initialisers
0e712b924b01	catalog(consulted)	reached	JS-C16	-	0	rendering DefDef — consulted 3, fired 0, declarations 0: instance initialiser blocks
93915c9bc405	catalog(consulted)	reached	JS-C17	-	0	lowering CtNewClass/Expression — consulted 76, fired 0, declarations 0: double-brace initialisation is an anonymous subclass plus an instance initialiser
8c6c0be28fea	catalog(consulted)	reached	JS-C18	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: field initialisers and instance-init blocks are ONE step-4 sequence in textual order, not two buckets
42ea0d917f6f	catalog(consulted)	reached	JS-C19	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: `this(...)` / `super(...)` in a secondary constructor — Scala's secondary constructors cannot call `super`
c793b338f72e	catalog(consulted)	reached	JS-C20	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: the implicit `super()` and the default constructor
87beb834315e	catalog(consulted)	reached	JS-C21	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: constructor overload resolution, against Scala's textual-anteriority rule
6666d2466269	catalog(consulted)	reached	JS-C22	-	0	rendering Apply — consulted 44, fired 0, declarations 0: Java's THREE-PHASE applicability (strict, then loose, then varargs) has no Scala counterpart
9c0fe4af89ab	catalog(consulted)	reached	JS-C23	-	0	rendering Apply — consulted 44, fired 0, declarations 0: most-specific tie-break: Scala prefers a NON-GENERIC alternative and Java does not
e437ad268821	catalog(consulted)	reached	JS-C25	-	0	rendering DefDef — consulted 3, fired 0, declarations 0: `override` is mandatory in Scala and absent in Java
145c6c325ffa	catalog(consulted)	reached	JS-C29	-	0	rendering-type TypeRef — consulted 20, fired 0, declarations 0: a static NESTED class and an INNER class are different types, and only one is path-dependent
5c5707778b7c	catalog(consulted)	reached	JS-C31	-	0	lowering CtNewClass/Expression — consulted 76, fired 0, declarations 0: anonymous class construction and capture
8955de910334	catalog(consulted)	reached	JS-C33	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: the interface default-method diamond is resolved by JLS's two rules, not by trait linearization
d42b3b7a74ac	catalog(consulted)	reached	JS-C34	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: interface statics are not inherited AT ALL, not even by an implementor
6e72669d9af4	catalog(consulted)	reached	JS-C36	-	0	rendering ValDef — consulted 5, fired 0, declarations 0: an interface field is implicitly `public static final`
f4e40ac93d39	catalog(consulted)	reached	JS-C37	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: `name()`, `values()` and `valueOf` are SYNTHESISED on every Java enum
6d30afac8cdd	catalog(consulted)	reached	JS-C38	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: a promoted enum constructor parameter IS a member, and `name` collides with `Enum.name()`
61e9caaa4bce	catalog(consulted)	reached	JS-C39	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: `ordinal()` is part of every Java enum's surface, mentioned or not
22431f657790	catalog(consulted)	reached	JS-C40	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: enum constants with PER-CONSTANT class bodies
513e0796e112	catalog(consulted)	reached	JS-C43	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: Java `record`
23361ce509e5	catalog(consulted)	reached	JS-C44	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: `sealed` / `non-sealed` / `permits`
47118e1f9f06	catalog(consulted)	reached	JS-C45	-	0	rendering ValDef — consulted 5, fired 0, declarations 0: a `final` field's JMM safe-publication guarantee
1e684f861d34	catalog(consulted)	reached	JS-C47	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: package-private becomes `private[pkg]`
40d0bcb6d959	catalog(consulted)	reached	JS-C48	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: Java's `protected` also grants SAME-PACKAGE access, and accessibility is an input to overload resolution
4b532f7a1f1f	catalog(consulted)	reached	JS-C49	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: Java's `private` reaches the whole enclosing TOP-LEVEL class; Scala's reaches only the template
341ad9dbcdbf	catalog(consulted)	reached	JS-C50	-	0	rendering ClassDef + rendering DefDef + rendering ValDef — consulted 10, fired 0, declarations 0: Java's default access is package-private and Scala's is public — INVERTED
cc71524c8c59	catalog(consulted)	reached	JS-C51	-	0	rendering ClassDef — consulted 2, fired 0, declarations 0: a `return` in a CONSTRUCTOR body, whose promotion puts it in the class body
9626a47a460b	catalog(consulted)	reached	JS-E01	../../main/java/com/kotcrab/vis/usl/Lexer.java	88	lowering CtBinaryOperator/Expression — consulted 252, fired 32, declarations 0: `==`/`!=` are REFERENCE identity in Java; Scala's `==` calls `equals`
68fcbf5c4b4c	catalog(consulted)	reached	JS-E02	-	0	lowering CtUnaryOperator/Expression — consulted 20, fired 0, declarations 0: postfix/prefix `++`/`--` USED AS A VALUE yields the value before the update — the VALUE only; the operand's single evaluation is JS-E17
0738eb9cd5a0	catalog(consulted)	reached	JS-E03	-	0	lowering CtOperatorAssignment/Statement — consulted 3, fired 0, declarations 0: compound assignment NARROWS implicitly to the left-hand type — STATEMENT position; the lvalue's single evaluation is JS-E17
84f42a21d598	catalog(consulted)	reached	JS-E05	../../main/java/com/kotcrab/vis/usl/IncludeLoader.java	72	lowering CtConditional/Expression — consulted 5, fired 5, declarations 0: the conditional operator's type is computed, not the syntactic lub of its branches
6fbfe92b1050	catalog(consulted)	reached	JS-E14	-	0	lowering CtBinaryOperator/Expression — consulted 252, fired 0, declarations 0: string concatenation with a NON-`String` left operand
0d158a632502	catalog(consulted)	reached	JS-E15	../../main/java/com/kotcrab/vis/usl/Utils.java	48	lowering CtAssignment/Expression — consulted 1, fired 1, declarations 0: an assignment IS an expression, with the assigned value
