#unit	member	kind	digest
sge.visui.usl.test.RemoteTest	sge.visui.usl.test.RemoteTest	class	ee5b85db8b8a1dbb
sge.visui.usl.test.RemoteTest	sge.visui.usl.test.RemoteTest#<stmt1>	stmt	d75490b44d04aef5
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest	class	b619fa90dd19b1f8
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt1>	stmt	b5bd3fc2b0b87b8b
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt2>	stmt	eb58e8f93dc71bf9
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt3>	stmt	1c344a2e6a2ed65a
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt4>	stmt	aa06a7e291ac424f
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt5>	stmt	76326ba57d1e0d19
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#<stmt6>	stmt	9be24f424578c571
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#compareResult(String,String)	def	c2f7a19662a78568
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#readFile(String)	def	358b121873041031
sge.visui.usl.test.TemplateBasedParserTest	sge.visui.usl.test.TemplateBasedParserTest#testUsingTemplate(String,String)	def	d468e6a303a84230
