#check	count
base-surface	0
break-catch	0
catalog(consulted)	9
catalog(uncited)	121
catalog(undischarged)	1
catalog(unmechanised)	111
catalog(unreached)	2
class-init-trigger	0
collection-boundary	0
collection-closure	0
collection-retarget	0
context-seam	20
gdx-shared-iterator	0
jdk-surface	1
manifest	0
markers	0
nullability-boundary	0
omissions	1
policy	0
port-map	0
portability(all)	151
portability(emitted)	0
portability(injected)	0
porter-notes	0
remediation	0
signature	0
substitution(dangling)	0
substitution(emitted)	0
switch-null	0
trivia	0
trivia(deliberate)	0
trivia(recovered)	2
try-resource	0
