#id	check	kind	owner	path	line	detail
821dedf51bfe	catalog(consulted)	reached	JS-C01	core/src/com/crashinvaders/vfx/VfxManager.java	200	lowering CtInvocation/Expression — consulted 27796, fired 3581, declarations 0: a Java `static` is INHERITED by every subclass; a Scala companion inherits nothing
2d0d0606a3b1	catalog(consulted)	reached	JS-C02	../../libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java	205	lowering CtInvocation/Expression + lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 80700, fired 76, declarations 0: interface constants are inherited through `implements`
b0b291c93322	catalog(consulted)	reached	JS-C03	effects/src/com/crashinvaders/vfx/effects/ChromaticAberrationEffect.java	25	rendering ClassDef — consulted 63, fired 19, declarations 0: static HIDING is resolved by the STATIC type of the qualifier
3f92dc2834cb	catalog(consulted)	reached	JS-C04	-	0	phase field-shadowing — consulted 0, fired 0, declarations 18: a subclass field SHADOWS a superclass field — two storage cells, not one
d55b9acd7844	catalog(consulted)	reached	JS-C05	core/src/com/crashinvaders/vfx/VfxManager.java	68	lowering CtFieldRead/Expression + lowering CtFieldWrite/Expression — consulted 52904, fired 10411, declarations 0: a static nested constant reached through a SUBCLASS's name, and `import static`
b3f38ce2f3b2	catalog(consulted)	reached	JS-C06	-	0	rendering Apply — consulted 1457, fired 0, declarations 0: `anInstance.staticMethod()` evaluates the receiver FOR ITS SIDE EFFECTS and discards it
190ffc46c318	catalog(consulted)	reached	JS-C07	core/src/com/crashinvaders/vfx/VfxManager.java	40	rendering ClassDef — consulted 63, fired 11, declarations 0: JLS's class-initialisation TRIGGER list vs Scala's uniform accessor trigger
d27491c87abd	catalog(consulted)	reached	JS-C08	core/src/com/crashinvaders/vfx/VfxManager.java	47	rendering ValDef — consulted 406, fired 90, declarations 0: a CONSTANT VARIABLE is inlined, so reading it never triggers class initialisation
b64d748057d9	catalog(consulted)	reached	JS-C09	core/src/com/crashinvaders/vfx/VfxManager.java	40	rendering ClassDef — consulted 63, fired 22, declarations 0: several `static { }` blocks and static field initialisers run in ONE textual order
15d0310be7d1	catalog(consulted)	reached	JS-C10	-	0	rendering ClassDef — consulted 63, fired 0, declarations 0: circular class initialisation delivers DEFAULT values on the same thread
2a43a5c3691e	catalog(consulted)	reached	JS-C13	core/src/com/crashinvaders/vfx/VfxManager.java	40	rendering ClassDef — consulted 63, fired 52, declarations 0: JLS 12.5's instance-creation sequence, whole
bfb583cec6b6	catalog(consulted)	reached	JS-C14	effects/src/com/crashinvaders/vfx/effects/ChromaticAberrationEffect.java	25	rendering ClassDef — consulted 63, fired 19, declarations 0: the superclass constructor runs before this class's field initialisers
5d0bf7749dd0	catalog(consulted)	reached	JS-C16	core/src/com/crashinvaders/vfx/gl/VfxGLUtils.java	50	rendering DefDef — consulted 485, fired 2, declarations 0: instance initialiser blocks
